ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2534_A_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.03314633,0.085947275,0.032837395,0.07657184,0.05817571,0.81952715,0.06307723,0.024745323,0.039623827,0.04367891,0.043182984,0.057622276,0.026850358,0.1248114,0.09656585,0.03002339,0.067847736,0.045247097,0.034784738,0.0361538,3.123124,0.03474637,0.03478056,0.034886602,0.037795343,0.050019316,0.055594523,0.121347256,0.10082208,0.03625556,0.18673465,0.029555792,0.032451097,0.028857678,0.024562402,0.074860096,0.057561036,0.05337645,0.07445472,0.052423015,0.0370623,0.093579166,0.096862935,0.45590296,0.0697623,0.07437817
2534_A_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.05489144,0.0652492,0.039261725,0.06578013,0.100216664,0.05453115,0.038162787,0.04773461,0.04811601,0.03898132,0.041089702,0.038053885,0.044452075,0.034675356,0.036717,0.043920886,0.04181375,0.038858358,0.0352039,0.03129529,5.0706644,0.056844696,0.053892195,0.049100563,0.042015206,0.05313285,0.057661068,0.051102735,0.074383795,0.031950917,0.61985993,0.045847446,0.037220992,0.057520743,0.029085726,0.028422592,0.068913125,0.048977774,0.081737556,0.03549799,0.03261808,0.058286246,0.028356185,0.07866434,0.034315664,0.033411782
2534_A_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.01690226,0.017702624,0.013665753,0.015566445,0.02022355,0.01510204,0.012375697,0.017904542,0.016572298,0.016044708,0.016252311,0.014600385,0.0168557,0.014709586,0.015297534,0.014481625,0.0146779865,0.014962339,0.015129026,0.013353189,1.7671472,0.015607167,0.013866191,0.014431482,0.015436403,0.01585326,0.017997056,0.014888536,0.019597879,0.011338246,0.070059106,0.013346525,0.011344124,0.012934977,0.009238513,0.009970103,0.016178831,0.013488277,0.022233754,0.012440976,0.009474114,0.020785177,0.020576376,0.023967698,0.022840248,0.017072095
2534_A_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.030058622,0.049144916,0.019092439,0.030777516,0.03150967,0.051750455,0.018660503,0.021933151,0.024693064,0.02053103,0.019683726,0.019216595,0.022333879,0.018936846,0.02068465,0.019875688,0.02016783,0.018975992,0.018873958,0.018499859,3.4231474,0.027308656,0.022479782,0.023843633,0.025912503,0.024050102,0.04355356,0.027162261,0.043997973,0.017248731,0.2614344,0.02865934,0.020557286,0.027063869,0.012523208,0.013936362,0.02492031,0.023551423,0.037297282,0.01689368,0.01468253,0.031411365,0.045603037,0.06166957,0.039027072,0.028495243
2534_A_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.05320806,0.12374044,0.13104045,0.088042416,0.10036011,1.0645545,0.07608288,0.096782744,0.091172874,0.07351331,0.0840276,0.080484554,0.093349576,0.05054069,0.053665448,0.07130209,0.05246433,0.049533445,0.061407495,0.08815508,12.026293,0.041516673,0.046166494,0.06251095,0.039355867,0.048852835,0.25204596,0.09670673,0.2541123,0.26413378,2.248783,0.08714634,0.14122957,0.09447299,0.23229815,0.23864244,0.25558865,0.28693333,0.26432425,0.9693867,0.27569908,0.251717,0.4770378,0.18640094,1.5044682,0.22029838
2534_A_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.040374592,0.054263227,0.109592676,0.07944341,0.062423885,2.2883086,0.07517795,0.14105459,0.13444343,0.068884015,0.087544516,0.1188566,0.11935048,0.054246,0.05615686,0.08071903,0.05975018,0.04771444,0.06432066,0.09576088,16.145128,0.14935423,0.15459685,0.09726686,0.098783046,0.09332154,0.62018967,0.21831875,0.28865564,0.536943,3.2329912,0.35452947,0.26274437,0.41694018,0.46483836,0.16058564,0.36220053,0.5818813,1.2391608,0.40489554,0.4081548,0.27276087,1.1417084,0.5163285,1.3427489,0.46983385
2534_A_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.106277004,0.14927433,0.14978491,0.11323852,0.14826484,3.35641,0.085816845,0.17038444,0.10227127,0.08512642,0.13476643,0.11364208,0.09668137,0.058048353,0.05529379,0.07668629,0.06210734,0.060638115,0.0751551,0.104401276,16.684076,0.08780804,0.14422773,0.06795907,0.04872184,0.10211174,0.91883343,0.44524217,0.25153217,0.31663865,3.2923515,0.1504872,0.15206268,0.13255,0.2407457,0.3547968,0.28654388,0.2591529,0.24022369,0.6723672,0.34477517,0.4769827,3.2372315,0.19866875,2.7426193,0.25677446
2534_A_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.054003797,0.051434625,0.16089751,0.09125564,0.10179444,1.5845577,0.08287824,0.23276554,0.21872132,0.09335098,0.15895899,0.124680184,0.26103446,0.050114106,0.049507815,0.1307365,0.058185294,0.07427739,0.061740343,0.17806163,23.491371,0.24515878,0.30129406,0.1271257,0.09440432,0.13735372,1.0482391,0.4805677,0.31271008,0.90683323,4.6370697,0.3386555,0.32423574,0.27409577,0.79209524,0.13495012,0.5335164,1.0073011,3.0723002,0.867269,0.5047583,0.77576864,1.1697928,0.674837,0.29808035,0.7334481
2534_A_009,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 009,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.056534845,0.24695821,0.07670657,0.02526037,0.055028383,17.524075,0.06217106,0.07540857,0.28191856,0.16171286,0.16488267,0.058386248,0.07085841,0.32374203,0.18522006,0.15454288,0.27782243,0.042577542,0.06752487,0.047945186,23.443493,0.09763544,0.077402785,0.07074963,0.07961169,0.07965049,3.2257915,0.59161925,0.05870152,0.12882736,1.8075387,0.10543154,0.057557147,0.0925021,0.18845661,0.71247756,0.028449649,0.025445854,0.030650757,0.033133954,0.10127588,0.16050066,5.6060886,0.050816733,4.289202,2.6857028
2534_A_010,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 010,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.053721864,0.060817398,0.15086964,0.101454094,0.09681682,0.16753653,0.077498585,0.19241644,0.08801473,0.08648212,0.10249503,0.121307775,0.10059034,0.05398787,0.05514502,0.059942648,0.04621027,0.073964834,0.053129025,0.10662913,17.086708,0.1331333,0.2337052,0.110262625,0.21591362,0.13061553,0.81661516,0.20881027,0.30734956,1.0328854,3.0605707,0.3481511,0.3996421,0.3169007,1.0562723,0.18733,0.43076134,1.3552392,2.119951,1.3230956,1.8529891,0.715917,0.552565,0.31467754,0.305614,0.32088423
