ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2534_A_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.004795353,0.012434183,0.0047506588,0.0110778175,0.008416409,0.11856281,0.009125522,0.0035799607,0.005732467,0.0063191247,0.006247378,0.008336343,0.0038845008,0.018056743,0.013970396,0.0043435507,0.009815683,0.0065459977,0.0050323852,0.0052304505,0.45182925,0.0050268346,0.0050317803,0.005047122,0.005467936,0.0072364057,0.008042983,0.017555578,0.014586154,0.0052451724,0.027015315,0.004275902,0.0046947724,0.0041749044,0.0035534971,0.010830176,0.008327483,0.0077220895,0.010771529,0.007584154,0.005361885,0.013538306,0.014013376,0.065956496,0.010092666,0.010760455
2534_A_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.007038727,0.008366901,0.005034529,0.008434983,0.012850778,0.006992527,0.004893612,0.006121007,0.006169914,0.0049985726,0.0052689305,0.004879648,0.005700087,0.0044464194,0.0047082193,0.005631973,0.005361775,0.0049828053,0.0045141946,0.0040129935,0.65021104,0.0072891926,0.0069105937,0.006296163,0.005387608,0.006813223,0.007393876,0.006552901,0.0095382305,0.0040970645,0.07948461,0.0058790157,0.004772846,0.007375882,0.0037296612,0.0036446275,0.008836727,0.0062804176,0.010481203,0.0045519057,0.004182615,0.0074740425,0.0036361122,0.010087124,0.004400296,0.004284391
2534_A_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.006695307,0.0070123463,0.005413265,0.006166165,0.008010933,0.0059822053,0.0049022487,0.00709233,0.0065646027,0.0063556144,0.0064378497,0.0057834904,0.0066768634,0.005826747,0.0060596443,0.005736447,0.0058142296,0.005926867,0.005992895,0.0052894526,0.70000064,0.0061822957,0.005492662,0.0057165846,0.0061146533,0.0062797777,0.0071289763,0.0058976323,0.007763093,0.004491295,0.027751746,0.0052868123,0.0044936235,0.005123791,0.0036595508,0.003949348,0.006408743,0.005342963,0.008807213,0.0049281074,0.0037528768,0.008233405,0.008150694,0.009494062,0.009047457,0.0067625814
2534_A_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0061825714,0.010108313,0.0039270055,0.0063304366,0.006481029,0.01064423,0.003838163,0.004511294,0.0050789635,0.0042229,0.0040486236,0.0039525423,0.004593717,0.0038950024,0.0042544976,0.004088107,0.004148196,0.003903054,0.0038820673,0.0038051212,0.70408595,0.005616948,0.004623727,0.004904249,0.005329782,0.004946716,0.008958261,0.005586837,0.00904967,0.0035477844,0.053772822,0.005894762,0.004228301,0.0055665993,0.002575821,0.002866484,0.005125704,0.0048441463,0.0076714465,0.0034747561,0.0030199585,0.0064608087,0.009379806,0.012684431,0.008027237,0.00586101
2534_A_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0022690438,0.005276879,0.005588186,0.003754546,0.004279831,0.045397647,0.0032445346,0.004127275,0.0038880436,0.003134956,0.0035833353,0.003432243,0.0039808685,0.0021552946,0.0022885492,0.0030406592,0.0022373276,0.0021123409,0.0026187068,0.0037593506,0.51285815,0.0017704677,0.0019687582,0.0026657633,0.0016783207,0.0020833164,0.010748435,0.0041240337,0.010836553,0.011263916,0.09589877,0.003716333,0.0060226982,0.004028776,0.009906295,0.010176845,0.010899512,0.0122361975,0.011272039,0.041339245,0.011757116,0.010734406,0.020343153,0.00794902,0.06415766,0.009394567
2534_A_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0011919317,0.0016019495,0.0032353757,0.0023453145,0.001842867,0.06755505,0.0022193904,0.0041641886,0.0039690156,0.0020335817,0.002584474,0.0035088637,0.0035234438,0.001601441,0.0016578529,0.002382973,0.0017639344,0.0014086172,0.0018988632,0.002827036,0.47663364,0.0044092094,0.004563981,0.0028714952,0.0029162557,0.0027550221,0.018309131,0.0064451676,0.008521641,0.015851537,0.0954438,0.010466357,0.0077566933,0.012308835,0.013722876,0.004740781,0.010692821,0.017178196,0.036582287,0.011953255,0.012049474,0.008052398,0.033705313,0.015242959,0.039640397,0.013870353
2534_A_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0028408903,0.003990252,0.0040039,0.0030269786,0.003963267,0.08972019,0.00229397,0.004554546,0.002733813,0.0022755142,0.0036024412,0.0030377663,0.0025843896,0.0015516904,0.0014780582,0.002049901,0.0016601912,0.0016209173,0.0020089708,0.0027907502,0.445982,0.0023471967,0.0038553511,0.0018166137,0.0013023834,0.0027295488,0.024561334,0.011901767,0.0067237057,0.008464067,0.08800784,0.0040226732,0.004064787,0.003543194,0.0064353724,0.009484072,0.007659604,0.0069274153,0.006421419,0.017973047,0.009216185,0.012750224,0.086534426,0.0053106137,0.07331295,0.0068638376
2534_A_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0011465242,0.0010919796,0.0034159243,0.001937397,0.0021611403,0.03364085,0.0017595412,0.004941714,0.0046435487,0.001981882,0.0033747687,0.0026470148,0.0055418755,0.0010639443,0.0010510725,0.002775593,0.0012352992,0.0015769415,0.0013107744,0.003780326,0.49873206,0.005204828,0.0063966042,0.002698934,0.0020042448,0.0029160792,0.022254573,0.010202662,0.006638971,0.019252464,0.09844701,0.007189804,0.006883666,0.005819173,0.016816527,0.0028650498,0.011326786,0.021385442,0.06522627,0.018412499,0.010716239,0.016469907,0.02483521,0.014327084,0.006328376,0.015571423
2534_A_009,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 009,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.000886293,0.0038715473,0.0012025238,0.00039600514,0.0008626763,0.27472374,0.00097465154,0.0011821751,0.0044196183,0.0025351616,0.0025848546,0.0009153173,0.0011108426,0.005075282,0.0029036826,0.0024227584,0.0043554036,0.0006674853,0.0010585829,0.0007516335,0.36752206,0.0015306242,0.0012134383,0.0011091373,0.0012480671,0.0012486754,0.050570518,0.009274775,0.0009202598,0.002019618,0.028336665,0.0016528432,0.00090231956,0.0014501492,0.0029544216,0.011169463,0.00044600325,0.00039891296,0.00048050986,0.00051943876,0.0015876952,0.0025161582,0.087886274,0.00079665054,0.067241535,0.042103585
2534_A_010,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 010,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0014604051,0.0016532941,0.0041013244,0.0027579847,0.0026319225,0.0045544063,0.0021067648,0.005230756,0.0023926415,0.002350978,0.002786282,0.0032976982,0.002734504,0.0014676364,0.001499093,0.0016295143,0.0012562057,0.0020107012,0.001444289,0.0028986658,0.4644946,0.00361917,0.006353172,0.0029974405,0.005869516,0.0035507253,0.022199322,0.005676415,0.008355162,0.028078534,0.08320026,0.009464333,0.010864094,0.0086148055,0.028714294,0.005092483,0.011710056,0.036841575,0.057629928,0.035967767,0.050372686,0.019461887,0.015021234,0.008554369,0.008307981,0.008723096
