ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2732_D_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.061484203,0.28136975,0.029460859,0.18381897,0.03148193,0.08204823,0.12859845,0.0234402,0.09448443,0.06198701,0.05343078,0.08976351,0.029398935,5.048218,0.85014397,0.049483955,1.2437732,0.044059847,0.033340316,0.05642012,29.349117,0.046621706,0.0411628,0.03364493,0.039723154,0.045842905,0.11653414,0.080450386,0.26837367,0.028905453,0.37332284,0.034623552,0.03193691,0.0403183,0.023456266,0.03688738,0.046798497,0.049402036,0.06100093,0.027718183,0.026297396,0.07223688,0.15783444,0.48027027,0.19768009,0.03893311
2732_D_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 002,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.06465789,0.1112832,0.21986467,0.052513707,0.27389467,0.5716961,0.032903563,0.048226114,0.09234594,0.04320732,0.04679672,0.065992385,0.04617819,0.03060309,0.032742467,0.047954142,0.037849996,0.029131718,0.02965085,0.03465919,20.442265,0.055264004,0.05299921,0.05371133,0.039036952,0.053920314,0.20573597,0.13476495,0.056610864,0.42917824,0.5168828,0.12102248,0.100658305,0.089718126,1.5345768,3.4536982,0.09495083,0.11203491,0.13612927,0.30045563,1.3773584,0.17647171,0.049903367,0.06985216,0.18653175,0.28457227
2732_D_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 003,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.25737426,0.83727723,0.062002383,0.26487076,0.03943289,0.037903268,0.30915895,0.018761925,0.037710316,0.044868026,0.04137076,0.11110669,0.019961312,4.199807,4.472616,0.025356783,0.22541144,0.039775003,0.036649935,0.0545486,29.910513,0.15526764,0.050449904,0.03775158,0.0499252,0.045284025,0.06305518,0.15121026,0.111548,0.0502597,0.16116165,0.027684024,0.044465303,0.031675655,0.06545735,0.46811348,0.07449449,0.09954667,0.10173861,0.09425903,0.091058195,0.20606092,0.041367996,0.085315995,0.03209876,0.04944209
2732_D_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 005,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.17770691,1.7724756,0.05143059,0.42203373,0.06589951,1.4756007,0.5095654,0.031255826,0.06776563,0.15136243,0.091489926,0.13333145,0.031748064,3.9806128,4.0519896,0.04312077,0.3295761,0.16174012,0.06565206,0.081516944,41.02144,0.09156763,0.07100664,0.050183248,0.19615397,0.110264435,0.110372454,0.17900434,0.24767928,0.054027505,0.8954072,0.10934335,0.07201783,0.101186,0.058641437,0.1690157,0.08622468,0.086506255,0.095871106,0.065002516,0.06941193,0.34205097,0.72558486,0.5141765,0.14601736,0.106832065
2732_D_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 006,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.057427984,0.34968558,0.05281634,0.07806318,0.119216666,1.7064669,0.31704256,0.038403366,0.118944645,0.097180255,0.09069292,0.07896213,0.039490923,1.9819722,0.96862566,0.06644144,1.2155805,0.13530457,0.14786422,0.20364277,28.359333,0.042888846,0.16516922,0.050686195,0.0683656,0.077899106,0.18087028,0.12805825,0.14628537,0.045813516,0.5518153,0.03624773,0.042974457,0.03102498,0.051675186,0.07053202,0.038649425,0.053294964,0.050633356,0.035216182,0.040882044,0.14258218,1.7355447,1.1800468,0.23886125,0.09901317
2732_D_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 007,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.082574405,0.12950356,0.047853827,0.11435761,0.12649454,2.553265,0.2186705,0.04634903,0.12351434,0.14556105,0.08041859,0.114149846,0.04836807,1.3584365,1.7963561,0.06696361,0.4363178,0.099933356,0.10186831,0.13853759,29.963001,0.09616542,0.073974915,0.08476081,0.05753403,0.08886373,0.19300966,0.3816651,0.2518968,0.04736473,1.1259046,0.06095403,0.048134655,0.060049888,0.042063214,0.05637572,0.044808522,0.050717566,0.080170676,0.03051752,0.03861923,0.12801912,1.0608269,0.4555266,0.18256709,0.08793154
2732_E_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.06537921,0.17791413,0.029707555,0.1683849,0.034270715,0.04766649,0.22816834,0.018517014,0.041391995,0.043711018,0.03239814,0.06815238,0.024585385,3.5020373,0.75230837,0.036037296,0.5652447,0.051852137,0.045507655,0.04023854,17.517117,0.055483628,0.069811314,0.039036397,0.07794745,0.059760153,0.027447913,0.024152976,0.055802085,0.020440124,0.1707364,0.019066863,0.023151983,0.020868227,0.022186512,0.04334245,0.038364086,0.050008025,0.059083387,0.025693992,0.023536954,0.06914193,0.033395052,0.085613996,0.026845364,0.029444404
2732_E_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 002,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.010620694,0.013732467,0.008386418,0.010301919,0.0126524605,0.01130575,0.0071844365,0.008124481,0.010760798,0.008345234,0.008566154,0.009133215,0.008294087,0.008686787,0.008745797,0.008387846,0.008832896,0.00778196,0.007934428,0.008265696,0.4489972,0.00850102,0.0083053745,0.007832011,0.007876418,0.00858068,0.013128509,0.011724523,0.013081062,0.0076113753,0.03616974,0.007974451,0.007774001,0.008544973,0.005567619,0.006688484,0.011285537,0.0073934784,0.014132236,0.0069394326,0.006040395,0.015354902,0.012801867,0.015046184,0.015832953,0.0114536965
2732_E_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 003,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.16262978,0.1586974,0.23396955,0.10891088,0.20554033,0.20934084,0.12461735,0.11056346,0.13783087,0.13843755,0.1262961,0.13297884,0.11677211,0.17345655,0.18233106,0.10927261,0.16931777,0.08588001,0.10486991,0.080070734,19.722357,0.057902735,0.09990296,0.0765288,0.08624638,0.09511031,0.128052,0.33658496,0.062095214,0.22089073,0.43900475,0.15566406,0.15198413,0.12650114,0.33477592,4.8643727,0.16017081,0.16914253,0.118508816,0.3717151,0.5131488,0.4942115,0.06349269,0.095245875,0.08087248,0.17746812
2732_E_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 004,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.03781123,0.06708935,0.01743097,0.08635051,0.023253744,0.025290295,0.0645003,0.01978506,0.03201254,0.034531217,0.030799633,0.046221618,0.019630313,1.859234,0.5139815,0.021439945,0.09719094,0.03211968,0.027652975,0.032309372,9.976253,0.042136498,0.028681405,0.031591956,0.028513338,0.03573222,0.029915618,0.06734666,0.058550335,0.014832322,0.14465848,0.020261595,0.018095179,0.023578612,0.010848723,0.019445913,0.023636809,0.026537526,0.03931864,0.015489284,0.013778623,0.060775843,0.026375506,0.06446101,0.028096529,0.020740215
