ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2732_D_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.0015284958,0.0069948453,0.00073239626,0.004569735,0.00078264,0.002039717,0.0031969545,0.00058272283,0.0023488807,0.0015409956,0.001328288,0.0022315187,0.00073085685,0.12549858,0.021134559,0.0012301699,0.030920172,0.0010953267,0.0008288395,0.0014026029,0.7296184,0.0011590145,0.0010233063,0.00083641213,0.0009875167,0.0011396535,0.002897036,0.0019999947,0.006671763,0.0007185889,0.009280797,0.00086074066,0.0007939508,0.0010023119,0.0005831222,0.00091701944,0.0011634096,0.0012281334,0.0015164816,0.00068907335,0.00065375265,0.0017958072,0.0039237603,0.011939507,0.0049143224,0.00096787617
2732_D_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 002,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.002018008,0.003473209,0.0068620956,0.0016389813,0.008548401,0.017842947,0.0010269381,0.0015051633,0.002882167,0.001348524,0.001460551,0.0020596583,0.0014412464,0.00095513905,0.0010219102,0.0014966748,0.0011813189,0.00090921676,0.00092541915,0.0010817321,0.6380142,0.0017248195,0.0016541341,0.0016763598,0.0012183645,0.0016828823,0.006421131,0.0042060874,0.0017668558,0.013394886,0.016132193,0.0037771773,0.0031416004,0.0028001515,0.047894973,0.1077918,0.002963467,0.0034966704,0.0042486684,0.009377384,0.042988107,0.005507778,0.0015575112,0.0021801237,0.0058217575,0.0088816555
2732_D_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 003,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.005925481,0.019276483,0.0014274697,0.006098072,0.00090785633,0.0008726401,0.007117711,0.00043195245,0.0008681978,0.0010329885,0.0009524716,0.0025579892,0.0004595657,0.09669141,0.10297224,0.00058378465,0.005189607,0.00091573276,0.0008437849,0.0012558625,0.6886244,0.003574699,0.0011614991,0.0008691479,0.0011494189,0.0010425659,0.001451708,0.0034812866,0.0025681495,0.00115712,0.0037103957,0.0006373643,0.0010237166,0.00072926295,0.0015070129,0.010777293,0.0017150732,0.0022918452,0.0023423098,0.0021701087,0.0020964164,0.004744103,0.00095240795,0.0019642147,0.00073900394,0.0011382963
2732_D_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 005,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.002988134,0.029804101,0.00086480315,0.0070964787,0.0011080975,0.024812162,0.00856832,0.00052556535,0.0011394762,0.0025451528,0.0015383991,0.0022419626,0.0005338423,0.06693383,0.06813403,0.0007250739,0.005541808,0.0027196533,0.0011039365,0.0013707039,0.68977374,0.0015397057,0.0011939736,0.0008438291,0.0032983206,0.0018540918,0.0018559081,0.0030099503,0.004164716,0.0009084702,0.015056234,0.0018386038,0.0012109767,0.0017014382,0.0009860533,0.0028419918,0.0014498644,0.001454599,0.0016120685,0.0010930145,0.0011671587,0.005751572,0.012200678,0.008645856,0.0024552755,0.0017963765
2732_D_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 006,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.0013828675,0.0084204385,0.0012718189,0.0018797637,0.0028707406,0.04109177,0.007634394,0.00092475413,0.0028641904,0.0023401033,0.002183888,0.0019014104,0.0009509426,0.047725946,0.023324532,0.0015999117,0.029271211,0.003258138,0.0035605747,0.0049037235,0.6828935,0.0010327647,0.0039772796,0.001220525,0.0016462457,0.0018758127,0.004355361,0.0030836463,0.0035225558,0.0011031907,0.013287728,0.00087284634,0.0010348262,0.0007470824,0.00124434,0.0016984129,0.00093067926,0.0012833442,0.0012192526,0.0008480067,0.0009844408,0.0034333828,0.041791964,0.02841556,0.0057517854,0.00238424
2732_D_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 007,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.0019374151,0.003038498,0.001122778,0.0026831338,0.0029678983,0.05990639,0.0051305913,0.0010874715,0.0028979748,0.0034152495,0.0018868339,0.002678259,0.0011348436,0.031872533,0.04214729,0.0015711444,0.010237176,0.0023447024,0.0023901016,0.0032504601,0.7030117,0.0022562966,0.0017356483,0.0019887139,0.0013499014,0.0020849796,0.0045285197,0.008954879,0.005910169,0.0011113025,0.026416715,0.0014301436,0.001129367,0.00140893,0.0009869148,0.0013227243,0.0010513271,0.001189969,0.0018810172,0.0007160222,0.00090610987,0.0030036692,0.02488982,0.010687865,0.004283509,0.002063108
2732_E_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.0026511229,0.007214407,0.0012046396,0.006827997,0.0013896754,0.0019328733,0.009252212,0.00075086375,0.0016784428,0.001772479,0.0013137425,0.002763575,0.0009969359,0.1420074,0.030506058,0.0014613102,0.022920636,0.0021026009,0.0018453326,0.0016316704,0.710318,0.0022498576,0.0028308446,0.0015829235,0.0031607645,0.0024232706,0.0011130112,0.0009794016,0.0022627711,0.0008288458,0.0069233505,0.00077316014,0.00093881146,0.00084620534,0.0008996617,0.0017575336,0.0015556613,0.0020278224,0.0023958278,0.0010418898,0.00095442205,0.0028037012,0.0013541674,0.0034716423,0.0010885779,0.0011939688
2732_E_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 002,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.011662356,0.015079327,0.009208946,0.011312316,0.013893396,0.012414602,0.007889075,0.008921319,0.011816202,0.009163722,0.0094063105,0.010028987,0.009107559,0.009538775,0.009603572,0.009210514,0.009699213,0.008545203,0.008712625,0.009076383,0.49303418,0.009334788,0.009119954,0.008600163,0.008648925,0.00942226,0.014416134,0.012874448,0.014364033,0.008357888,0.039717216,0.008756574,0.008536464,0.009383052,0.0061136833,0.0073444806,0.012392406,0.00811862,0.015518305,0.007620042,0.0066328277,0.016860887,0.014057456,0.016521892,0.017385826,0.012577059
2732_E_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 003,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.0050704973,0.004947893,0.00729474,0.0033956408,0.006408369,0.0065268623,0.0038853397,0.003447165,0.004297313,0.004316228,0.00393768,0.0041460353,0.0036407395,0.005408056,0.005684747,0.0034069188,0.005279016,0.0026775806,0.0032696507,0.0024964581,0.6149068,0.0018053007,0.0031147904,0.0023860272,0.0026890032,0.0029653644,0.0039924257,0.010494099,0.0019360145,0.0068869665,0.01368736,0.004853319,0.004738585,0.003944073,0.010437697,0.15166219,0.004993831,0.0052735526,0.0036948868,0.011589393,0.015999034,0.015408604,0.0019795853,0.0029695912,0.0025214553,0.0055331294
2732_E_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 004,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.0027088732,0.004806417,0.0012487901,0.0061863256,0.0016659454,0.001811848,0.0046209325,0.0014174418,0.0022934433,0.0024738864,0.0022065481,0.0033114103,0.0014063554,0.13319929,0.036822677,0.0015360011,0.006962956,0.002301119,0.0019811152,0.002314709,0.71471894,0.003018744,0.002054794,0.0022633118,0.0020427534,0.0025599287,0.0021432156,0.0048248516,0.004194665,0.0010626176,0.010363626,0.0014515817,0.0012963753,0.0016892196,0.00077722454,0.0013931446,0.0016933889,0.0019012023,0.002816867,0.0011096837,0.0009871285,0.0043541044,0.0018895947,0.004618117,0.0020128924,0.001485871
