Scan Name,ROI,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,ROI_ID,Scan_ID,disease_status,pathology,region,AnnData_ROI,celltype,rel_abundance
BRC 2534 BRC 2732,0,Full ROI,,,HW0110125,2534_A,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0,Oligodendrocytes4,0.027669497
BRC 2534 BRC 2732,1,Full ROI,,,HW0110125,2534_A 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,1,Oligodendrocytes4,0.021056036
BRC 2534 BRC 2732,2,Full ROI,,,HW0110125,2534_A 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,2,Oligodendrocytes4,0.02189616
BRC 2534 BRC 2732,3,Full ROI,,,HW0110125,2534_A 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,3,Oligodendrocytes4,0.02094097
BRC 2534 BRC 2732,4,Full ROI,,,HW0110125,2534_A 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,4,Oligodendrocytes4,0.033451993
BRC 2534 BRC 2732,5,Full ROI,,,HW0110125,2534_A 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,5,Oligodendrocytes4,0.047179107
BRC 2534 BRC 2732,6,Full ROI,,,HW0110125,2534_A 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,6,Oligodendrocytes4,0.031826366
BRC 2534 BRC 2732,7,Full ROI,,,HW0110125,2534_A 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,7,Oligodendrocytes4,0.05060083
BRC 2534 BRC 2732,8,Full ROI,,,HW0110125,2534_A 009,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,8,Oligodendrocytes4,0.04312932
BRC 2534 BRC 2732,9,Full ROI,,,HW0110125,2534_A 010,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,9,Oligodendrocytes4,0.045606997
BRC 2534 BRC 2732,10,Full ROI,,,HW0110125,2534_B,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,10,Oligodendrocytes4,0.022700597
BRC 2534 BRC 2732,11,Full ROI,,,HW0110125,2534_C,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,11,Oligodendrocytes4,0.027144184
BRC 2534 BRC 2732,12,Full ROI,,,HW0110125,2534_C 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,12,Oligodendrocytes4,0.046928268
BRC 2534 BRC 2732,13,Full ROI,,,HW0110125,2534_C 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,13,Oligodendrocytes4,0.032495607
BRC 2534 BRC 2732,14,Full ROI,,,HW0110125,2534_C 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,14,Oligodendrocytes4,0.037845913
BRC 2534 BRC 2732,15,Full ROI,,,HW0110125,2534_C 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,15,Oligodendrocytes4,0.04463733
BRC 2534 BRC 2732,16,Full ROI,,,HW0110125,2534_C 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,16,Oligodendrocytes4,0.01791239
BRC 2534 BRC 2732,17,Full ROI,,,HW0110125,2534_C 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,17,Oligodendrocytes4,0.02050541
BRC 2534 BRC 2732,18,Full ROI,,,HW0110125,2534_C 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,18,Oligodendrocytes4,0.03550344
BRC 2534 BRC 2732,19,Full ROI,,,HW0110125,2534_D,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,19,Oligodendrocytes4,0.27326748
BRC 2534 BRC 2732,20,Full ROI,,,HW0110125,2534_D 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,20,Oligodendrocytes4,0.04864375
BRC 2534 BRC 2732,21,Full ROI,,,HW0110125,2534_D 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,21,Oligodendrocytes4,0.07552594
BRC 2534 BRC 2732,22,Full ROI,,,HW0110125,2534_D 004,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,22,Oligodendrocytes4,-0.37943596
BRC 2534 BRC 2732,23,Full ROI,,,HW0110125,2534_D 005,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,23,Oligodendrocytes4,0.036905803
BRC 2534 BRC 2732,24,Full ROI,,,HW0110125,2534_D 006,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,24,Oligodendrocytes4,0.064446755
BRC 2534 BRC 2732,25,Full ROI,,,HW0110125,2534_D 007,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,25,Oligodendrocytes4,0.06784672
BRC 2534 BRC 2732,26,Full ROI,,,HW0110125,2534_D 008,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,26,Oligodendrocytes4,0.036682744
BRC 2534 BRC 2732,27,Full ROI,,,HW0110125,2534_E,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,27,Oligodendrocytes4,0.028674223
BRC 2534 BRC 2732,28,Full ROI,,,HW0110125,2534_E 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,28,Oligodendrocytes4,0.04258184
BRC 2534 BRC 2732,29,Full ROI,,,HW0110125,2534_E 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,29,Oligodendrocytes4,0.061506633
BRC 2534 BRC 2732,30,Full ROI,,,HW0110125,2534_E 004,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,30,Oligodendrocytes4,0.08339333
BRC 2534 BRC 2732,31,Full ROI,,,HW0110125,2534_F,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,31,Oligodendrocytes4,0.06317813
BRC 2534 BRC 2732,32,Full ROI,,,HW0110125,2534_F 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,32,Oligodendrocytes4,0.052110326
