ROI,Scan_ID,disease_status,pathology,region,celltype,rel_abundance
0,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.027669495
1,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.021056034
2,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.021896157
3,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.02094097
4,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.033451993
5,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.047179114
6,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.03182637
7,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.050600827
8,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.043129325
9,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.045606997
10,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.022700598
11,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.027144184
12,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.046928268
13,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.032495607
14,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.037845913
15,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.044637322
16,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.017912388
17,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.020505413
18,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.035503443
19,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.27326742
20,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.048643745
21,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.07552594
22,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,-0.379436
23,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.0369058
24,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.064446755
25,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.06784672
26,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.036682744
27,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.028674223
28,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.042581845
29,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.061506644
30,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.083393335
31,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.063178115
32,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.052110326
33,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,-0.11547902
34,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.03866275
35,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.046128493
36,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.043987397
37,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.035931967
67,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.008290548
68,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.012698611
69,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.0130988015
70,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.024621217
71,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.016275017
72,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.011354662
