"method","ROI_ID","celltype","proportion"
"DWLS","2534_A_001","Astrocytes1",0
"DWLS","2534_A_002","Astrocytes1",5.33666361894263e-18
"DWLS","2534_A_003","Astrocytes1",3.84134920971094e-19
"DWLS","2534_A_004","Astrocytes1",2.26783692730856e-17
"DWLS","2534_A_005","Astrocytes1",1.11337728218399e-17
"DWLS","2534_A_006","Astrocytes1",2.05727766103505e-17
"DWLS","2534_A_007","Astrocytes1",0
"DWLS","2534_A_008","Astrocytes1",1.74450891009352e-17
"DWLS","2534_A_009","Astrocytes1",0
"DWLS","2534_A_010","Astrocytes1",0
"DWLS","2534_B_001","Astrocytes1",5.1971258016079e-18
"DWLS","2534_C_001","Astrocytes1",0
"DWLS","2534_C_002","Astrocytes1",1.48886640936863e-17
"DWLS","2534_C_003","Astrocytes1",5.21625298706758e-19
"DWLS","2534_C_004","Astrocytes1",8.13761819655172e-18
"DWLS","2534_C_005","Astrocytes1",3.37307615986815e-19
"DWLS","2534_C_006","Astrocytes1",0
"DWLS","2534_C_007","Astrocytes1",0
"DWLS","2534_C_008","Astrocytes1",0
"DWLS","2534_D_001","Astrocytes1",8.68513782827731e-18
"DWLS","2534_D_002","Astrocytes1",1.61132598537623e-18
"DWLS","2534_D_003","Astrocytes1",0
"DWLS","2534_D_004","Astrocytes1",1.18587204681051e-17
"DWLS","2534_D_005","Astrocytes1",1.83486713380057e-17
"DWLS","2534_D_006","Astrocytes1",0
"DWLS","2534_D_007","Astrocytes1",2.65731388355776e-18
"DWLS","2534_D_008","Astrocytes1",3.43316778172327e-17
"DWLS","2534_E_001","Astrocytes1",4.88998956516089e-17
"DWLS","2534_E_002","Astrocytes1",0
"DWLS","2534_E_003","Astrocytes1",7.24679244013163e-18
"DWLS","2534_E_004","Astrocytes1",0
"DWLS","2534_F_001","Astrocytes1",0
"DWLS","2534_F_002","Astrocytes1",1.29624385349235e-17
"DWLS","2534_F_003","Astrocytes1",0
"DWLS","2534_F_004","Astrocytes1",0
"DWLS","2534_F_005","Astrocytes1",2.35129303651473e-17
"DWLS","2534_F_006","Astrocytes1",0
"DWLS","2534_F_007","Astrocytes1",4.51514708587425e-17
"DWLS","2732_D_001","Astrocytes1",4.19773121403772e-18
"DWLS","2732_D_002","Astrocytes1",0
"DWLS","2732_D_003","Astrocytes1",6.65451279417082e-18
"DWLS","2732_D_005","Astrocytes1",0
"DWLS","2732_D_006","Astrocytes1",5.012957061149e-18
"DWLS","2732_D_007","Astrocytes1",0
"DWLS","2732_E_001","Astrocytes1",0
"DWLS","2732_E_002","Astrocytes1",2.37192938890683e-18
"DWLS","2732_E_003","Astrocytes1",1.08100819108278e-17
"DWLS","2732_E_004","Astrocytes1",1.05288353454989e-17
"DWLS","2732_F_001","Astrocytes1",0
"DWLS","2732_F_002","Astrocytes1",0
"DWLS","2732_F_003","Astrocytes1",1.51589475961805e-17
"DWLS","2732_F_004","Astrocytes1",0
"DWLS","2732_F_005","Astrocytes1",0
"DWLS","2732_F_006","Astrocytes1",0
"DWLS","2497_D_001","Astrocytes1",1.88507005015567e-17
"DWLS","2497_D_002","Astrocytes1",0
"DWLS","2497_D_003","Astrocytes1",1.17085678923526e-17
"DWLS","2497_D_004","Astrocytes1",0
"DWLS","2497_D_005","Astrocytes1",0
"DWLS","2497_E_001","Astrocytes1",3.61266071250154e-17
"DWLS","2497_E_002","Astrocytes1",0
"DWLS","2497_E_003","Astrocytes1",0
"DWLS","2497_E_004","Astrocytes1",1.84419444452891e-17
"DWLS","2497_F_001","Astrocytes1",0
"DWLS","2497_F_002","Astrocytes1",0
"DWLS","2497_F_003","Astrocytes1",0
"DWLS","2497_F_004","Astrocytes1",0
"DWLS","2845_A_001","Astrocytes1",0
"DWLS","2845_A_002","Astrocytes1",3.18752520059726e-18
"DWLS","2845_A_003","Astrocytes1",4.05412807691785e-17
"DWLS","2845_A_004","Astrocytes1",0
"DWLS","2845_A_005","Astrocytes1",0
"DWLS","2845_A_006","Astrocytes1",1.9262895398994e-17
"DWLS","2845_A_007","Astrocytes1",2.73592448554515e-17
"DWLS","2845_A_008","Astrocytes1",0
"DWLS","2845_A_009","Astrocytes1",2.02137994471971e-18
"DWLS","2845_A_010","Astrocytes1",2.12105462402864e-17
"DWLS","2845_A_011","Astrocytes1",9.81359727252351e-18
"DWLS","2845_A_012","Astrocytes1",1.43793004552537e-18
"DWLS","2845_B_001","Astrocytes1",0
"DWLS","2845_B_002","Astrocytes1",1.25327555524234e-17
"DWLS","2845_B_003","Astrocytes1",0
"DWLS","2845_B_004","Astrocytes1",0
