method,lineage,n_comparable,method_fraction_nonzero,spearman_rho,pearson_r,mean_abs_difference,mean_comparison_method,mean_baseline
DWLS,OPC,190,0.9947368421052631,0.46713205351948806,0.39523348297856786,0.007467530491273059,0.010397536347621984,0.014963132648947369
DWLS,VLMC,190,1,0.34045060294715845,0.1383684861046566,0.0163591768044896,0.024522979852852005,0.017051497786
DWLS,Pericytes,190,0.9947368421052631,0.32577167176230276,0.21345854473985384,0.011164302889472986,0.011548730356991043,0.01194680951668421
DWLS,Astrocytes,190,1,0.3062219247945343,0.38490715207871173,0.060675431089352354,0.11223113862942662,0.054645345938
DWLS,Microglia,190,1,0.28407930821818944,0.1847638893610841,0.09092131808430463,0.15194000762754747,0.06589560397268421
DWLS,SMC,190,1,0.28385011394104803,0.2686834262008402,0.04607002608337609,0.05468860962891395,0.008623280286
DWLS,Excitatory neurons,190,1,0.23998127955140902,0.3583857350942483,0.26650774268175237,0.3990397559801048,0.13318839356184212
DWLS,Endothelial,190,1,0.027554925708687075,0.07334532591351879,0.09384739148650519,0.10879989190611992,0.018165526851578948
DWLS,Oligodendrocytes,190,1,0.0034247923473605477,-0.15355612396029886,0.1292349601779807,0.04006118395434501,0.15948396734157894
DWLS,Fibroblast,190,1,-0.3261915696746228,-0.4611750144674362,0.47058471598020846,0.023397973072423105,0.4939826890526316
DWLS,Inhibitory neurons,190,1,-0.34611222646494066,-0.3950786595554394,0.06141068855590767,0.06337219264365405,0.022053743782263158
