method,celltype,n_total,n_evaluable,n_nonzero,fraction_nonzero,mean_proportion,median_proportion,max_proportion,usage_status
SpatialDecon,Oligodendrocytes2,190,177,159,0.8983050847457628,0.36811010448070863,0.312670847094062,1,used
SpatialDecon,Endothelial,190,177,144,0.8135593220338984,0.13625603325619093,0.0819234565634191,0.788886765086379,used
SpatialDecon,Astrocytes2,190,177,131,0.7401129943502824,0.07120585613116155,0.0425965163460461,0.666732429051617,used
SpatialDecon,ExNeuron1,190,177,118,0.6666666666666666,0.30775414706728643,0.166230505879222,1,used
SpatialDecon,Microglia2,190,177,111,0.6271186440677966,0.027576933364024656,0.0130724688112108,0.152913971370225,used
SpatialDecon,Microglia5,190,177,85,0.480225988700565,0.03257240585514508,0,0.313185299829219,used
SpatialDecon,SMC,190,177,28,0.15819209039548024,0.011009046177909133,0,0.363823510272754,used
SpatialDecon,Microglia3,190,177,23,0.12994350282485875,0.007334160901279158,0,0.258228388032483,used
SpatialDecon,Pericytes,190,177,15,0.0847457627118644,0.0024162888458470386,0,0.164319924661686,rare
SpatialDecon,Oligodendrocytes6,190,177,9,0.05084745762711865,0.005946857008555451,0,0.497164070853026,rare
SpatialDecon,Astrocytes4,190,177,9,0.05084745762711865,0.0037282022404277744,0,0.182269934499679,rare
SpatialDecon,Fibroblast,190,177,6,0.03389830508474576,0.0034276809688727067,0,0.379620019384622,rare
SpatialDecon,VLMC1,190,177,5,0.02824858757062147,0.006203904362093907,0,0.987880248907438,rare
SpatialDecon,Astrocytes5,190,177,4,0.022598870056497175,0.006935847015250461,0,1,rare
SpatialDecon,ExNeuron9,190,177,2,0.011299435028248588,0.002176281938050823,0,0.382525199513383,rare
SpatialDecon,ExNeuron2,190,177,1,0.005649717514124294,0.0032448346909566272,0,0.574335740299323,rare
SpatialDecon,InhNeuron4,190,177,1,0.005649717514124294,0.0017990519626065594,0,0.318432197381361,rare
SpatialDecon,ExNeuron6,190,177,1,0.005649717514124294,0.0013438123226101413,0,0.237854781101995,rare
SpatialDecon,Astrocytes1,190,177,1,0.005649717514124294,6.058308605611073e-4,0,0.107232062319316,rare
SpatialDecon,InhNeuron3,190,177,1,0.005649717514124294,3.341586442624859e-4,0,0.05914608003446,rare
SpatialDecon,OPC3,190,177,1,0.005649717514124294,1.8561906199362373e-5,0,0.00328545739728714,rare
SpatialDecon,Astrocytes3,190,177,0,0,0,0,0,all_zero
SpatialDecon,ExNeuron10,190,177,0,0,0,0,0,all_zero
SpatialDecon,ExNeuron11,190,177,0,0,0,0,0,all_zero
SpatialDecon,ExNeuron12,190,177,0,0,0,0,0,all_zero
SpatialDecon,ExNeuron13,190,177,0,0,0,0,0,all_zero
SpatialDecon,ExNeuron14,190,177,0,0,0,0,0,all_zero
SpatialDecon,ExNeuron3,190,177,0,0,0,0,0,all_zero
SpatialDecon,ExNeuron4,190,177,0,0,0,0,0,all_zero
SpatialDecon,ExNeuron5,190,177,0,0,0,0,0,all_zero
SpatialDecon,ExNeuron7,190,177,0,0,0,0,0,all_zero
SpatialDecon,ExNeuron8,190,177,0,0,0,0,0,all_zero
SpatialDecon,InhNeuron1,190,177,0,0,0,0,0,all_zero
SpatialDecon,InhNeuron2,190,177,0,0,0,0,0,all_zero
SpatialDecon,InhNeuron5,190,177,0,0,0,0,0,all_zero
SpatialDecon,Microglia1,190,177,0,0,0,0,0,all_zero
SpatialDecon,Microglia4,190,177,0,0,0,0,0,all_zero
SpatialDecon,OPC1,190,177,0,0,0,0,0,all_zero
SpatialDecon,OPC2,190,177,0,0,0,0,0,all_zero
SpatialDecon,Oligodendrocytes1,190,177,0,0,0,0,0,all_zero
SpatialDecon,Oligodendrocytes3,190,177,0,0,0,0,0,all_zero
SpatialDecon,Oligodendrocytes4,190,177,0,0,0,0,0,all_zero
SpatialDecon,Oligodendrocytes5,190,177,0,0,0,0,0,all_zero
SpatialDecon,Oligodendrocytes7,190,177,0,0,0,0,0,all_zero
SpatialDecon,Oligodendrocytes8,190,177,0,0,0,0,0,all_zero
SpatialDecon,VLMC2,190,177,0,0,0,0,0,all_zero
