"method","ROI_ID","celltype","proportion"
"SpatialDecon","2534_A_001","Astrocytes1",0
"SpatialDecon","2534_A_002","Astrocytes1",0
"SpatialDecon","2534_A_003","Astrocytes1",0
"SpatialDecon","2534_A_004","Astrocytes1",0
"SpatialDecon","2534_A_005","Astrocytes1",0
"SpatialDecon","2534_A_006","Astrocytes1",0
"SpatialDecon","2534_A_007","Astrocytes1",0
"SpatialDecon","2534_A_008","Astrocytes1",0
"SpatialDecon","2534_A_009","Astrocytes1",0
"SpatialDecon","2534_A_010","Astrocytes1",0
"SpatialDecon","2534_B_001","Astrocytes1",0
"SpatialDecon","2534_C_001","Astrocytes1",0
"SpatialDecon","2534_C_002","Astrocytes1",0
"SpatialDecon","2534_C_003","Astrocytes1",0
"SpatialDecon","2534_C_004","Astrocytes1",0
"SpatialDecon","2534_C_005","Astrocytes1",0
"SpatialDecon","2534_C_006","Astrocytes1",NA
"SpatialDecon","2534_C_007","Astrocytes1",0
"SpatialDecon","2534_C_008","Astrocytes1",0
"SpatialDecon","2534_D_001","Astrocytes1",0
"SpatialDecon","2534_D_002","Astrocytes1",0
"SpatialDecon","2534_D_003","Astrocytes1",0
"SpatialDecon","2534_D_004","Astrocytes1",0
"SpatialDecon","2534_D_005","Astrocytes1",0
"SpatialDecon","2534_D_006","Astrocytes1",0
"SpatialDecon","2534_D_007","Astrocytes1",0
"SpatialDecon","2534_D_008","Astrocytes1",0
"SpatialDecon","2534_E_001","Astrocytes1",0
"SpatialDecon","2534_E_002","Astrocytes1",0
"SpatialDecon","2534_E_003","Astrocytes1",0
"SpatialDecon","2534_E_004","Astrocytes1",0
"SpatialDecon","2534_F_001","Astrocytes1",0
"SpatialDecon","2534_F_002","Astrocytes1",0
"SpatialDecon","2534_F_003","Astrocytes1",0
"SpatialDecon","2534_F_004","Astrocytes1",0
"SpatialDecon","2534_F_005","Astrocytes1",0
"SpatialDecon","2534_F_006","Astrocytes1",0
"SpatialDecon","2534_F_007","Astrocytes1",0
"SpatialDecon","2732_D_001","Astrocytes1",0
"SpatialDecon","2732_D_002","Astrocytes1",0
"SpatialDecon","2732_D_003","Astrocytes1",0
"SpatialDecon","2732_D_005","Astrocytes1",0
"SpatialDecon","2732_D_006","Astrocytes1",0
"SpatialDecon","2732_D_007","Astrocytes1",0
"SpatialDecon","2732_E_001","Astrocytes1",0
"SpatialDecon","2732_E_002","Astrocytes1",0
"SpatialDecon","2732_E_003","Astrocytes1",0
"SpatialDecon","2732_E_004","Astrocytes1",0
"SpatialDecon","2732_F_001","Astrocytes1",0
"SpatialDecon","2732_F_002","Astrocytes1",0
"SpatialDecon","2732_F_003","Astrocytes1",0
"SpatialDecon","2732_F_004","Astrocytes1",0
"SpatialDecon","2732_F_005","Astrocytes1",0
"SpatialDecon","2732_F_006","Astrocytes1",0
"SpatialDecon","2497_D_001","Astrocytes1",NA
"SpatialDecon","2497_D_002","Astrocytes1",NA
"SpatialDecon","2497_D_003","Astrocytes1",NA
"SpatialDecon","2497_D_004","Astrocytes1",NA
"SpatialDecon","2497_D_005","Astrocytes1",NA
"SpatialDecon","2497_E_001","Astrocytes1",0.107232062319316
"SpatialDecon","2497_E_002","Astrocytes1",NA
"SpatialDecon","2497_E_003","Astrocytes1",NA
"SpatialDecon","2497_E_004","Astrocytes1",0
"SpatialDecon","2497_F_001","Astrocytes1",NA
"SpatialDecon","2497_F_002","Astrocytes1",NA
"SpatialDecon","2497_F_003","Astrocytes1",0
"SpatialDecon","2497_F_004","Astrocytes1",0
"SpatialDecon","2845_A_001","Astrocytes1",0
"SpatialDecon","2845_A_002","Astrocytes1",0
"SpatialDecon","2845_A_003","Astrocytes1",0
"SpatialDecon","2845_A_004","Astrocytes1",0
"SpatialDecon","2845_A_005","Astrocytes1",0
"SpatialDecon","2845_A_006","Astrocytes1",0
"SpatialDecon","2845_A_007","Astrocytes1",0
"SpatialDecon","2845_A_008","Astrocytes1",0
"SpatialDecon","2845_A_009","Astrocytes1",0
"SpatialDecon","2845_A_010","Astrocytes1",0
"SpatialDecon","2845_A_011","Astrocytes1",0
"SpatialDecon","2845_A_012","Astrocytes1",0
"SpatialDecon","2845_B_001","Astrocytes1",0
"SpatialDecon","2845_B_002","Astrocytes1",0
"SpatialDecon","2845_B_003","Astrocytes1",0
"SpatialDecon","2845_B_004","Astrocytes1",NA
"SpatialDecon","2845_B_005","Astrocytes1",0
"SpatialDecon","2845_C_001","Astrocytes1",0
"SpatialDecon","2845_C_002","Astrocytes1",0
