method,lineage,n_comparable,method_fraction_nonzero,spearman_rho,pearson_r,mean_abs_difference,mean_comparison_method,mean_baseline
SpatialDecon,Excitatory neurons,177,0.6779661016949152,0.9006880043687349,0.9000250627364963,0.20955662710634176,0.31451907601890405,0.13318839356184212
SpatialDecon,Oligodendrocytes,177,0.8983050847457628,0.8967181232282253,0.8839237677248036,0.2151345317054934,0.3740569614892641,0.15948396734157894
SpatialDecon,Astrocytes,177,0.7627118644067796,0.7546301733982733,0.45875264947878774,0.04781164865888871,0.08247573624740089,0.054645345938
SpatialDecon,Endothelial,177,0.8135593220338984,0.6532453604565744,0.7117357603238319,0.11858684763558586,0.13625603325619093,0.018165526851578948
SpatialDecon,Microglia,177,0.6949152542372882,0.5991707279999408,0.5772855593143721,0.049191858137024286,0.06748350012044889,0.06589560397268421
SpatialDecon,SMC,177,0.15819209039548024,0.31768788100346607,0.21312867052653925,0.01626040390298602,0.011009046177909133,0.008623280286
SpatialDecon,Pericytes,177,0.0847457627118644,0.2990171624620273,0.1936679293125312,0.012745586100857043,0.0024162888458470386,0.01194680951668421
SpatialDecon,Fibroblast,177,0.03389830508474576,0.25387022052113595,0.24745974613007432,0.46976375044355667,0.0034276809688727067,0.4939826890526316
SpatialDecon,VLMC,177,0.02824858757062147,0.176248876501209,-0.007527377518170092,0.022665685563964925,0.006203904362093907,0.017051497786
SpatialDecon,OPC,177,0.005649717514124294,0.1239216650531758,0.2103398948310281,0.015279982828263915,1.8561906199362373e-5,0.014963132648947369
SpatialDecon,Inhibitory neurons,177,0.011299435028248588,-0.06777939272308857,-0.032510505649055284,0.024024304161275826,0.0021332106068690454,0.022053743782263158
