"celltype","n_markers_requested","n_markers_found","statistic","p.value","n","p_adj"
"ExNeuron1",20,13,0.134284227147275,0.0647267445010944,190,0.0662678574654062
"Oligodendrocytes8",20,7,0.131005524281909,0.0716016126817122,190,0.0716016126817122
"Astrocytes3",20,7,-0.137125536353974,0.0592149854006991,190,0.0621035212739039
"Oligodendrocytes2",20,8,-0.165052246672528,0.0228636280932749,190,0.0245784002002705
"ExNeuron8",20,3,-0.180626960070333,0.0126352223030051,190,0.0139311425392108
"Oligodendrocytes6",20,15,-0.198456875172224,0.00605397909862215,190,0.00685055529580927
"Astrocytes5",20,9,-0.210304994598188,0.0035870085681854,190,0.00416868563329655
"Astrocytes1",20,3,-0.226801733828463,0.00165110209199356,190,0.00197214972099231
"Astrocytes2",20,11,-0.229149662988186,0.00147178015362061,190,0.00180818704587675
"Pericytes",20,14,-0.30327739068439,2.10535570420992e-05,190,2.6626557435596e-05
"Microglia5",20,16,-0.325691191329108,4.5319712275815e-06,190,5.90529584200013e-06
"ExNeuron11",20,6,-0.340268647185153,1.55961090243102e-06,190,2.09572715014168e-06
"OPC1",20,12,-0.344159701172652,1.16228447079444e-06,190,1.61220104013422e-06
"InhNeuron5",20,6,-0.348111990272365,8.58663233803432e-07,190,1.23075063511825e-06
"ExNeuron2",20,7,-0.349027017806296,8.0006208461281e-07,190,1.18629895304658e-06
"Astrocytes4",20,16,-0.359108066851247,3.61770316943217e-07,190,5.55575843877083e-07
"Oligodendrocytes5",20,7,-0.367084377610693,1.89307899522127e-07,190,3.01490358498203e-07
"ExNeuron7",20,5,-0.37311866052566,1.14623378233846e-07,190,1.895694332329e-07
"Oligodendrocytes1",20,3,-0.375554068417116,9.33398625754151e-08,190,1.60544563629714e-07
"OPC2",20,9,-0.376937981953138,8.29945100878136e-08,190,1.48698497240666e-07
"InhNeuron2",20,6,-0.402555253753931,8.52728447657677e-09,190,1.59423144562087e-08
"ExNeuron9",20,6,-0.421378927248313,1.41053323807002e-09,190,2.75695132895504e-09
"OPC3",20,5,-0.431990097407568,4.86601954252745e-10,190,9.96375430136574e-10
"ExNeuron3",20,3,-0.437644722626811,2.71803046433542e-10,190,5.84376549832115e-10
"ExNeuron13",20,3,-0.43967247962839,2.19997121798805e-10,190,4.97888223018349e-10
"Microglia1",20,10,-0.442114885818385,1.70213142645076e-10,190,4.06620285207682e-10
"ExNeuron14",20,3,-0.452297410192147,5.71236038947383e-11,190,1.4448911573375e-10
"ExNeuron4",20,6,-0.458001023501161,3.04988774335183e-11,190,8.19657331025805e-11
"Oligodendrocytes4",20,11,-0.461040034641578,2.1727082621814e-11,190,6.22843035158668e-11
"Oligodendrocytes7",20,7,-0.46118349976162,2.13802411751073e-11,190,6.22843035158668e-11
"InhNeuron4",20,13,-0.464570676254336,1.45901793020452e-11,190,4.82598238452265e-11
"Microglia4",20,14,-0.470944376648427,7.02754171135491e-12,190,2.51820244656884e-11
"Oligodendrocytes3",20,7,-0.498167757963845,2.60269733809816e-13,190,1.01741805034746e-12
"ExNeuron5",20,5,-0.499672392149659,2.1506016721819e-13,190,9.24758719038219e-13
"Fibroblast",20,15,-0.509700953955569,5.88527540215503e-14,190,2.81185380325185e-13
"InhNeuron3",20,13,-0.527196700302239,5.52911654975107e-15,190,2.9719001454912e-14
"Microglia3",20,17,-0.561248671416762,3.67451825529912e-17,190,2.25720407111231e-16
"Microglia2",20,14,-0.574909350164241,4.16350498967621e-18,190,2.98384524260129e-17
"VLMC1",20,13,-0.57772441575142,2.62459370178632e-18,190,2.25715058353623e-17
"InhNeuron1",20,10,-0.597333648256767,9.29160538197326e-20,190,9.98847578562126e-19
"Endothelial",20,12,-0.606113013773526,1.9309242685196e-20,190,2.76765811821142e-19
"SMC",20,15,-0.649360749167859,3.91992722240389e-24,190,8.42784352816836e-23
"VLMC2",20,16,-0.659718231005087,4.15024583746805e-25,190,1.78460571011126e-23
"ExNeuron10",20,1,NA,NA,NA,NA
"ExNeuron12",20,0,NA,NA,NA,NA
"ExNeuron6",20,2,NA,NA,NA,NA
