"celltype","n_markers_requested","n_markers_found","statistic","p.value","n","p_adj"
"Astrocytes5",20,9,0.453431134555411,5.04712876301374e-11,190,1.75810003126934e-09
"Microglia2",20,14,0.448988964557992,8.17720944776437e-11,190,1.75810003126934e-09
"Astrocytes3",20,7,0.415040218346914,2.61778756081342e-09,190,3.75216217049924e-08
"Microglia5",20,16,0.389435193568564,2.8019948647561e-08,190,3.01214447961281e-07
"InhNeuron5",20,6,0.384251203926046,4.42058109993024e-08,190,3.80169974594001e-07
"Oligodendrocytes6",20,15,0.375015199429639,9.76941017675334e-08,190,7.00141062667323e-07
"OPC2",20,9,0.365990893464027,2.07099975116865e-07,190,1.27218556143217e-06
"ExNeuron2",20,7,0.361407007921199,3.0071024563273e-07,190,1.43672672913416e-06
"Microglia4",20,14,0.350193984087619,7.30854850858461e-07,190,2.99968058786237e-06
"Oligodendrocytes8",20,7,0.349565886793773,7.67360150383397e-07,190,2.99968058786237e-06
"Astrocytes1",20,3,0.334101396597952,2.4655235798199e-06,190,8.83479282768798e-06
"Astrocytes2",20,11,0.322699418703828,5.60343051983307e-06,190,1.85344240271401e-05
"ExNeuron3",20,3,0.302710528502758,2.18526213364099e-05,190,6.71187655332591e-05
"ExNeuron11",20,6,0.283731142865891,7.27857849246393e-05,190,0.000208652583450633
"OPC1",20,12,0.233810529814939,0.00116747496776052,190,0.00278896797853902
"ExNeuron5",20,5,0.229287879384325,0.001461800607541,190,0.00330828558548752
"InhNeuron3",20,13,0.204300454452011,0.00469294748038392,190,0.0100898370828254
"Oligodendrocytes7",20,7,0.199228437586112,0.00585606955704169,190,0.0119909995691806
"ExNeuron8",20,3,0.195878002160725,0.00675956479337619,190,0.0132118766415989
"Astrocytes4",20,16,0.186727726821417,0.00989124285030716,190,0.0177218101068003
"ExNeuron1",20,13,0.158496590516431,0.0289524901250305,190,0.0478829644375504
"Oligodendrocytes4",20,11,0.153870715182371,0.0340393962732463,190,0.054210890361096
"Microglia1",20,10,0.145042361575842,0.0458633541456961,190,0.070433008152319
"Pericytes",20,14,0.13780262173759,0.0579601901582918,190,0.0859409716140188
"InhNeuron4",20,13,0.132062267361248,0.0693237871995086,190,0.0993640949859623
"Fibroblast",20,15,0.120014696426931,0.0990782653465452,190,0.129101982118226
"InhNeuron2",20,6,0.118924711429534,0.10220605114508,190,0.129260594095248
"ExNeuron7",20,5,0.0891731947670223,0.221142624564167,190,0.271689510178833
"Oligodendrocytes2",20,8,0.0785830195033832,0.281162405754961,190,0.318157459143772
"ExNeuron4",20,6,0.0106697809095164,0.883837384492797,190,0.926951403248543
"ExNeuron9",20,6,0.00425584029882735,0.953528895030752,190,0.97382668734276
"ExNeuron13",20,3,-0.00239604246217638,0.97382668734276,190,0.97382668734276
"Microglia3",20,17,-0.0587463422955294,0.420753609147305,190,0.452310129833353
"Oligodendrocytes1",20,3,-0.0754897715492921,0.30059139515822,190,0.331421281841115
"Oligodendrocytes5",20,7,-0.0798532106881514,0.273434731498799,190,0.317775498768874
"Endothelial",20,12,-0.0798637081359594,0.273371472525067,190,0.317775498768874
"VLMC1",20,13,-0.126377899373215,0.0823030283098502,190,0.110594694291361
"OPC3",20,5,-0.130543636578357,0.0726161448687841,190,0.100725620301862
"VLMC2",20,16,-0.169079767481531,0.0196985945739261,190,0.0338815826671529
"Oligodendrocytes3",20,7,-0.193398854903402,0.00750605609349992,190,0.0140330613921955
"ExNeuron14",20,3,-0.235663329353051,0.00106343220704039,190,0.00268985793545511
"InhNeuron1",20,10,-0.252149571135518,0.00044880296533218,190,0.00120615796933023
"SMC",20,15,-0.364307802665477,2.37653465405566e-07,190,1.27738737655492e-06
"ExNeuron10",20,1,NA,NA,NA,NA
"ExNeuron12",20,0,NA,NA,NA,NA
"ExNeuron6",20,2,NA,NA,NA,NA
