"","Astrocytes1","Astrocytes2","Astrocytes3","Astrocytes4","Astrocytes5","Endothelial","ExNeuron1","ExNeuron11","ExNeuron13","ExNeuron14","ExNeuron2","ExNeuron3","ExNeuron4","ExNeuron5","ExNeuron7","ExNeuron8","ExNeuron9","Fibroblast","InhNeuron1","InhNeuron2","InhNeuron3","InhNeuron4","InhNeuron5","Microglia1","Microglia2","Microglia3","Microglia4","Microglia5","Oligodendrocytes1","Oligodendrocytes2","Oligodendrocytes3","Oligodendrocytes4","Oligodendrocytes5","Oligodendrocytes6","Oligodendrocytes7","Oligodendrocytes8","OPC1","OPC2","OPC3","Pericytes","SMC","VLMC1","VLMC2"
"Astrocytes1",0.135382960017846,0.169881072664209,0.0885118555551182,0.386201979643699,-0.149939420978275,-0.077244594907863,0.64551868327013,0.0105263157894737,0.00891145840167609,0.0137385348187222,0.13672663333727,-0.0130824443307221,-0.0213964229946594,0.0559487724546969,0.21063916335341,0.0926985876558762,-0.0210867482843234,0.0657131484907732,-0.0689988496546777,-0.000296552900576047,0.10371041040647,0.152833217424014,0.0581269928748573,0.0465343113455541,-0.150726729563875,-0.0150489662200877,-0.0273484759017964,-0.101535689135579,-0.00598966876178229,-0.264909218946144,-0.0961907386266714,0.028989576909114,0.0345322293517389,-0.0947910789189378,0.0559347758576196,-0.0864788498296352,0.0634317031671675,0.14465920473085,0.00407038538755265,0.0192881855598858,-0.204954795365377,-0.049881247621672,0.0317871467499464
"Astrocytes2",-0.0468842262724875,0.0138872486626689,-0.0884261263980195,0.198568847948842,-0.288152317967694,-0.305833519225638,0.71086529587494,-0.2279442060649,-0.201691838671723,-0.207825847340865,-0.0913584134857213,-0.17748822317574,-0.236286177922992,-0.187621759459731,-0.0285049447353112,-0.0157662918203012,-0.244003551636508,-0.212385238838807,-0.30228013314263,-0.204909306424875,-0.158137927716324,-0.105383003757212,-0.171485432604198,-0.174359983728956,-0.381976756900978,-0.275485397612705,-0.275327935895585,-0.366914668871131,-0.12805924059713,-0.356502950220228,-0.325565221955412,-0.220814689428633,-0.190457819942526,-0.311769825961063,-0.128391659777717,-0.242582897033159,-0.216841405433304,-0.0484360989734371,-0.185646489697192,-0.257193594807262,-0.412137674028002,-0.29925861774856,-0.213510215328898
"Astrocytes3",0.0425435316038788,0.329639981279551,0.26061926194194,0.217486998473496,0.131859316703626,0.0587970799599347,-0.0777974604924178,0.0929487768286335,0.0172709260061148,0.119983204083507,0.0398299413455104,0.0442336207009671,0.0904083944590971,0.0393680536419583,0.14741828392972,0.0595196542840522,0.0211882236131341,0.105699676766086,0.00611738771011298,0.0301635414889755,0.077265589803479,0.117388584900296,0.0840014521469468,0.0593656917162015,0.105844891460764,0.0728514130002143,0.0662887585455786,0.0884016323531341,-0.0716826971442568,0.100041552397573,0.205525156696278,0.0657411416849279,0.13506978615824,0.168399182948646,0.0875810818494753,0.279917070162317,0.146449019582114,0.0639513268336636,0.194030451346516,0.170787352324966,0.0213876751214861,0.0832578829272133,0.158326881776868
"Astrocytes4",0.0927423270217428,0.0929855178959615,-0.022958793143417,0.318710388536787,-0.193785510897663,-0.0496573020684346,0.737560305650689,0.0582319673529373,0.0512949039264829,0.0417422264212013,0.180333031531709,0.0588145757062814,0.0122076570133886,0.0585661361081587,0.263609284992586,0.0774685404611004,0.0218863038923662,0.0970567780708315,-0.0392298372458196,0.0643887204923303,0.132695613378997,0.164712829193402,0.0902614301897851,0.132669369759477,-0.135302479584651,0.0297821342186181,0.0236113844821478,-0.0614144436133965,0.0503886242657254,-0.385383178714675,-0.103603686353755,0.0681782991510189,0.0327074230077812,-0.136443202246454,0.0823446049679172,-0.172745126341158,0.0110074488140071,0.159264653781049,-0.0258053510740201,-0.00812414981607597,-0.224968179611332,-0.0144313663740503,0.0409986572014679
"Astrocytes5",0.0968765718834608,0.442412313506279,0.368655495632624,0.366353055413403,0.23779606083271,0.0933669251663189,-0.0193826625901578,0.12317092906787,0.0499879716743867,0.178156560686183,0.113775713279709,0.133580898144139,0.160382631972602,0.110364042742108,0.224114387189614,0.0764607854715322,0.0384075371675261,0.17396807901079,0.0847922598818162,0.111943908637213,0.143219304806519,0.177294020391292,0.12101895226723,0.139356244013174,0.14917660643756,0.162062223621882,0.134336714386315,0.170999050855761,0.0033635572351472,0.179762670200807,0.209699641774594,0.145343288413005,0.164256190213754,0.183540001837053,0.158004960044089,0.245880845219506,0.209024305965612,0.179479239109991,0.234244424324336,0.245574669658439,0.0891329545504249,0.161719306993487,0.241813084193905
"Endothelial",-0.0222292205207609,0.0660438180967252,0.0344849908366028,0.01666557318252,0.0422356064681774,0.19729690718944,-0.160699304981476,-0.0464170898450314,0.0655031995346131,0.0727761812909236,0.0383060618387155,-0.0305414496100636,0.0365162469874512,0.0613217161577591,-0.0360911003512271,-0.00999444510053493,0.0291487882008687,0.0642347579244796,0.0347544253303416,-0.00804017023361195,-0.0555096292213955,-0.0861551785222218,0.0516360709802429,0.00828511068246533,0.0384932663246248,0.0554903839004142,-0.000641219103605436,0.125125203934793,0.0348768955547682,0.0849129805316082,0.0975834000358663,0.0220227707138702,0.0137945212070315,-0.0227978322770276,0.00512712846689149,0.142013847883233,0.0933791721887616,0.0815188057403544,0.0544161450747287,0.146354542551842,0.243483927970012,0.117297607019293,0.107758926111089
"ExNeuron1",-0.0268918369221483,-0.097700621536389,-0.164558866625552,0.154694764835299,-0.35559667055947,-0.20320522073071,0.818929522759779,-0.0871104462727499,-0.0300690644587035,-0.0545963512620994,0.0817165076740717,-0.054235938887358,-0.13916728995263,-0.0981695075384797,0.159532338700154,0.06252542350641,-0.0983899539424477,-0.0807367458786582,-0.159173675900047,-0.120679534788105,-0.0365092486889125,0.0323785029764638,-0.0293692346048367,-0.00717413078945181,-0.285069567461411,-0.128556119793375,-0.150025150135373,-0.21877818455388,-0.0667628932715733,-0.515493795570952,-0.213697419814807,-0.0854256058995656,-0.118037677089758,-0.253253552729993,-0.0629243265231141,-0.249939858371933,-0.159248907609337,0.0108814794403111,-0.193748769830335,-0.195703044697258,-0.33219261067153,-0.184295818079229,-0.17969618636469
"ExNeuron10",0.276085501712396,0.421291448516579,0.414021965909538,0.278302212774519,0.391933586146868,0.390834853276297,-0.284541195921741,0.378983234701063,0.261453809042676,0.28657245207259,0.30211917227624,0.27031365499263,0.398219807809226,0.307425632143185,0.310357919230887,0.173927838794193,0.323684429223145,0.394433728299807,0.314590140272146,0.325461997051967,0.304218661837841,0.301232137936464,0.299648772892091,0.302288881015803,0.352200746193582,0.357820379920132,0.358413485721284,0.439878929435281,0.174150034772796,0.144648707283042,0.342802031256151,0.352937317114776,0.381168453419762,0.327435517239871,0.260075144230559,0.231957730276826,0.421665857488398,0.334113643620395,0.439485275142481,0.458039514143124,0.338765762573974,0.39334374330241,0.431577197793786
"ExNeuron11",0.285123804275086,0.270427377343883,0.259448796511348,0.385587878946931,0.171000800430395,0.277950548272951,0.14584016760925,0.350538650290648,0.221442786722478,0.199226688011477,0.37600545867286,0.161551347828559,0.25552799975506,0.253970878330206,0.347315933813592,0.194597313528148,0.264527811675786,0.302498829971963,0.226119399720943,0.253419762320286,0.274561622205601,0.264491070608458,0.286086070324152,0.321208781115091,0.204008275488022,0.330567255835925,0.298109147213584,0.317114776469971,0.25363496000035,-0.0987538654664585,0.118842481421704,0.261154631780148,0.323287275781076,0.156355111163598,0.21851574835868,0.0654682080419198,0.285975847122168,0.299230624554405,0.241303957975217,0.299472065853989,0.224088143570094,0.301708022237094,0.280078031028706
"ExNeuron12",0.159642561902138,0.240966290070727,0.174765885044199,0.415509104349005,-0.0330048506956746,0.0849619686213789,0.554164643720995,0.130904048953098,0.153552292598862,0.164627100036304,0.234004732599387,0.162664077296207,0.12732441925057,0.153564539621305,0.367122868252656,0.146254816797666,0.121316379955123,0.20388755483823,0.0677269088952748,0.10103006206616,0.170804848071313,0.255926902771764,0.179570216990994,0.196346888162815,0.00969526783800688,0.133080519798624,0.104270274289563,0.0842026532299335,0.0874026252367393,-0.263936455449269,0.00593893109737695,0.197156941218666,0.16525169818088,0.0859084884987337,0.154381590975694,-0.0126642959930367,0.148160103574818,0.269937496446176,0.11379845774996,0.135288482987574,-0.0655644346468265,0.0995936612910986,0.114123878632008
