"celltype","n_markers_requested","n_markers_found","statistic","p.value","n","p_adj"
"ExNeuron1",20,13,0.818929522759779,3.23811555107136e-47,190,1.39238968696069e-45
"Microglia5",20,16,0.519320115296968,1.63062899496646e-14,190,3.50585233917789e-13
"VLMC1",20,13,0.465748139983466,1.27627324226252e-11,190,1.82932498057628e-10
"OPC1",20,12,0.444711254576231,1.29291903714316e-10,190,1.3898879649289e-09
"ExNeuron2",20,7,0.408033171935073,5.10943621258094e-09,190,4.39411514281961e-08
"Fibroblast",20,15,0.403865685155297,7.55029811906238e-09,190,5.41104698532804e-08
"InhNeuron4",20,13,0.400679709745568,1.01402885670654e-08,190,6.22903440548304e-08
"InhNeuron3",20,13,0.394717159390623,1.74649409879051e-08,190,9.38740578099902e-08
"Oligodendrocytes5",20,7,0.367934670883142,1.76495432180367e-07,190,8.43255953750643e-07
"Microglia3",20,17,0.362717439322565,2.70459666339081e-07,190,1.16297656525805e-06
"ExNeuron11",20,6,0.350538650290648,7.11534115841835e-07,190,2.78145154374535e-06
"ExNeuron7",20,5,0.348381424766104,8.40994987301407e-07,190,3.01356537116337e-06
"OPC3",20,5,0.343927007746242,1.1830361383176e-06,190,3.91311953443512e-06
"Pericytes",20,14,0.338767512148609,1.7451104806441e-06,190,5.35998219054973e-06
"ExNeuron5",20,5,0.331286331010773,3.02883636546833e-06,190,8.68266424767587e-06
"Oligodendrocytes3",20,7,0.327895655368788,3.87031357905286e-06,190,1.04014677437046e-05
"InhNeuron1",20,10,0.319312242211112,7.10597837150177e-06,190,1.7701963757926e-05
"Astrocytes4",20,16,0.318710388536787,7.41012436378296e-06,190,1.7701963757926e-05
"InhNeuron5",20,6,0.301520817751184,2.36237273470392e-05,190,5.34642250485624e-05
"Microglia1",20,10,0.287555713017273,5.75046664290556e-05,190,0.000123635032822469
"Oligodendrocytes2",20,8,0.282364725076216,7.91142272539474e-05,190,0.000161995798662845
"InhNeuron2",20,6,0.268488848648672,0.000180072424844276,190,0.000351959739468358
"Astrocytes3",20,7,0.26061926194194,0.000281619046231984,190,0.00052650517339023
"SMC",20,15,0.259760220796319,0.000295461824173699,190,0.000529369101644544
"Astrocytes5",20,9,0.23779606083271,0.000954242422806187,190,0.00164129696722664
"ExNeuron8",20,3,0.235173448455344,0.00109008029080229,190,0.00180282509632686
"ExNeuron13",20,3,0.22232807148762,0.00204899112592582,190,0.00326320808943741
"Oligodendrocytes6",20,15,0.214388501795501,0.00297552431433328,190,0.00456955519701182
"Oligodendrocytes4",20,11,0.210042558402988,0.00362993657203741,190,0.00538231974474513
"Endothelial",20,12,0.19729690718944,0.00636277185850973,190,0.00882578031986834
"VLMC2",20,16,0.178726922017085,0.0136165932840109,190,0.0177428336731051
"ExNeuron9",20,6,0.162868777528463,0.0247559906187416,190,0.0313090469589968
"Oligodendrocytes8",20,7,0.151872700949582,0.0364603833618344,190,0.0447941852731109
"Astrocytes1",20,3,0.135382960017846,0.0625475105600163,190,0.0747095265022417
"OPC2",20,9,0.103843378078705,0.153927767187576,190,0.174181420764889
"Microglia4",20,14,0.100877849072944,0.166093876085235,190,0.18312914542731
"ExNeuron14",20,3,0.0696181990753498,0.339857537755987,190,0.359275680393226
"Microglia2",20,14,0.0692297935064537,0.34256518363075,190,0.359275680393226
"Astrocytes2",20,11,0.0138872486626689,0.849177097738918,190,0.869395600066035
"Oligodendrocytes7",20,7,-0.00255175460466174,0.972126422097652,190,0.972126422097652
"ExNeuron3",20,3,-0.11812865497076,0.104539252031009,190,0.121491563171173
"Oligodendrocytes1",20,3,-0.194910487387754,0.00704263175596819,190,0.00946353642208225
"ExNeuron4",20,6,-0.205213732411307,0.0045070816152135,190,0.00646015031513935
"ExNeuron10",20,1,NA,NA,NA,NA
"ExNeuron12",20,0,NA,NA,NA,NA
"ExNeuron6",20,2,NA,NA,NA,NA
