"celltype","n_markers_requested","n_markers_found","statistic","p.value","n","p_adj"
"Astrocytes5",20,9,0.555349551251771,4.18321793447723e-13,145,1.79878371182521e-11
"Microglia2",20,14,0.479700047236656,1.02943920361194e-09,145,2.21329428776566e-08
"Microglia5",20,16,0.415249566997323,2.06444152148257e-07,145,2.21927463559376e-06
"Oligodendrocytes6",20,15,0.397165800661313,7.57124645224545e-07,145,6.51127194893109e-06
"Astrocytes3",20,7,0.387041410801449,1.51659050208029e-06,145,1.08688985982421e-05
"Microglia4",20,14,0.375905369233192,3.17177379089413e-06,145,1.94837532869211e-05
"Oligodendrocytes2",20,8,0.355951818611242,1.1132612191001e-05,145,5.98377905266303e-05
"InhNeuron5",20,6,0.345418044402456,2.08948935450001e-05,145,9.9831158048334e-05
"ExNeuron3",20,3,0.329719729176508,5.12543525392689e-05,145,0.000220393715918856
"OPC2",20,9,0.313678948197134,0.000122070349058818,145,0.000477184091775381
"Oligodendrocytes8",20,7,0.302023303416785,0.000222527888679679,145,0.000797391601102185
"Astrocytes2",20,11,0.286415525114155,0.000478501533018949,145,0.00158273583998575
"Astrocytes1",20,3,0.282546055739254,0.000574677273653982,145,0.00175763407512622
"ExNeuron2",20,7,0.281164383561644,0.000613128165741704,145,0.00175763407512622
"ExNeuron11",20,6,0.25454259171784,0.00200409095635051,145,0.00506917124253364
"OPC1",20,12,0.248941111635963,0.00253288756837868,145,0.00605078696890463
"ExNeuron5",20,5,0.245012596441505,0.00297590161280008,145,0.00641461349781331
"Oligodendrocytes7",20,7,0.190284994489057,0.0218773505735305,145,0.0409011336809484
"InhNeuron4",20,13,0.145410171626516,0.0809669228349345,145,0.133906833919315
"InhNeuron3",20,13,0.1337899543379,0.108643114339345,145,0.173024219133031
"ExNeuron8",20,3,0.128798614391434,0.122599152332684,145,0.188277269653765
"Pericytes",20,14,0.115147220910093,0.167849337746821,145,0.243300639364692
"Fibroblast",20,15,0.114639426861912,0.169744632114902,145,0.243300639364692
"ExNeuron9",20,6,0.111159659896079,0.183161524264732,145,0.254062759463983
"Oligodendrocytes4",20,11,0.0895567627145331,0.28406750101405,145,0.38171570448763
"InhNeuron2",20,6,0.0797866477720044,0.340101401595409,145,0.443162432381896
"ExNeuron7",20,5,0.0687883797827114,0.411004611740141,145,0.519799950141943
"ExNeuron1",20,13,0.0415249566997323,0.61995585497983,145,0.701528993792966
"Astrocytes4",20,16,0.0348449063139663,0.677349221263707,145,0.738648778713512
"Microglia1",20,10,0.0337309085183436,0.687115142989314,145,0.738648778713512
"ExNeuron4",20,6,0.0130806172256338,0.875910931115129,145,0.896765953284536
"ExNeuron13",20,3,0.00210596756416312,0.979943495475725,145,0.979943495475725
"Oligodendrocytes5",20,7,-0.0315934498504173,0.705997473987025,145,0.740436375157124
"Oligodendrocytes1",20,3,-0.0432294126909148,0.60565389827404,145,0.701528993792966
"OPC3",20,5,-0.0547354747283892,0.513183799317302,145,0.612969538073444
"Microglia3",20,17,-0.0653834041883168,0.434600972687649,145,0.533938337873397
"ExNeuron14",20,3,-0.158254605573925,0.0572833216002796,145,0.0985273131524809
"VLMC1",20,13,-0.173787592505117,0.036572694673584,145,0.0655260779568381
"Endothelial",20,12,-0.219902377578334,0.00786828230232704,145,0.0153789154090938
"VLMC2",20,16,-0.233112895606991,0.00477640708355154,145,0.00978026212346268
"Oligodendrocytes3",20,7,-0.244949614233979,0.00298354116177363,145,0.00641461349781331
"InhNeuron1",20,10,-0.268918280585735,0.00107303723744937,145,0.00288378757564519
"SMC",20,15,-0.459565422768068,6.07759264091273e-09,145,8.71121611864159e-08
"ExNeuron10",20,1,NA,NA,NA,NA
"ExNeuron12",20,0,NA,NA,NA,NA
"ExNeuron6",20,2,NA,NA,NA,NA
