"celltype","n_markers_requested","n_markers_found","statistic","p.value","n","p_adj"
"ExNeuron9",20,6,0.789986824769433,1.10660925956481e-10,45,4.75841981612868e-09
"InhNeuron4",20,13,0.724110671936759,1.88997861379249e-08,45,4.06345401965386e-07
"ExNeuron1",20,13,0.716864295125165,3.04256792097991e-08,45,4.36101402007121e-07
"ExNeuron5",20,5,0.701054018445323,8.18694724248514e-08,45,8.80096828567152e-07
"Microglia2",20,14,0.689855072463768,1.58948661951971e-07,45,1.36695849278695e-06
"ExNeuron4",20,6,0.681686429512516,2.5321578546667e-07,45,1.8147131291778e-06
"ExNeuron14",20,3,0.67562582345191,3.54349674227088e-07,45,2.17671942739497e-06
"Microglia3",20,17,0.641106719367589,2.08947288596163e-06,45,1.12309167620437e-05
"VLMC1",20,13,0.623978919631093,4.65591223603783e-06,45,2.22449140166252e-05
"InhNeuron5",20,6,0.616205533596838,6.59423858716433e-06,45,2.83552259248066e-05
"Astrocytes1",20,3,0.607246376811594,9.7372327041248e-06,45,3.80637278433969e-05
"InhNeuron1",20,10,0.6,1.32318107748254e-05,45,4.40084284813648e-05
"OPC3",20,5,0.599868247694335,1.33048737269242e-05,45,4.40084284813648e-05
"InhNeuron3",20,13,0.581818181818182,2.76626284538089e-05,45,8.49637873938418e-05
"Pericytes",20,14,0.570355731225296,4.30679170919247e-05,45,0.000123461362330184
"Oligodendrocytes7",20,7,0.565612648221344,5.14797416284985e-05,45,0.00013835180562659
"Oligodendrocytes1",20,3,0.506455862977602,0.000385579049905817,45,0.000975288185055891
"Astrocytes4",20,16,0.461001317523057,0.00143740052195923,45,0.0034337901357915
"OPC2",20,9,0.458102766798419,0.00155390995531997,45,0.00351674358309257
"Astrocytes3",20,7,0.421080368906456,0.00397092284916721,45,0.00813093726258049
"OPC1",20,12,0.38129117259552,0.00975927413318683,45,0.0182455994663928
"ExNeuron2",20,7,0.377206851119894,0.010639981814538,45,0.0190633007510472
"Microglia4",20,14,0.35862977602108,0.0155572093271465,45,0.026758400042692
"ExNeuron8",20,3,0.334782608695652,0.0245827954552679,45,0.0406561617144815
"SMC",20,15,0.298814229249012,0.0461614225290538,45,0.0735163395833079
"Oligodendrocytes8",20,7,0.256916996047431,0.0884404035532419,45,0.126764578426313
"Oligodendrocytes4",20,11,0.189855072463768,0.211611769290298,45,0.293526002563961
"ExNeuron11",20,6,0.172727272727273,0.256527253544738,45,0.344708496950742
"InhNeuron2",20,6,0.163504611330698,0.283181349681444,45,0.368993879887942
"ExNeuron3",20,3,0.13201581027668,0.387334809238805,45,0.476455880047241
"VLMC2",20,16,0.131884057971014,0.387812925619847,45,0.476455880047241
"Astrocytes5",20,9,0.0401844532279315,0.793255366212564,45,0.874614890952314
"ExNeuron7",20,5,-0.0125164690382082,0.934962081584732,45,0.934962081584732
"Oligodendrocytes3",20,7,-0.0144927536231884,0.924720375245735,45,0.934962081584732
"Fibroblast",20,15,-0.0255599472990777,0.867634816252795,45,0.909958465826103
"Astrocytes2",20,11,-0.0337285902503294,0.825907126542501,45,0.887850161033188
"Oligodendrocytes6",20,15,-0.0517786561264822,0.735518246084293,45,0.832296962674331
"Oligodendrocytes5",20,7,-0.0814229249011858,0.594922980657061,45,0.691396977520368
"ExNeuron13",20,3,-0.121607378129117,0.426165062729494,45,0.509030491593562
"Microglia5",20,16,-0.25836627140975,0.08659624209179,45,0.126764578426313
"Endothelial",20,12,-0.283926218708827,0.0587389335936469,45,0.0902062194473864
"Microglia1",20,10,-0.415678524374176,0.00451510224337886,45,0.00882497256660414
"Oligodendrocytes2",20,8,-0.43227931488801,0.00302242509052397,45,0.00649821394462654
"ExNeuron10",20,1,NA,NA,NA,NA
"ExNeuron12",20,0,NA,NA,NA,NA
"ExNeuron6",20,2,NA,NA,NA,NA
