"celltype","n_markers_requested","n_markers_found","statistic","p.value","n","p_adj"
"Astrocytes5",20,9,0.456186714605012,3.728404906814e-11,190,1.60321410993002e-09
"InhNeuron5",20,6,0.381632090697949,5.54913485657265e-08,190,1.01316460007096e-06
"Microglia4",20,14,0.378818774685405,7.06859023305318e-08,190,1.01316460007096e-06
"Astrocytes3",20,7,0.367250587200987,1.86735267358243e-07,190,2.00740412410112e-06
"OPC2",20,9,0.335892961023851,2.16059267632243e-06,190,1.85810970163729e-05
"Astrocytes1",20,3,0.321397735175635,6.1411466010463e-06,190,4.40115506408318e-05
"ExNeuron2",20,7,0.306515853333158,1.69924252652942e-05,190,9.13342858009564e-05
"Oligodendrocytes8",20,7,0.278256723834018,0.000101388092755729,190,0.000484409776499595
"ExNeuron1",20,13,0.275025259483788,0.000122900653545271,190,0.000528472810244666
"Oligodendrocytes6",20,15,0.264309114846453,0.000228741198760958,190,0.000894170140611019
"ExNeuron5",20,5,0.245637654345287,0.00063541794663063,190,0.00227691430875976
"InhNeuron3",20,13,0.226042418437018,0.00171322853164411,190,0.00526205906147833
"Microglia2",20,14,0.216061095146243,0.00275355835082808,190,0.00789353393904049
"ExNeuron11",20,6,0.203222716477057,0.00492111744136227,190,0.0132255031236611
"Oligodendrocytes7",20,7,0.199228437586112,0.00585606955704169,190,0.0148124112325172
"ExNeuron3",20,3,0.196278654752063,0.00664534660447308,190,0.0158749946662412
"Pericytes",20,14,0.190856722959231,0.00834680438415401,190,0.0188901362378222
"Astrocytes4",20,16,0.183386039269203,0.0113208151866834,190,0.0243397526513693
"OPC1",20,12,0.179043595025959,0.0134485329577774,190,0.0275374722468775
"ExNeuron8",20,3,0.154059669242915,0.0338176656993851,190,0.060589984378065
"Microglia5",20,16,0.139251269535094,0.0553490567051945,190,0.0915388245508986
"ExNeuron9",20,6,0.129903292262069,0.0740419320386946,190,0.117918632506069
"Astrocytes2",20,11,0.125312408420703,0.0849407735876264,190,0.13044475943814
"InhNeuron4",20,13,0.108133335082908,0.137533969024004,190,0.203929678208007
"Oligodendrocytes4",20,11,0.103134800351665,0.156771754039648,190,0.224706180790163
"ExNeuron4",20,6,0.069023343699563,0.344009935810696,190,0.462263351245623
"Oligodendrocytes2",20,8,0.0505268406618641,0.488742121182562,190,0.612160851574102
"InhNeuron2",20,6,0.0494263582166586,0.498270460583571,190,0.612160851574102
"ExNeuron7",20,5,0.0375974841116753,0.606547551920537,190,0.724487353682864
"Oligodendrocytes1",20,3,0.0283474830181912,0.69783648359611,190,0.789657073542966
"OPC3",20,5,0.0127710200457514,0.861172480586612,190,0.903180894273764
"Fibroblast",20,15,0.010461581527991,0.88608857213783,190,0.907185919093493
"Oligodendrocytes5",20,7,0.00188866581812297,0.979367656089696,190,0.979367656089696
"Microglia3",20,17,-0.0178990232999602,0.806369286776495,190,0.866846983284732
"ExNeuron14",20,3,-0.0235938887358011,0.746605730131791,190,0.823180676811975
"ExNeuron13",20,3,-0.0297716367708101,0.683452769979213,190,0.789657073542966
"VLMC1",20,13,-0.0600077856071243,0.410830278703586,190,0.535324302553157
"Microglia1",20,10,-0.0757906983864548,0.298663190433561,190,0.414274748020746
"Oligodendrocytes3",20,7,-0.149285080064909,0.0398107048202954,190,0.0684744122909081
"InhNeuron1",20,10,-0.157856246200143,0.0296154239669671,190,0.0553679665469385
"VLMC2",20,16,-0.169079767481531,0.0196985945739261,190,0.038501798485401
"Endothelial",20,12,-0.227092163217818,0.00162788822448027,190,0.00526205906147833
"SMC",20,15,-0.315823590389587,9.04870124736422e-06,190,5.55848790909516e-05
"ExNeuron10",20,1,NA,NA,NA,NA
"ExNeuron12",20,0,NA,NA,NA,NA
"ExNeuron6",20,2,NA,NA,NA,NA
