"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",4.80769933068811e-33,5.30289236174898e-30,1.49547932629977,-0.659842483559873,-4.57055648775868,111,"ATP5F1A;COX8A;ATP5MC3;COX6C;NDUFB8;UQCRQ;NDUFA1;ATP5F1B;UQCRC1;NDUFB2;NDUFS4;COX4I1;ATP5MC2;ATP5MF;ATP5ME;NDUFA13;NDUFV2;NDUFS5;COX5B;NDUFAB1;TMEM126B;NDUFB6;COX6B1;ATP5F1D;ATP5PB;NDUFS2;COX14;COX7C;ATP5PO;UQCRB;COX6A1;NDUFA12;NDUFB3;UQCRC2;NDUFB4;ATP5F1C;NDUFB10;NDUFS8;CCNI;SDHB;SDHA;NDUFB11;NDUFB1;COX7B;ACAD9;ATP5PD;NDUFA10;CYCS;COA1;NDUFA2;NDUFV1;UQCR11;ATP5PF;COX16;NDUFS3;ETFB;ATP5MC1;COX5A"
"Respiratory Electron Transport R-HSA-611105",1.23756019670831e-25,6.82514448484634e-23,1.31101476274061,-0.643841214089831,-4.28558582849609,89,"COX8A;COX6C;NDUFB8;UQCRQ;NDUFA1;UQCRC1;NDUFB2;NDUFS4;COX4I1;NDUFA13;NDUFV2;NDUFS5;COX5B;NDUFAB1;TMEM126B;NDUFB6;COX6B1;NDUFS2;COX14;COX7C;UQCRB;COX6A1;NDUFA12;NDUFB3;UQCRC2;NDUFB4;NDUFB10;NDUFS8;CCNI;SDHB;SDHA;NDUFB11;NDUFB1;COX7B;ACAD9;NDUFA10;CYCS;COA1;NDUFA2;NDUFV1;UQCR11;COX16;NDUFS3;ETFB;COX5A;TRAP1;NDUFS7;NDUFAF4;UQCRFS1;NDUFC1;NDUFAF3;NDUFS6"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",7.18433857144695e-24,2.64144181476866e-21,1.26273988547916,-0.587391687516151,-4.08247350318347,107,"RPL23;EIF4H;RPS15;EIF1AX;EIF3A;RPL27;EIF4B;EIF3K;EIF4A2;RPL15;RPS5;RPS20;RPL28;RPL36;EIF3C;EIF3G;RSL24D1;FAU;EIF4A1;RPS3;RPL18;PABPC1;RPL41;RPS14;RPS6;RPS12;EIF3B;RPS7;RPL39;RPS9;RPL4;RPLP1;RPS17;RPLP2;RPL29;RPS19;RPL35A;RPLP0;RPS25;RPL9;RPL11;RPS29;RPL14;EIF3M;EIF3I;RPS16;RPL8;RPL31;EIF3L;RPL38;EIF3H;RPL37A;RPL39L;RPS4Y1;RPS23;UBA52;RPS2;RPL26;RPL5;RPL27A;RPL35;RPL18A"
"GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706",3.41433803476228e-23,9.41503713085699e-21,1.24623277191648,-0.573015597097075,-4.00176338004043,108,"RPL23;EIF4H;RPS15;EIF1AX;EIF3A;RPL27;EIF4B;EIF3K;EIF4A2;RPL15;RPS5;RPS20;RPL28;RPL36;EIF3C;EIF3G;RSL24D1;FAU;EIF4A1;RPS3;RPL18;RPL41;RPS14;RPS6;RPS12;EIF3B;RPS7;RPL39;RPS9;RPL4;RPLP1;RPS17;RPLP2;RPL29;RPS19;RPL35A;RPLP0;RPS25;RPL9;RPL11;RPS29;RPL14;EIF3M;EIF3I;RPS16;RPL8;RPL31;EIF3L;RPL38;EIF3H;RPL37A;RPL39L;RPS4Y1;RPS23;UBA52;RPS2;RPL26;RPL5;RPL27A;RPL35;RPL18A"
"Cap-dependent Translation Initiation R-HSA-72737",7.80288849991118e-22,1.72131720308041e-19,1.21254456769062,-0.536672698813947,-3.60702642627629,115,"RPL23;EIF4H;RPS15;EIF1AX;EIF3A;RPL27;EIF4B;EIF3K;EIF4A2;RPL15;RPS5;RPS20;RPL28;RPL36;EIF3C;EIF3G;RSL24D1;FAU;EIF4A1;RPS3;RPL18;PABPC1;RPL41;RPS14;RPS6;RPS12;EIF3B;RPS7;RPL39;RPS9;RPL4;RPLP1;RPS17;RPLP2;RPL29;RPS19;RPL35A;RPLP0;RPS25;RPL9;RPL11;RPS29;RPL14;EIF3M;EIF3I;RPS16;RPL8;RPL31;EIF3L;RPL38;EIF3H;RPL37A;RPL39L;RPS4Y1;RPS23;UBA52;RPS2;RPL26;RPL5;RPL27A;RPL35;RPL18A"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",2.16984323566041e-21,3.98889514822238e-19,1.19534448258848,-0.567486973431,-3.80317924643383,97,"RPL23;RPS15;EIF1AX;EIF3A;RPL27;EIF3K;RPL15;RPS5;RPS20;RPL28;RPL36;EIF3C;EIF3G;RSL24D1;FAU;RPS3;RPL18;RPL41;RPS14;RPS6;RPS12;EIF3B;RPS7;RPL39;RPS9;RPL4;RPLP1;RPS17;RPLP2;RPL29;RPS19;RPL35A;RPLP0;RPS25;RPL9;RPL11;RPS29;RPL14;EIF3M;EIF3I;RPS16;RPL8;RPL31;EIF3L;RPL38;EIF3H;RPL37A;RPL39L;RPS4Y1;RPS23;UBA52;RPS2;RPL26;RPL5;RPL27A;RPL35;RPL18A"
"SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339",2.69987199379039e-21,4.25422687021543e-19,1.19534448258848,-0.556247301922403,-3.96558396280193,106,"SRP14;RPL23;SPCS1;RPS15;RPL27;RPL15;RPS5;RPS20;RPL28;RPL36;SEC61G;RPN1;RSL24D1;FAU;RPS3;RPL18;RPL41;RPS14;RPS6;SSR1;RPS12;SSR2;RPS7;RPL39;RPS9;SSR3;RPL4;SEC61A2;RPLP1;RPS17;RPLP2;RPL29;RPS19;RPN2;RPL35A;SRPRA;RPLP0;RPS25;RPL9;RPL11;RPS29;RPL14;RPS16;SSR4;RPL8;RPL31;RPL38;DDOST;RPL37A;RPL39L;RPS4Y1;RPS23;UBA52;RPS2;RPL26;RPL5;RPL27A;RPL35;RPL18A"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",1.81918416503347e-19,2.5082001675399e-17,1.14219120216838,0.44290392100079,2.04679108950931,373,"OR10Z1;OR9Q2;OR1C1;OR9A2;OR2L5;OR4F17;OR51E2;OR2L13;OR52A5;OR52A1;OR8I2;OR7G2;OR4D11;OR2AJ1;OR52E2;OR52K1;RTP1;OR10T2;OR13C8;OR51B2;OR10G6;OR2S2;OR2B2;OR5B3;OR1I1;OR4A15;OR10H3;OR6F1;OR4C6;OR9G9;OR2A4;OR6C75;OR10G4;OR2G6;OR4L1;OR2J3;OR5H15;OR5T1;OR4D2;OR4N2;OR6J1;OR8K1;OR5AC2;OR6S1;OR2A2;OR2A14;OR4K1;OR1L8;OR52L1;OR4F21;OR4K15;OR5B2;OR5W2;OR52H1;OR11H4;OR56A1;OR3A1;OR5B17;OR9G4;OR5P3;OR5I1;OR51F2;OR1M1;OR10J4;OR6P1;OR6X1;OR2A1;OR6N2;OR1A2;OR51S1;OR11L1;OR2A12;OR2M5;OR5J2;OR9Q1;OR8B4;OR51I1;OR2W3;OR5D18;OR4C15;OR5M10;OR8U9;OR4C16;OR52E6;OR2K2;OR10A4;OR14K1;OR10AD1;OR5H14;OR10Q1;OR13F1;OR7C1;OR1S1;OR2W1;OR10AC1;OR13A1;OR4A5;OR2T1;OR2T3;OR4F15;OR10A3;OR6K6;OR6C3;OR8G1;OR10K2;OR6C6;OR14J1;OR5L1;OR1D2;OR1F1;OR6B2;OR4C45;OR51Q1;OR1K1;OR2J1;OR11G2;RTP2;OR4C5;OR4E1;OR13H1;OR2J2;OR52W1;OR2L2;OR6T1;OR52E4;OR8J3;OR7G3;OR5B12;OR8H3;OR5V1;OR11H6;OR13D1;OR56A3;OR5C1;OR7A5;OR51E1;OR6K3;OR10H2;OR1J1;OR4K3;OR6Q1;OR2T12;OR56B1;OR5M3;OR10A2;OR52I1;OR52J3;OR5H1;OR5K3;OR52N4;OR2Y1;OR14C36;OR2G2;OR6C74;OR7G1;OR13C3;OR4K13;OR5M1;OR52N1;OR52N2;OR11H1;OR56B4;OR13J1;OR2B11;OR2F2;OR51A7;OR4F6;OR5M11;OR6Y1;OR13C2;OR13C5;OR10C1;OR10G2;OR3A2;OR1S2;OR9A4;OR10H1;OR1N1;OR2V1;OR2A25;OR2F1;OR1L1;OR7D2;OR14A2;OR6B1;OR2T11;OR51G2;OR5AL1;OR1E1;OR6B3;OR2T34;OR10X1;OR2AT4;OR51B5;OR51D1;OR8K3;OR4A47;OR11A1;OR5AS1;OR4S1;OR2AK2;OR52I2;OR7D4;OR6K2;OR12D3;OR5A2;OR2T27;OR2AE1;OR6C68;OR8D2;OR1A1;OR4C46;OR6V1;OR2A5;OR52R1;OR2H1;OR1G1;OR10A5;OR2D3;OR9K2;OR2C1;OR4K2;EBF1;OR51L1;OR8H1;OR6M1;OR2M4;OR13G1;OR2AP1;OR9I1;OR5P2;OR51B4;OR8B8;OR5AU1;OR2D2;OR51V1;OR52B6;OR1J2;OR10J5;OR4X1;OR4D5;OR5K4;OR8B12;OR2V2;OR5T2;OR5D16;OR51B6;OR52E1;OR2T5;OR11H7;OR8U1;OR52E5;OR4K5;OR4C12;OR13C9;OR52B2;OR2H2;OR6C65;OR6C76;OR2A7"
"Olfactory Signaling Pathway R-HSA-381753",5.37318654001197e-19,6.585138615148e-17,1.12391496374483,0.438638586789286,2.03032630303934,381,"OR10Z1;OR9Q2;OR1C1;OR9A2;OR2L5;OR4F17;OR51E2;OR2L13;OR52A5;OR52A1;OR8I2;OR7G2;OR4D11;OR2AJ1;OR52E2;OR52K1;ANO2;RTP1;OR10T2;OR13C8;OR51B2;OR10G6;OR2S2;OR2B2;OR5B3;OR1I1;OR4A15;OR10H3;OR6F1;OR4C6;OR9G9;OR2A4;OR6C75;OR10G4;OR2G6;OR4L1;OR2J3;OR5H15;OR5T1;OR4D2;OR4N2;OR6J1;OR8K1;OR5AC2;OR6S1;OR2A2;OR2A14;OR4K1;OR1L8;OR52L1;OR4F21;OR4K15;OR5B2;OR5W2;OR52H1;OR11H4;OR56A1;OR3A1;OR5B17;OR9G4;OR5P3;OR5I1;OR51F2;OR1M1;OR10J4;OR6P1;OR6X1;OR2A1;OR6N2;OR1A2;OR51S1;OR11L1;OR2A12;OR2M5;OR5J2;OR9Q1;OR8B4;OR51I1;OR2W3;GNG13;OR5D18;OR4C15;OR5M10;OR8U9;OR4C16;OR52E6;OR2K2;OR10A4;OR14K1;OR10AD1;OR5H14;OR10Q1;OR13F1;OR7C1;OR1S1;OR2W1;OR10AC1;OR13A1;OR4A5;OR2T1;OR2T3;OR4F15;OR10A3;OR6K6;OR6C3;OR8G1;OR10K2;OR6C6;OR14J1;OR5L1;OR1D2;OR1F1;OR6B2;OR4C45;OR51Q1;OR1K1;OR2J1;OR11G2;RTP2;OR4C5;OR4E1;OR13H1;OR2J2;OR52W1;OR2L2;OR6T1;OR52E4;OR8J3;OR7G3;OR5B12;OR8H3;OR5V1;OR11H6;OR13D1;OR56A3;OR5C1;OR7A5;OR51E1;OR6K3;OR10H2;OR1J1;CNGA4;OR4K3;OR6Q1;OR2T12;OR56B1;OR5M3;OR10A2;OR52I1;OR52J3;OR5H1;OR5K3;OR52N4;OR2Y1;OR14C36;OR2G2;OR6C74;OR7G1;OR13C3;OR4K13;OR5M1;OR52N1;OR52N2;OR11H1;OR56B4;OR13J1;OR2B11;OR2F2;OR51A7;OR4F6;OR5M11;OR6Y1;OR13C2;OR13C5;OR10C1;OR10G2;OR3A2;OR1S2;OR9A4;OR10H1;OR1N1;OR2V1;OR2A25;OR2F1;OR1L1;OR7D2;OR14A2;OR6B1;OR2T11;OR51G2;OR5AL1;OR1E1;OR6B3;OR2T34;OR10X1;OR2AT4;OR51B5;OR51D1;OR8K3;OR4A47;OR11A1;OR5AS1;OR4S1;OR2AK2;OR52I2;OR7D4;OR6K2;OR12D3;OR5A2;OR2T27;OR2AE1;OR6C68;OR8D2;OR1A1;OR4C46;OR6V1;OR2A5;OR52R1;OR2H1;OR1G1;OR10A5;OR2D3;OR9K2;OR2C1;OR4K2;EBF1;OR51L1;OR8H1;OR6M1;OR2M4;OR13G1;OR2AP1;OR9I1;OR5P2;OR51B4;OR8B8;OR5AU1;CNGB1;OR2D2;OR51V1;OR52B6;OR1J2;OR10J5;OR4X1;OR4D5;OR5K4;OR8B12;OR2V2;OR5T2;OR5D16;OR51B6;OR52E1;OR2T5;OR11H7;OR8U1;OR52E5;OR4K5;OR4C12;OR13C9;OR52B2;OR2H2;OR6C65;OR6C76;OR2A7"
"Eukaryotic Translation Elongation R-HSA-156842",1.53825008182211e-17,1.69668984024978e-15,1.07686819261983,-0.554843046784804,-3.67755959991989,87,"RPL23;RPS15;RPL27;EEF1A2;RPL15;RPS5;RPS20;RPL28;RPL36;EEF1B2;RSL24D1;FAU;RPS3;RPL18;RPL41;RPS14;RPS6;RPS12;RPS7;RPL39;RPS9;RPL4;RPLP1;RPS17;RPLP2;RPL29;RPS19;RPL35A;RPLP0;RPS25;RPL9;RPL11;RPS29;RPL14;RPS16;RPL8;RPL31;EEF1D;RPL38;RPL37A;RPL39L;RPS4Y1;RPS23;UBA52;RPS2;RPL26;RPL5;EEF1G;RPL27A;RPL35;RPL18A"
