"gene","statistic","p.value","p_adj"
"STMN1",0.729524509353663,7.66289806648188e-33,1.43112284289616e-28
"CLU",0.722984599369278,5.11576679539851e-32,4.77710303354313e-28
"SPARCL1",0.718852104082195,1.65130214913951e-31,1.02799063124431e-27
"CPE",0.706024222860817,5.50918226733513e-30,2.57223720061877e-26
"TUBA1C",0.70270003105495,1.3258779022415e-29,4.95241914045246e-26
"YWHAE",0.69453126708569,1.09070984407419e-28,3.1546465890281e-25
"SNCA",0.69421284450218,1.18240127025041e-28,3.1546465890281e-25
"GNAS",0.692083612171791,2.02305373184584e-28,4.72281893699411e-25
"PPIA",0.688241546274062,5.26991860672099e-28,1.09356666554579e-24
"UCHL1",0.686586448669667,7.92393770281084e-28,1.47987460537695e-24
"APP",0.684959344259427,1.18014770826769e-27,2.00367623632795e-24
"SKP1",0.682669151062648,2.05839539246249e-27,3.20354936246912e-24
"CFL1",0.675662104650807,1.09441778666151e-26,1.57225742951464e-23
"STMN3",0.673982513001526,1.62241074621522e-26,2.16429593545111e-23
"CST3",0.667496839830816,7.24351713547292e-26,9.01866173480616e-23
"ITM2B",0.664594295511904,1.3979617042328e-25,1.63177079926573e-22
"CALM2",0.661060154749876,3.08245258016875e-25,3.38634614042538e-22
"LDHB",0.659845949953417,4.03466725615712e-25,4.18619142644391e-22
"MAPT",0.659368316078153,4.48382819067045e-25,4.40736712047165e-22
"ALDOA",0.658278331080756,5.70097214218773e-25,5.10529144175474e-22
"CAMK2N1",0.658246838737332,5.74058258068374e-25,5.10529144175474e-22
"WBP2",0.654166830689289,1.39801039157364e-24,1.18678373059224e-21
"PEA15",0.653201065490952,1.72242255642642e-24,1.39860711581825e-21
"SPTAN1",0.652614957988339,1.95425099278076e-24,1.52073298088223e-21
"NDUFB8",0.652419005629256,2.03839388868363e-24,1.52276177060222e-21
"COX6B1",0.646654157208029,6.94881062875088e-24,4.99138412702121e-21
"SNAP25",0.645977071824413,8.01155186076867e-24,5.54162009450799e-21
"COX8A",0.645156521320754,9.51502540612857e-24,6.34652194588776e-21
"NTRK2",0.644923827894343,9.98964677175374e-24,6.43333252100941e-21
"RTN3",0.644538921474716,1.08262661064667e-23,6.73971152681242e-21
"KIF5A",0.644126021860935,1.18002710623597e-23,7.10909233421388e-21
"CKB",0.643938817375026,1.22697546684491e-23,7.16093556837359e-21
"CLSTN1",0.641764096104135,1.92668116858884e-23,1.08739919006949e-20
"GPM6A",0.641632878006535,1.97963013827173e-23,1.08739919006949e-20
"COX4I1",0.641389687132316,2.08156735687967e-23,1.11072434163099e-20
"RTL8C",0.641032773906844,2.24057051630343e-23,1.1623581934023e-20
"SYT11",0.639739838251825,2.92288921715177e-23,1.47534808160882e-20
"RTN4",0.639017263927708,3.3891874791808e-23,1.66296307091285e-20
"FXYD6",0.63889829285255,3.47266865311636e-23,1.66296307091285e-20
"DKK3",0.63874083113543,3.58626978159519e-23,1.67442936102679e-20
"GABARAPL2",0.637000004373937,5.11277252365026e-23,2.32893023540713e-20
"ATP6V0C",0.635458629120795,6.9856080197295e-23,3.10626703277305e-20
"ALDOC",0.630993714653125,1.7082743881165e-22,7.41947266801481e-20
"AQP4",0.630850249533082,1.75764616035138e-22,7.46040902061872e-20
"ATP2A2",0.63067704164425,1.81912258323392e-22,7.54976296988372e-20
"COX6A1",0.627410585801327,3.46479610054168e-22,1.40670721681992e-19
"S100A1",0.626149142489732,4.43458799749631e-22,1.76213543492002e-19
"CALM1",0.625699501808623,4.84103121173303e-22,1.88356456063179e-19
"CALM3",0.6242700993321,6.39143515252397e-22,2.43604985527628e-19
"TSPAN7",0.623939429726148,6.8143237966991e-22,2.54528622454305e-19
"AK5",0.623605260970926,7.26955643101375e-22,2.6620830569728e-19
"NDUFS5",0.622615001727705,8.80107718166812e-22,3.16094072009296e-19
"TLE5",0.621533764603481,1.08356405549528e-21,3.80203368405141e-19
