"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Neuronal System R-HSA-112316",3.47551665079332e-34,4.0559279314758e-31,1.52292160289117,0.595417490319759,2.54337469994496,386,"NRGN;SYN2;PRKAR1B;STXBP1;SYT1;GRIA2;TSPAN7;RAB3A;SNAP25;CALM1;CAMK2A;MAPT;NEFL;SYN1;PRKCB;ADCY1;CAMK2B;NPTN;EPB41L1;KCNAB2;CAMK2G;SLC1A2;GNB1;GIT1;SHANK1;MAPK1;RTN3;NRXN2;GABBR2;SLC1A3;AP2M1;GABRB2;VAMP2;PLCB1;KCNQ2;GABRA2;GRIA1;NSF;CACNA1B;GPRIN1;CPLX1;DLGAP1;GABRA1;STX1A;CACNA1E;SLC17A7;LRRTM4;CACNA2D1;DLGAP3;AP2A1;DLGAP4;GLUL;HCN2;NRXN1;LRRC4B;PTPRS;CAMKK2;HSPA8;CACNB1;GNG2;GABRB3;GRIN2B;PRKAR1A;AP2B1;CAMKK1;GNG3;GLRB;ABAT;FLOT1;AP2S1;PRKCG;RASGRF2;PRKAR2B;GABRA5;CACNB3;CACNB4;PRKACB;KCND3;CAMK2D;SHANK3;GRM5;PPFIBP1;PRKCA;GRIA4;PPFIA2;TSPOAP1;CACNA2D3;HCN1;RIMS1;GABRB1;CACNG3;SYT7;NLGN2;GABRA4;KCNC2;APBA1;MAPK3;KCNMA1;GNB2;KCNC1;PPFIA4;ARHGEF9;ADCY2;SLC6A1;HOMER1;SYN3;KCNB1;SLITRK2;CACNA1A;SHANK2;KCNA2;GABRG2;ALDH5A1;KCNJ6;GNG7;KCNQ5;KCNMB4;KCNJ4;GAD1;GABRA3;DLG1;ARHGEF7;ARL6IP5;ERBB4;PICK1;NTRK3;CHRNA4;ADCY5;RASGRF1;KCNN1;CACNB2;KCNV1;SLITRK6;LRRTM2;GLS2;APBA2;KCNK10;ALDH2;SLITRK1;SLC38A2;KCNK1;SIPA1L1;NLGN4X;SLITRK5;EPB41L3"
"Transmission Across Chemical Synapses R-HSA-112315",4.51601739144311e-32,2.63509614790705e-29,1.47456250139425,0.651421059778225,2.70530460288767,246,"NRGN;SYN2;PRKAR1B;STXBP1;SYT1;GRIA2;TSPAN7;RAB3A;SNAP25;CALM1;CAMK2A;MAPT;NEFL;SYN1;PRKCB;ADCY1;CAMK2B;NPTN;EPB41L1;CAMK2G;SLC1A2;GNB1;GIT1;MAPK1;GABBR2;SLC1A3;AP2M1;GABRB2;VAMP2;PLCB1;GABRA2;GRIA1;NSF;CACNA1B;GPRIN1;CPLX1;GABRA1;STX1A;CACNA1E;SLC17A7;CACNA2D1;AP2A1;GLUL;CAMKK2;HSPA8;CACNB1;GNG2;GABRB3;GRIN2B;PRKAR1A;AP2B1;CAMKK1;GNG3;GLRB;ABAT;AP2S1;PRKCG;RASGRF2;PRKAR2B;GABRA5;CACNB3;CACNB4;PRKACB;CAMK2D;PRKCA;GRIA4;PPFIA2;TSPOAP1;CACNA2D3;RIMS1;GABRB1;CACNG3;GABRA4;APBA1;MAPK3;GNB2;PPFIA4;ARHGEF9;ADCY2;SLC6A1;SYN3;CACNA1A;GABRG2;ALDH5A1;KCNJ6;GNG7;KCNJ4;GAD1;GABRA3;DLG1;ARHGEF7;ARL6IP5;ERBB4"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",3.92946749702419e-27,1.52856285634241e-24,1.34992572002205,-0.477526971366517,-2.55032000701948,373,"OR2A4;OR4Q3;OR2H2;OR7D4;OR9Q1;OR4F15;OR9Q2;OR10T2;RTP2;OR2A14;OR7C1;OR7E24;OR5V1;EBF1;OR5A1;OR7C2;OR4C16;OR14K1;OR1D5;OR14J1;OR2J2;OR52M1;OR1K1;OR2A1;OR2G6;OR4D9;OR1A2;OR2B11;OR4K5;OR10A4;OR5D16;OR6T1;OR5M11;OR2T12;OR5L1;OR10AD1;OR5B3;OR2J3;OR7D2;OR8H1;OR4C15;OR1B1;OR2F1;OR8G1;OR9G4;OR5B17;OR10S1;OR2M5;OR4X2;OR6P1;OR10H3;OR8S1;OR4N2;OR10AC1;OR2Y1;OR4C3;OR2V1;OR4B1;OR14A16;OR11G2;OR11L1;OR10J5;OR4F6;OR1I1;OR13F1;OR2A2;OR1L8;OR4F21;OR2T1;OR6C74;OR10D3;OR2AP1;OR4X1;OR11H1;OR10G4;OR52K1;OR1F1;OR5AS1;OR51E1;OR14A2;OR10H5;OR2Z1;OR2T34;OR1L4;OR6J1;OR4N5;OR4S1;OR11H6;OR8K3;OR1A1;OR4A16;OR2AK2;OR4A5;OR14C36;OR6F1;OR56B4;OR5AK2;OR51D1;OR2T8;OR1M1;OR4D11;OR4D2;OR5W2;OR11H7;OR10A3;OR10X1;OR5K3;OR4A47;OR13C9;OR5AN1;OR4E1;OR52D1;OR2G2;OR5AP2;OR4D10;OR6S1;OR51A7;OR4C46;OR7G2;OR1L3;OR52A1;OR10A7;OR7G1;OR13G1;OR10H4;OR1E1;OR2T11;OR4D6;OR52E4;OR4A15;OR13J1;OR5AC2;OR8A1;OR51B2;OR10A6;OR52E5;OR5H15;OR1S2;OR5C1;OR2S2;OR13C2;OR13C5;OR5M8;OR4F17;OR10A2;OR12D2;OR5M9;OR1J1;OR2T6;OR6B1;OR52N5;OR6N1;OR2L5;OR10Z1;OR51B4;OR51F2;OR2AT4;OR4N4;OR10G9"
"Olfactory Signaling Pathway R-HSA-381753",1.93993174301167e-26,5.65975086023653e-24,1.33449749081658,-0.471373610713329,-2.50789136221322,381,"OR2A4;ANO2;OR4Q3;OR2H2;OR7D4;OR9Q1;OR4F15;OR9Q2;OR10T2;RTP2;OR2A14;OR7C1;OR7E24;OR5V1;EBF1;OR5A1;OR7C2;OR4C16;OR14K1;OR1D5;OR14J1;OR2J2;OR52M1;OR1K1;OR2A1;OR2G6;OR4D9;OR1A2;OR2B11;OR4K5;OR10A4;OR5D16;OR6T1;OR5M11;OR2T12;OR5L1;OR10AD1;OR5B3;OR2J3;OR7D2;OR8H1;OR4C15;OR1B1;OR2F1;CNGA4;OR8G1;OR9G4;OR5B17;OR10S1;OR2M5;OR4X2;OR6P1;OR10H3;OR8S1;OR4N2;OR10AC1;OR2Y1;OR4C3;OR2V1;OR4B1;OR14A16;OR11G2;OR11L1;OR10J5;OR4F6;OR1I1;OR13F1;OR2A2;OR1L8;OR4F21;OR2T1;OR6C74;OR10D3;OR2AP1;OR4X1;OR11H1;OR10G4;OR52K1;OR1F1;OR5AS1;OR51E1;OR14A2;OR10H5;OR2Z1;OR2T34;OR1L4;OR6J1;OR4N5;OR4S1;OR11H6;OR8K3;OR1A1;OR4A16;CNGB1;OR2AK2;OR4A5;OR14C36;OR6F1;OR56B4;OR5AK2;OR51D1;OR2T8;OR1M1;OR4D11;OR4D2;OR5W2;OR11H7;OR10A3;OR10X1;OR5K3;OR4A47;OR13C9;OR5AN1;OR4E1;OR52D1;OR2G2;OR5AP2;OR4D10;OR6S1;OR51A7;OR4C46;OR7G2;OR1L3;OR52A1;OR10A7;OR7G1;OR13G1;OR10H4;OR1E1;OR2T11;OR4D6;OR52E4;OR4A15;OR13J1;OR5AC2;OR8A1;OR51B2;CNGA2;OR10A6;OR52E5;OR5H15;OR1S2;OR5C1;OR2S2;OR13C2;OR13C5;OR5M8;OR4F17;OR10A2;OR12D2;OR5M9;OR1J1;OR2T6;OR6B1;OR52N5;OR6N1;OR2L5;OR10Z1;OR51B4;OR51F2;OR2AT4;OR4N4;OR10G9"
"Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314",1.67118385872763e-19,3.90054312627028e-17,1.14219120216838,0.616788560447331,2.4803032873831,182,"NRGN;PRKAR1B;GRIA2;TSPAN7;CALM1;CAMK2A;MAPT;NEFL;PRKCB;ADCY1;CAMK2B;NPTN;EPB41L1;CAMK2G;GNB1;GIT1;MAPK1;GABBR2;AP2M1;GABRB2;PLCB1;GABRA2;GRIA1;NSF;GPRIN1;GABRA1;AP2A1;CAMKK2;GNG2;GABRB3;GRIN2B;PRKAR1A;AP2B1;CAMKK1;GNG3;GLRB;AP2S1;PRKCG;RASGRF2;PRKAR2B;GABRA5;PRKACB;CAMK2D;PRKCA;GRIA4;GABRB1;CACNG3;GABRA4;APBA1;MAPK3;GNB2;ARHGEF9;ADCY2;GABRG2;KCNJ6;GNG7;KCNJ4;GABRA3;DLG1;ARHGEF7;ERBB4;PICK1;CHRNA4;ADCY5;RASGRF1"
"Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517",6.22364284576914e-17,1.2104985335021e-14,1.05746357275086,0.615866724553257,2.44920089925558,159,"LDHB;COX6B1;ACO2;BSG;COX6A1;NDUFB8;ATP5F1B;NDUFA8;COX6C;NDUFA13;COX4I1;COX5B;ATP5MF;NDUFS5;NDUFA1;CYCS;COX7B;SDHA;NDUFB2;ATP5F1D;COX5A;NDUFB10;UQCR11;ATP5PF;COX8A;NDUFB9;SUCLG1;ATP5PO;SDHB;ATP5PB;ATP5F1A;UQCRQ;NDUFA2;ATP5PD;ATP5MC3;ATP5ME;MDH2;VDAC1;COA1;NDUFAF4;NDUFA9;COX20;CCNI;NNT;PDK2;NDUFAB1;UQCRC2;COX7A2L;COX7C;NDUFV3;ATP5MC2;NDUFS8;NDUFB4;NDUFA5;UQCRB;TRAP1;NDUFS3;IDH3G;NDUFV1;NDUFB3;LDHA;NDUFB6;NDUFS4;NDUFC1;PDK3;CS;ATP5F1C;NDUFB5;NDUFS2;MPC1;UQCR10;SUCLA2;SLC25A27;NDUFS6;NDUFB1;UQCRFS1;IDH3A;SCO1;LRPPRC;NDUFS1;NDUFA11;NDUFS7"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",2.00699773421471e-15,3.34595193689796e-13,1.00731795687447,0.659313369808731,2.49750154216784,111,"COX6B1;COX6A1;NDUFB8;ATP5F1B;NDUFA8;COX6C;NDUFA13;COX4I1;COX5B;ATP5MF;NDUFS5;NDUFA1;CYCS;COX7B;SDHA;NDUFB2;ATP5F1D;COX5A;NDUFB10;UQCR11;ATP5PF;COX8A;NDUFB9;ATP5PO;SDHB;ATP5PB;ATP5F1A;UQCRQ;NDUFA2;ATP5PD;ATP5MC3;ATP5ME;COA1;NDUFAF4;NDUFA9;COX20;CCNI;NDUFAB1;UQCRC2;COX7A2L;COX7C;NDUFV3;ATP5MC2;NDUFS8;NDUFB4;NDUFA5;UQCRB;TRAP1;NDUFS3;NDUFV1;NDUFB3;NDUFB6;NDUFS4;NDUFC1;ATP5F1C;NDUFB5;NDUFS2;UQCR10;SLC25A27;NDUFS6;NDUFB1;UQCRFS1;SCO1;LRPPRC;NDUFS1;NDUFA11;NDUFS7"
"Ion Homeostasis R-HSA-5578775",1.54205343103171e-14,2.2494704425175e-12,0.97599468306432,0.78431874918065,2.61362634835999,49,"FXYD7;ATP1A3;CALM1;CAMK2A;ATP2B1;SLC8A2;CAMK2B;CAMK2G;ATP2A2;ATP1A2;SLC8A1;SRI;ATP1B2;AHCYL1;ATP1B3;RYR2;ASPH;ATP1B1;FXYD1;ITPR1;CAMK2D;PRKCA;ATP2B4"
"Respiratory Electron Transport R-HSA-611105",1.29432371646855e-13,1.67830641902088e-11,0.943632225232838,0.667597978176594,2.4557150725911,89,"COX6B1;COX6A1;NDUFB8;NDUFA8;COX6C;NDUFA13;COX4I1;COX5B;NDUFS5;NDUFA1;CYCS;COX7B;SDHA;NDUFB2;COX5A;NDUFB10;UQCR11;COX8A;NDUFB9;SDHB;UQCRQ;NDUFA2;COA1;NDUFAF4;NDUFA9;COX20;CCNI;NDUFAB1;UQCRC2;COX7A2L;COX7C;NDUFV3;NDUFS8;NDUFB4;NDUFA5;UQCRB;TRAP1;NDUFS3;NDUFV1;NDUFB3;NDUFB6;NDUFS4;NDUFC1;NDUFB5;NDUFS2;UQCR10;NDUFS6;NDUFB1;UQCRFS1;SCO1;LRPPRC;NDUFS1;NDUFA11;NDUFS7"
"Opioid Signaling R-HSA-111885",4.67144546609209e-13,5.45157685892947e-11,0.921426003494898,0.665906570345176,2.44913737365106,88,"PRKAR1B;PPP3R1;CALM1;CAMK2A;ADCY1;CAMK2B;CAMK2G;GNB1;MAPK1;PLCB1;GRK2;AHCYL1;CAMKK2;PPP3CB;GNAQ;GNG2;PRKAR1A;CAMKK1;GNG3;PDE1B;PRKCG;PRKAR2B;ITPR1;PRKACB;CAMK2D;PRKCA;PPP3CA;GNB2;PPP2R1A;PPP2CA;ADCY2;PPP2CB;PPP1R1B;GNG7;PDE1A;ADCY5;PPP2R5D;PPP1CA;GNA11"
