"gene","statistic","p.value","p_adj"
"SNCB",0.602725837280811,3.56043877381059e-20,6.64947545396865e-16
"NRGN",0.586942924501481,5.61242155507988e-19,5.24087924813359e-15
"PCSK1N",0.558095937925092,5.98887542681007e-17,3.43613711921958e-13
"GRIN1",0.556755763754937,7.35947123413918e-17,3.43613711921958e-13
"OLFM1",0.551445804738723,1.65021719402049e-16,5.22261035539056e-13
"FBXL16",0.551335581536739,1.67785725703273e-16,5.22261035539056e-13
"THY1",0.548683226390584,2.49775047386257e-16,6.66399826426535e-13
"CHGA",0.543124827776247,5.68527045238538e-16,1.32722638710937e-12
"RAB6B",0.540185542390006,8.72952543608609e-16,1.81147352271493e-12
"SYN2",0.531477909433269,3.03534782414897e-15,5.66881559638062e-12
"PRKAR1B",0.530452658697354,3.50682785543024e-15,5.95395609345592e-12
"DNM1",0.529661850962485,3.91865471256497e-15,6.09873295098861e-12
"PHYHIP",0.528881540675423,4.37115758725354e-15,6.2796722384267e-12
"STXBP1",0.526089219558495,6.4481324578723e-15,8.60180869880164e-12
"RTN1",0.52461782729074,7.9027783222638e-15,9.58282914892987e-12
"DIRAS2",0.524341394498463,8.20974868188466e-15,9.58282914892987e-12
"NSMF",0.521783516382579,1.16616430852763e-14,1.22949278628795e-11
"SEPTIN5",0.521666294882057,1.18498983471745e-14,1.22949278628795e-11
"DKK3",0.521102931849694,1.2796826396676e-14,1.25786068307537e-11
"TUBA4A",0.520530820944158,1.38339210386346e-14,1.2918115465877e-11
"ENC1",0.519998950255219,1.48713711145421e-14,1.32256060445327e-11
"DLG4",0.517909958141427,1.9732070414429e-14,1.62088114447557e-11
"NCDN",0.517824228984328,1.99615904492065e-14,1.62088114447557e-11
"PI4KA",0.516141138185778,2.50331097974617e-14,1.94799316073915e-11
"FXYD7",0.515805219855922,2.61862367269996e-14,1.95621662845378e-11
"SLC12A5",0.515142131069384,2.8616550405688e-14,2.05554882837165e-11
"NCS1",0.513749469660189,3.44586732860482e-14,2.38351919366754e-11
"PLD3",0.513233345142962,3.69067730920378e-14,2.46168176523892e-11
"SYT1",0.512174852488989,4.24697445352784e-14,2.73505154807193e-11
"GRIA2",0.510460269347015,5.3259902348962e-14,3.31560645423071e-11
"UCHL1",0.508262803605873,7.10573742161772e-14,4.2808629705204e-11
"DMTN",0.504840635620465,1.10871769235003e-13,6.47075363197787e-11
"PPP3R1",0.502784885424731,1.44495459932811e-13,8.06985829968592e-11
"TSPAN7",0.50260817838663,1.47810827807527e-13,8.06985829968592e-11
"STMN3",0.502429721773894,1.51234226006108e-13,8.06985829968592e-11
"MAP1A",0.500445704138181,1.94900866135011e-13,1.01110238220485e-10
"SEPTIN3",0.498627896092762,2.45542032399011e-13,1.23938999921187e-10
"STMN2",0.497231735534298,2.92932994256707e-13,1.43968857914165e-10
"IDS",0.496321956724271,3.2849121363199e-13,1.51652936288586e-10
"LMO3",0.496267719910597,3.30738918398258e-13,1.51652936288586e-10
"NELL2",0.496215232671557,3.3292837801628e-13,1.51652936288586e-10
"ATP6V0C",0.495679862833349,3.56082909740735e-13,1.5833820053138e-10
"ATP1A3",0.49472459508282,4.01353967449918e-13,1.74318295258016e-10
"ALDOA",0.494530392298372,4.11220227194548e-13,1.74544294615577e-10
"KHDRBS3",0.493471899644399,4.69291818320964e-13,1.94766533310274e-10
"RIMS3",0.490014740166297,7.2018897961481e-13,2.92396725723613e-10
"LZTS3",0.48831765277067,8.87140490486688e-13,3.52515655326157e-10
"RAB3A",0.487848766768579,9.39553196974359e-13,3.65564489722773e-10
"SNAP25",0.487063207757614,1.03419339579887e-12,3.94175425713057e-10
"CALM1",0.486380873650094,1.1238777262388e-12,4.19790808304718e-10
"TMEM59L",0.485957476588504,1.18328710886145e-12,4.33315098923461e-10
"PACSIN1",0.484970716494552,1.33385469314118e-12,4.79059043252014e-10
"CHN1",0.484808006053528,1.36041068852056e-12,4.79377924883207e-10
"YWHAG",0.483490576353624,1.59523429715621e-12,5.51714735809063e-10
"FXYD6",0.482533559028461,1.79009119496957e-12,6.07849875586394e-10
"TSPYL1",0.481754998316034,1.96552393852058e-12,6.55502233496613e-10
"ATRNL1",0.481534551912066,2.0181635317106e-12,6.6124951084609e-10
"RUNDC3A",0.481226626776365,2.09399387758254e-12,6.74266028581579e-10
"SNCA",0.480469060959554,2.29254511790273e-12,7.24861792206689e-10
"CAMK2A",0.480337842861954,2.32874852925687e-12,7.24861792206689e-10
"CHGB",0.479903948352557,2.45246528401906e-12,7.50856420399016e-10
"PDZD4",0.478687993981463,2.83422131456427e-12,8.53740601141973e-10
"ATP2B1",0.477981165829058,3.0820760157876e-12,9.13664312235702e-10
"MAPT",0.477234097460055,3.36693831843009e-12,9.82514688046881e-10
"TMEM130",0.475223836204823,4.2665992101936e-12,1.22589241307039e-09
"PHACTR1",0.473909905654188,4.97671045501227e-12,1.40825824936075e-09
"AGAP2",0.471495492658347,6.59268019997287e-12,1.82615939489264e-09
"CABP1",0.471422010523691,6.6491132390608e-12,1.82615939489264e-09
"NEFL",0.468767905802902,9.03393709466987e-12,2.44518564029064e-09
"AMPH",0.468400495129622,9.42353892219078e-12,2.49879038276971e-09
"SLC8A2",0.468330512144235,9.49957791693346e-12,2.49879038276971e-09
"SYN1",0.468113564889536,9.73910727428773e-12,2.52621621464719e-09
"PRKCB",0.467375244393707,1.05990653670319e-11,2.71161842184503e-09
"YWHAH",0.466957096056021,1.11183692844538e-11,2.80603601022241e-09
"GPM6A",0.465772634028352,1.27271844045939e-11,3.16923861253595e-09
"JPH4",0.464406216238677,1.4864844409983e-11,3.6528399236953e-09
"KIF5A",0.463480691256938,1.65067855606441e-11,4.00364580689077e-09
"BSCL2",0.462821101619669,1.7783085197677e-11,4.25790896348482e-09
"ADCY1",0.462084530698474,1.93216869081498e-11,4.56774461641273e-09
"PRNP",0.461038285066943,2.17313459350322e-11,5.07318270853327e-09
"SCG5",0.460700617162452,2.25695550026661e-11,5.19401830863723e-09
"CAMK2B",0.460607889706815,2.28051778383087e-11,5.19401830863723e-09
"MAP2",0.460228232011092,2.37950550162767e-11,5.35417406607208e-09
"BSN",0.460027030928106,2.43364306405833e-11,5.41079974575635e-09
"RBFOX3",0.458970287848767,2.73821156787796e-11,6.01633402843398e-09
"ABR",0.457413166423913,3.25541677304161e-11,7.06955391317734e-09
"NPTN",0.45648589186754,3.60722099342744e-11,7.74350106589091e-09
"MDH1",0.455966268201044,3.82021746773074e-11,8.10754334401583e-09
"EPB41L1",0.455586610505321,3.98350800040572e-11,8.35910060849183e-09
"RGS4",0.454029489080467,4.72699671970606e-11,9.80904341524783e-09
"PNMA2",0.453207189002174,5.17227419055616e-11,1.06150981080029e-08
"KCNAB2",0.452593088305406,5.53109339809704e-11,1.1228119598137e-08
"H4C12",0.451336893717715,6.34186879549383e-11,1.2735563615553e-08
"SPARCL1",0.450904748782952,6.64657262086494e-11,1.320546704971e-08
"CAMK2G",0.450645811737021,6.83590260531454e-11,1.34386649533531e-08
"ATP2A2",0.449370371828349,7.84748399943259e-11,1.52666261638962e-08
"PSD",0.449247901603922,7.95192779959726e-11,1.53103302665235e-08
"SNRPN",0.448787763475005,8.35652110676266e-11,1.59251416520305e-08
"CLSTN1",0.444627274993767,1.30451721775636e-10,2.4609256120018e-08
"CPE",0.443689502989586,1.44107890636283e-10,2.66088197278688e-08
"PRRT2",0.44356353361589,1.46044704045789e-10,2.66088197278688e-08
"LY6H",0.443546037869543,1.46315693548058e-10,2.66088197278688e-08
"BTBD2",0.443518044675388,1.46750290852992e-10,2.66088197278688e-08
"TLE5",0.442858455038119,1.5736024141139e-10,2.82582679672992e-08
"CLU",0.442176120930599,1.69117334886459e-10,3.00803366318048e-08
"NAPB",0.440424796721297,2.03324697373044e-10,3.58235098881034e-08
"CALM3",0.440027643279228,2.11967447161986e-10,3.69972340485724e-08
"SLC1A2",0.439266578313148,2.29534957289696e-10,3.96925450216886e-08
"ENO2",0.438878172744252,2.39036063826154e-10,4.06507202317854e-08
"ARF3",0.438862426572539,2.39429172493917e-10,4.06507202317854e-08
"GNB1",0.437882664777126,2.65160753362689e-10,4.46138939621763e-08
"FKBP8",0.437357792386726,2.80027418837835e-10,4.66945720912089e-08
"GIT1",0.436901153407078,2.93615588078082e-10,4.85271214420023e-08
"ATP6V1A",0.436719197645073,2.99206121025343e-10,4.9017311546222e-08
"RAP1GAP",0.436176829508326,3.16488753053333e-10,5.13977734958613e-08
"SREBF2",0.435686948610619,3.32926986636983e-10,5.36012448485542e-08
"GNAS",0.435009863227003,3.57014317476733e-10,5.69880290016707e-08
"VSNL1",0.43250097320089,4.6186429181982e-10,7.30998094409064e-08
"TPI1",0.431697918443578,5.01321406456381e-10,7.86779713191543e-08
"CKB",0.431117059664869,5.31874868290032e-10,8.27774586682053e-08
"CHL1",0.430448722154426,5.69261765501658e-10,8.78639068802394e-08
"SHANK1",0.430014827645029,5.94882384806795e-10,9.10657657266533e-08
"ATP1A2",0.429810127412773,6.0735360835027e-10,9.22189917849565e-08
"RNF157",0.429705152934693,6.1384688426535e-10,9.245326137532e-08
"PFKP",0.428513692608484,6.92418489081854e-10,1.03452861616742e-07
"ALDOC",0.428322988973306,7.05865967008755e-10,1.04625022221075e-07
"GABBR1",0.42712103119929,7.96623939196387e-10,1.17147627467966e-07
"CAMK2N1",0.42654367156985,8.44137999955264e-10,1.23165010055973e-07
"TUBB2A",0.426368714106383,8.59069625700278e-10,1.24371971547119e-07
"ATP5IF1",0.423529154474318,1.14028089143917e-09,1.63814507142445e-07
"HPCAL4",0.422755842485796,1.23113966557495e-09,1.75517285452502e-07
"MAPK1",0.422306201804686,1.28714726981136e-09,1.82111836446947e-07
"NAP1L3",0.422150489662201,1.30711115345932e-09,1.83545924075235e-07
"SYNGR3",0.421958036452387,1.33219956800668e-09,1.85672829343976e-07
"SPTAN1",0.421480402577123,1.39649261013727e-09,1.9319182212536e-07
"ADGRL1",0.42120921850875,1.43432051064071e-09,1.96965954828867e-07
"CA11",0.421009767000398,1.46277259927523e-09,1.99406869080761e-07
"NUDCD3",0.420362424385571,1.55892616856677e-09,2.10974674812703e-07
"KIFC2",0.42015947372795,1.59030983108958e-09,2.13673571262079e-07
"RTN3",0.41850262654892,1.87039963512391e-09,2.49511311325529e-07
"NRSN1",0.417683825619896,2.02586577022128e-09,2.68333823579097e-07
"ID2",0.417349656864675,2.09283996097828e-09,2.75252669797397e-07
"GPI",0.416765298936696,2.21513270547827e-09,2.89299429423162e-07
"FAM168A",0.413399117339597,3.06590000504116e-09,3.97630197876032e-07
