"gene","statistic","p.value","p_adj"
"OR8H3",0.395920866739274,1.5663013432263e-08,6.22821794928432e-05
"CREBBP",0.371533545906651,1.30900682202469e-07,0.000407450190135551
"SCML4",0.357839625241113,4.00369630874901e-07,0.000934662903277457
"RAX",0.350724105201923,7.01341172969766e-07,0.00123914045159999
"ARX",0.34911099738876,7.94879534020852e-07,0.00123914045159999
"THAP10",0.347776071942509,8.81188089640432e-07,0.00123914045159999
"RNF41",0.347156722521837,9.24206021200287e-07,0.00123914045159999
"H4C4",0.345261933192493,1.06861858555189e-06,0.00123914045159999
"SLA2",0.342677811457089,1.30062324175669e-06,0.00123914045159999
"MTRFR",0.341969233730049,1.37219442821394e-06,0.00123914045159999
"F9",0.341402371548417,1.4321409157715e-06,0.00123914045159999
"SMAP1",0.34004995035582,1.58541400755547e-06,0.00123914045159999
"WWC3",0.339208404956545,1.68855257131002e-06,0.00123914045159999
"LBX2",0.33899670642575,1.71548769497763e-06,0.00123914045159999
"CHML",0.338624047028566,1.76390045213069e-06,0.00123914045159999
"AIFM3",0.338282879974806,1.80936161114883e-06,0.00123914045159999
"RMND1",0.335999685076566,2.14361106642024e-06,0.00123914045159999
"C2orf50",0.335905208046294,2.15863747720172e-06,0.00123914045159999
"CCNYL1",0.335275361177814,2.26140787900296e-06,0.00123914045159999
"UBR2",0.334608773242005,2.37524209527354e-06,0.00123914045159999
"TMPRSS11F",0.334579030473216,2.38044640129862e-06,0.00123914045159999
"MEPE",0.333028907346901,2.6672303631849e-06,0.00123914045159999
"TMIGD1",0.332708735188757,2.73042900144346e-06,0.00123914045159999
"JCHAIN",0.332175114925184,2.83893911604683e-06,0.00123914045159999
"FSD2",0.331979162566101,2.87980620406712e-06,0.00123914045159999
"TLR4",0.331839196595328,2.90933912455286e-06,0.00123914045159999
"USP35",0.331818201699712,2.91379384675887e-06,0.00123914045159999
"MKS1",0.331791958080192,2.91937137879629e-06,0.00123914045159999
"GCNT2",0.331377308891776,3.00885633779596e-06,0.00124874224365949
"PNLDC1",0.330087872386026,3.30410699491075e-06,0.0013389561847923
"DGKI",0.329816688317653,3.369615586059e-06,0.0013389561847923
"FBXO27",0.329176344001365,3.52923830842676e-06,0.00135058301559426
"GRIFIN",0.328878916313471,3.60580222039781e-06,0.00135058301559426
