"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Peptide Chain Elongation R-HSA-156902",1.21252904321116e-30,1.41502139342742e-27,1.43902565267782,0.799822345149822,3.47584768806711,83,"RPL21;RPS6;RPL12;RPL30;RPS12;RPL32;RPS28;RPL39;RPS27;RPS23;RPS27A;RPL19;RPL5;RPS16;RPS13;RPSA;RPS9;RPL27A;RPS29;RPS2;RPS8;RPS3A;RPS10;RPS19;RPL34;RPL37;RPS3;RPL29;RPS11;RPS15A;RPS20;RPS4X;RPLP2;RPS17;RPS7;RPL28;RPL36A;RPL7;RPL35;RPL11;RPL18A;RPL37A;RPS14;RPLP0;RPL22;RPL18;RPS25;RPS5;FAU;RPL7A;RPS24;RPL38;RPL9;RPL6"
"Selenocysteine Synthesis R-HSA-2408557",3.21161276543705e-29,1.87397604863252e-26,1.40258870935552,0.781006431628831,3.43511482017619,89,"RPL21;RPS6;RPL12;RPL30;RPS12;RPL32;RPS28;RPL39;RPS27;RPS23;RPS27A;RPL19;RPL5;RPS16;RPS13;RPSA;RPS9;RPL27A;RPS29;RPS2;RPS8;RPS3A;RPS10;RPS19;RPL34;RPL37;RPS3;RPL29;RPS11;RPS15A;RPS20;RPS4X;RPLP2;RPS17;RPS7;RPL28;RPL36A;RPL7;RPL35;RPL11;RPL18A;RPL37A;RPS14;RPLP0;RPL22;RPL18;RPS25;RPS5;FAU;RPL7A;RPS24;RPL38;RPL9;RPL6;SECISBP2"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",6.75558063810633e-29,2.62792086822336e-26,1.39518713415833,0.759432837449117,3.38172979166306,97,"RPL21;RPS6;RPL12;RPL30;RPS12;RPL32;RPS28;RPL39;RPS27;RPS23;RPS27A;RPL19;RPL5;RPS16;RPS13;RPSA;RPS9;RPL27A;RPS29;RPS2;RPS8;RPS3A;RPS10;RPS19;RPL34;RPL37;RPS3;RPL29;RPS11;RPS15A;RPS20;RPS4X;RPLP2;RPS17;RPS7;RPL28;RPL36A;RPL7;RPL35;RPL11;RPL18A;EIF3F;RPL37A;RPS14;RPLP0;RPL22;RPL18;RPS25;RPS5;FAU;RPL7A;RPS24;EIF3J;RPL38;RPL9;RPL6"
"Eukaryotic Translation Elongation R-HSA-156842",1.17407872921778e-28,3.42537469249288e-26,1.38774608305349,0.779904674168174,3.40147071862901,87,"RPL21;RPS6;RPL12;RPL30;RPS12;RPL32;RPS28;RPL39;RPS27;RPS23;RPS27A;RPL19;RPL5;EEF1D;RPS16;RPS13;RPSA;RPS9;RPL27A;RPS29;RPS2;RPS8;RPS3A;RPS10;RPS19;RPL34;RPL37;RPS3;RPL29;RPS11;RPS15A;RPS20;RPS4X;RPLP2;RPS17;RPS7;RPL28;RPL36A;RPL7;RPL35;RPL11;RPL18A;RPL37A;RPS14;RPLP0;RPL22;EEF1B2;RPL18;RPS25;RPS5;FAU;RPL7A;RPS24;RPL38;RPL9;RPL6;EEF1G;RPL8"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",2.34105293856196e-28,5.46401755860361e-26,1.38026491759359,0.732835161492592,3.29522763980084,107,"RPL21;RPS6;RPL12;RPL30;RPS12;RPL32;RPS28;RPL39;RPS27;RPS23;RPS27A;RPL19;RPL5;RPS16;RPS13;RPSA;RPS9;RPL27A;RPS29;RPS2;RPS8;RPS3A;RPS10;RPS19;RPL34;RPL37;RPS3;RPL29;RPS11;RPS15A;RPS20;RPS4X;RPLP2;RPS17;RPS7;RPL28;RPL36A;RPL7;RPL35;RPL11;RPL18A;EIF3F;RPL37A;RPS14;RPLP0;RPL22;RPL18;RPS25;RPS5;FAU;RPL7A;RPS24;EIF3J;RPL38;RPL9;RPL6;EIF4B;PABPC1;RPL8;EIF2S2"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",3.34425021018972e-28,6.504566658819e-26,1.38026491759359,0.768091675636367,3.38401146812352,91,"RPL21;RPS6;RPL12;RPL30;RPS12;RPL32;RPS28;RPL39;RPS27;RPS23;RPS27A;RPL19;RPL5;RPS16;RPS13;RPSA;RPS9;RPL27A;RPS29;RPS2;RPS8;RPS3A;RPS10;RPS19;RPL34;RPL37;RPS3;RPL29;RPS11;RPS15A;RPS20;RPS4X;RPLP2;RPS17;RPS7;RPL28;RPL36A;RPL7;RPL35;RPL11;RPL18A;RPL37A;RPS14;RPLP0;RPL22;RPL18;RPS25;RPS5;FAU;RPL7A;RPS24;RPL38;RPL9;RPL6;PABPC1;RPL8"
"Viral mRNA Translation R-HSA-192823",6.58460932039192e-28,1.09774843955677e-25,1.37274298193398,0.771257735035869,3.39223695030508,89,"RPL21;RPS6;RPL12;RPL30;RPS12;RPL32;RPS28;RPL39;RPS27;RPS23;RPS27A;RPL19;RPL5;RPS16;RPS13;RPSA;RPS9;RPL27A;RPS29;RPS2;RPS8;RPS3A;RPS10;RPS19;RPL34;RPL37;RPS3;RPL29;RPS11;RPS15A;RPS20;RPS4X;RPLP2;RPS17;RPS7;RPL28;RPL36A;RPL7;RPL35;RPL11;RPL18A;RPL37A;RPS14;RPLP0;RPL22;RPL18;RPS25;RPS5;FAU;RPL7A;RPS24;RPL38;RPL9;RPL6"
"Cap-dependent Translation Initiation R-HSA-72737",9.86347116356806e-28,1.43883385598549e-25,1.36517960216169,0.713395157177118,3.23914856841663,115,"RPL21;RPS6;RPL12;RPL30;RPS12;RPL32;RPS28;RPL39;RPS27;RPS23;RPS27A;RPL19;RPL5;RPS16;RPS13;RPSA;RPS9;RPL27A;RPS29;RPS2;RPS8;RPS3A;RPS10;RPS19;RPL34;RPL37;RPS3;RPL29;RPS11;RPS15A;RPS20;RPS4X;RPLP2;RPS17;RPS7;RPL28;RPL36A;RPL7;RPL35;RPL11;RPL18A;EIF3F;RPL37A;RPS14;RPLP0;RPL22;RPL18;RPS25;RPS5;FAU;RPL7A;RPS24;EIF3J;RPL38;RPL9;RPL6;EIF4B;PABPC1;RPL8;EIF2S2"
"GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706",1.5786410632458e-27,2.04697124534206e-25,1.36517960216169,0.727898165321687,3.27139553544871,108,"RPL21;RPS6;RPL12;RPL30;RPS12;RPL32;RPS28;RPL39;RPS27;RPS23;RPS27A;RPL19;RPL5;RPS16;RPS13;RPSA;RPS9;RPL27A;RPS29;RPS2;RPS8;RPS3A;RPS10;RPS19;RPL34;RPL37;RPS3;RPL29;RPS11;RPS15A;RPS20;RPS4X;RPLP2;RPS17;RPS7;RPL28;RPL36A;RPL7;RPL35;RPL11;RPL18A;EIF3F;RPL37A;RPS14;RPLP0;RPL22;RPL18;RPS25;RPS5;FAU;RPL7A;RPS24;EIF3J;RPL38;RPL9;RPL6;EIF4B;RPL8;EIF2S2"
"Eukaryotic Translation Termination R-HSA-72764",3.45474844370251e-26,3.90034499848856e-24,1.32671609800481,0.759031269663998,3.33846106486238,89,"RPL21;RPS6;RPL12;RPL30;RPS12;RPL32;RPS28;RPL39;RPS27;RPS23;RPS27A;RPL19;RPL5;RPS16;RPS13;RPSA;RPS9;RPL27A;RPS29;RPS2;RPS8;RPS3A;RPS10;RPS19;RPL34;RPL37;RPS3;RPL29;RPS11;RPS15A;RPS20;RPS4X;RPLP2;RPS17;RPS7;RPL28;RPL36A;RPL7;RPL35;RPL11;RPL18A;RPL37A;RPS14;RPLP0;RPL22;RPL18;RPS25;RPS5;FAU;RPL7A;RPS24;RPL38;RPL9;RPL6"
