"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Eukaryotic Translation Elongation R-HSA-156842",1.14192926509143e-45,8.10365859366515e-43,1.7624392879181,-0.848313595374868,-4.31500044007125,87,"RPL21;RPS28;RPS6;RPS27A;RPS3A;RPS10;RPL7;RPS12;RPL37A;RPS11;RPL39;RPS7;RPL18A;RPS27;RPS19;RPL32;RPL38;RPS15;RPL37;RPL7A;RPL30;RPS29;RPS13;RPL9;RPL5;RPS17;RPL19;RPL12;RPL29;RPS16;RPS14;RPS3;RPS5;RPL26;RPS20;RPL36;RPL36A;RPL6;RPLP2;RPL22;RPS9;RPS2;RPSA;RPL34;RPL23;RPS8;RPL27A;RPL31;RPS23;RPS25;RPL14;RPL28;RPL18;RPS24;RPL15;RPS21;RPS15A;RPL4;RPS4X;RPLP0;RPL23A;FAU;EEF1D;EEF1B2;RPS4Y2;RPL41"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",1.38880181553816e-45,8.10365859366515e-43,1.7624392879181,-0.830308270792679,-4.36491476477188,97,"RPL21;RPS28;RPS6;RPS27A;RPS3A;RPS10;RPL7;RPS12;RPL37A;RPS11;RPL39;RPS7;RPL18A;RPS27;EIF3J;RPS19;RPL32;RPL38;RPS15;RPL37;RPL7A;RPL30;RPS29;RPS13;RPL9;RPL5;RPS17;RPL19;RPL12;RPL29;RPS16;RPS14;EIF3L;RPS3;RPS5;RPL26;RPS20;RPL36;EIF3F;RPL36A;RPL6;RPLP2;RPL22;RPS9;RPS2;RPSA;RPL34;RPL23;RPS8;RPL27A;RPL31;RPS23;RPS25;RPL14;EIF3E;RPL28;RPL18;RPS24;RPL15;RPS21;RPS15A;RPL4;RPS4X;RPLP0;RPL23A;FAU;RPS4Y2;RPL41"
"Peptide Chain Elongation R-HSA-156902",7.79950906633251e-45,3.03400902680335e-42,1.74472588068307,-0.857308396069754,-4.40321623558313,83,"RPL21;RPS28;RPS6;RPS27A;RPS3A;RPS10;RPL7;RPS12;RPL37A;RPS11;RPL39;RPS7;RPL18A;RPS27;RPS19;RPL32;RPL38;RPS15;RPL37;RPL7A;RPL30;RPS29;RPS13;RPL9;RPL5;RPS17;RPL19;RPL12;RPL29;RPS16;RPS14;RPS3;RPS5;RPL26;RPS20;RPL36;RPL36A;RPL6;RPLP2;RPL22;RPS9;RPS2;RPSA;RPL34;RPL23;RPS8;RPL27A;RPL31;RPS23;RPS25;RPL14;RPL28;RPL18;RPS24;RPL15;RPS21;RPS15A;RPL4;RPS4X;RPLP0;RPL23A;FAU;RPS4Y2;RPL41"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",8.29900725548386e-44,2.42123536678742e-41,1.72683078321339,-0.792684193781526,-4.21766990260557,107,"RPL21;RPS28;RPS6;RPS27A;RPS3A;RPS10;RPL7;RPS12;RPL37A;RPS11;RPL39;RPS7;RPL18A;RPS27;EIF3J;RPS19;RPL32;RPL38;RPS15;RPL37;RPL7A;RPL30;RPS29;RPS13;RPL9;RPL5;RPS17;RPL19;RPL12;RPL29;RPS16;RPS14;EIF3L;RPS3;RPS5;RPL26;RPS20;RPL36;EIF3F;RPL36A;RPL6;RPLP2;RPL22;RPS9;RPS2;RPSA;RPL34;RPL23;RPS8;RPL27A;RPL31;RPS23;RPS25;EIF4B;RPL14;EIF3E;RPL28;RPL18;RPS24;RPL15;RPS21;RPS15A;RPL4;RPS4X;RPLP0;RPL23A;FAU"
"Selenocysteine Synthesis R-HSA-2408557",3.14136309993642e-43,7.3319414752516e-41,1.71479697260989,-0.83446337577377,-4.25853989708733,89,"RPL21;RPS28;RPS6;RPS27A;RPS3A;RPS10;RPL7;RPS12;RPL37A;RPS11;RPL39;RPS7;RPL18A;RPS27;RPS19;RPL32;RPL38;RPS15;RPL37;RPL7A;RPL30;RPS29;RPS13;RPL9;RPL5;RPS17;RPL19;RPL12;RPL29;RPS16;RPS14;RPS3;RPS5;RPL26;RPS20;RPL36;RPL36A;RPL6;RPLP2;RPL22;RPS9;RPS2;RPSA;RPL34;RPL23;RPS8;RPL27A;RPL31;RPS23;RPS25;RPL14;RPL28;RPL18;RPS24;RPL15;RPS21;RPS15A;RPL4;RPS4X;RPLP0;RPL23A;FAU;RPS4Y2;RPL41"
"GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706",3.92351573389767e-43,7.63123810243096e-41,1.70874828719195,-0.790936506820881,-4.2261400536735,108,"RPL21;RPS28;RPS6;RPS27A;RPS3A;RPS10;RPL7;RPS12;RPL37A;RPS11;RPL39;RPS7;RPL18A;RPS27;EIF3J;RPS19;RPL32;RPL38;RPS15;RPL37;RPL7A;RPL30;RPS29;RPS13;RPL9;RPL5;RPS17;RPL19;RPL12;RPL29;RPS16;RPS14;EIF3L;RPS3;RPS5;RPL26;RPS20;RPL36;EIF3F;RPL36A;RPL6;RPLP2;RPL22;RPS9;RPS2;RPSA;RPL34;RPL23;RPS8;RPL27A;RPL31;RPS23;RPS25;EIF4B;RPL14;EIF3E;RPL28;RPL18;RPS24;RPL15;RPS21;RPS15A;RPL4;RPS4X;RPLP0;RPL23A;FAU"
"Eukaryotic Translation Termination R-HSA-72764",3.77472495497819e-42,5.50638002807443e-40,1.69047237898449,-0.828578291287554,-4.2285063835625,89,"RPL21;RPS28;RPS6;RPS27A;RPS3A;RPS10;RPL7;RPS12;RPL37A;RPS11;RPL39;RPS7;RPL18A;RPS27;RPS19;RPL32;RPL38;RPS15;RPL37;RPL7A;RPL30;RPS29;RPS13;RPL9;RPL5;RPS17;RPL19;RPL12;RPL29;RPS16;RPS14;RPS3;RPS5;RPL26;RPS20;RPL36;RPL36A;RPL6;RPLP2;RPL22;RPS9;RPS2;RPSA;RPL34;RPL23;RPS8;RPL27A;RPL31;RPS23;RPS25;RPL14;RPL28;RPL18;RPS24;RPL15;RPS21;RPS15A;RPL4;TRMT112;RPS4X;RPLP0;RPL23A;FAU;RPS4Y2;RPL41"
"Viral mRNA Translation R-HSA-192823",3.69311008391915e-42,5.50638002807443e-40,1.69047237898449,-0.828700791770304,-4.22913154364543,89,"RPL21;RPS28;RPS6;RPS27A;RPS3A;RPS10;RPL7;RPS12;RPL37A;RPS11;RPL39;RPS7;RPL18A;RPS27;RPS19;RPL32;RPL38;RPS15;RPL37;RPL7A;RPL30;RPS29;RPS13;RPL9;RPL5;RPS17;RPL19;RPL12;RPL29;RPS16;RPS14;RPS3;RPS5;RPL26;RPS20;RPL36;RPL36A;RPL6;RPLP2;RPL22;RPS9;RPS2;RPSA;RPL34;RPL23;RPS8;RPL27A;RPL31;RPS23;RPS25;RPL14;RPL28;RPL18;RPS24;RPL15;RPS21;RPS15A;RPL4;RPS4X;RPLP0;RPL23A;FAU;RPS4Y2;RPL41"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",1.13345099044406e-40,1.46970811760913e-38,1.6595653414844,-0.817845755198855,-4.23038528904723,91,"RPL21;RPS28;RPS6;RPS27A;RPS3A;RPS10;RPL7;RPS12;RPL37A;RPS11;RPL39;RPS7;RPL18A;RPS27;RPS19;RPL32;RPL38;RPS15;RPL37;RPL7A;RPL30;RPS29;RPS13;RPL9;RPL5;RPS17;RPL19;RPL12;RPL29;RPS16;RPS14;RPS3;RPS5;RPL26;RPS20;RPL36;RPL36A;RPL6;RPLP2;RPL22;RPS9;RPS2;RPSA;RPL34;RPL23;RPS8;RPL27A;RPL31;RPS23;RPS25;RPL14;RPL28;RPL18;RPS24;RPL15;RPS21;RPS15A;RPL4;RPS4X;RPLP0;RPL23A;FAU;RPS4Y2;RPL41"
"Cap-dependent Translation Initiation R-HSA-72737",1.40222461265542e-40,1.63639612296887e-38,1.6595653414844,-0.76068729330304,-4.10962403410682,115,"RPL21;RPS28;RPS6;RPS27A;RPS3A;RPS10;RPL7;RPS12;RPL37A;RPS11;RPL39;RPS7;RPL18A;RPS27;EIF3J;RPS19;RPL32;RPL38;RPS15;RPL37;RPL7A;RPL30;RPS29;RPS13;RPL9;RPL5;RPS17;RPL19;RPL12;RPL29;RPS16;RPS14;EIF3L;RPS3;RPS5;RPL26;RPS20;RPL36;EIF3F;RPL36A;RPL6;RPLP2;RPL22;RPS9;RPS2;RPSA;RPL34;RPL23;RPS8;RPL27A;RPL31;RPS23;RPS25;EIF4B;RPL14;EIF3E;RPL28;RPL18;RPS24;RPL15;RPS21;RPS15A;RPL4;RPS4X;RPLP0;RPL23A;FAU"
