"gene","statistic","p.value","p_adj"
"CCN1",0.339304631561452,1.6764430639626e-06,0.00263038098134646
"RASSF3",0.308438635856657,1.49442679290454e-05,0.0116291311601188
"MGP",0.30676779208055,1.67097023558655e-05,0.0122200126446657
"NDUFA7",0.30527190576791,1.84559047655394e-05,0.0122859315469642
"NR4A1",0.304976227654651,1.88208770013134e-05,0.0122859315469642
"KCNB2",0.301732516281979,2.32989751200288e-05,0.0131858078588381
"CCM2",0.299020675598245,2.77966475551485e-05,0.0148322911354272
"MVD",0.292765946279311,4.14855159186245e-05,0.0173667011018617
"TLN1",0.292725706062713,4.15912822813006e-05,0.0173667011018617
"PRDX4",0.285433478985422,6.55654372079609e-05,0.020843499046986
"GATA1",0.285092311931662,6.69562761228703e-05,0.020843499046986
"C4orf54",0.285090562357027,6.69634794827136e-05,0.020843499046986
"PDE4B",0.283370730491149,7.44072293414606e-05,0.0224133776642116
"EIF2AK3",0.282705892129976,7.74875095151152e-05,0.0226118238703795
"NRXN3",0.280329969776098,8.95006789414063e-05,0.0253259799986319
"SEC23A",0.279313466913357,9.51556243043725e-05,0.0255429395284997
"SLC12A6",0.278198987871074,0.000101739385166764,0.0258739675046829
"MID1",0.278165745953015,0.000101942161071317,0.0258739675046829
"GPR171",0.276102997458743,0.000115291731759248,0.0272555491434902
"TBC1D19",0.27141588701247,0.000151941696110027,0.0333842719594218
"OIP5",0.270689813539083,0.000158509128494792,0.0340335561958945
"ACTA2",0.269743293661728,0.000167468763041453,0.0355414388472975
"CTSZ",0.268103942229046,0.000184113597003955,0.0367791891517489
"ARL6",0.26803046009439,0.000184894643681176,0.0367791891517489
"WDR13",0.26779076836944,0.000187463872650014,0.0367791891517489
"ACLY",0.267325381516619,0.000192547628327108,0.0370723660478049
"MANSC1",0.266996461485301,0.000196217858573271,0.0372169417401921
"TEX51",0.266901984455029,0.000197284066838671,0.0372169417401921
"RETSAT",0.265943217555232,0.000208413814776364,0.0377229523742695
"DNMT3A",0.265362358776522,0.000215438368037927,0.037865124914716
"PTDSS1",0.265089425133514,0.00021881466106569,0.037865124914716
"IL26",0.264319612294261,0.000228604919854962,0.0389906762976088
