"gene","statistic","p.value","p_adj"
"FBXL16",0.777088445371719,1.17338068278945e-39,1.88239853378281e-35
"IDS",0.775620552253233,2.01584764808611e-39,1.88239853378281e-35
"RAB6B",0.745289926386647,6.22351576923913e-35,3.874346016877e-31
"NRGN",0.735110901162155,1.44807873230002e-33,6.7610796011088e-30
"CAMK2A",0.732148871305664,3.52147843846091e-33,1.31534262633392e-29
"NCS1",0.72294785830195,5.16982687727511e-32,1.46465362166403e-28
"DIRAS2",0.72273790934579,5.48970622812604e-32,1.46465362166403e-28
"PRKAR1B",0.713333945684455,7.64417380892001e-31,1.78453237569238e-27
"DLG4",0.698910452396261,3.55565771959653e-29,7.37838484124275e-26
"DMTN",0.691476509773561,2.35581556921497e-28,4.39972115706588e-25
"CALM1",0.678818337291746,5.18576458619519e-27,8.80448540107103e-24
"ENC1",0.674132976420108,1.56635424206606e-26,2.43776931873547e-23
"PACSIN1",0.670878767599627,3.33556046096565e-26,4.79191747453804e-23
"SLC1A2",0.670136947954528,3.95749606824006e-26,5.27929975503225e-23
"BSCL2",0.667050698298976,8.01767466102248e-26,9.98253946461705e-23
"RGS4",0.663777244157514,1.67996504219332e-25,1.96093919550016e-22
"FXYD7",0.658595004089631,5.31730179811854e-25,5.84152519892129e-22
"KCNAB2",0.658224094267081,5.76935819097527e-25,5.98602964303634e-22
"BEX1",0.654390776242526,1.33182646505675e-24,1.30911531902105e-21
"PSD",0.652154819859422,2.15749359590742e-24,2.01466751985835e-21
"PCSK1N",0.650051831148552,3.38367860152223e-24,2.88531782250402e-21
"CLU",0.650030836252936,3.39885372109062e-24,2.88531782250402e-21
"OLFM1",0.648482462701256,4.72318633970945e-24,3.83522730784407e-21
"PLD3",0.645842354577543,8.2412938602344e-24,6.41310017223907e-21
"ATP1A2",0.644479435937138,1.09615580730938e-23,8.18872234292396e-21
"PHACTR1",0.643854837792562,1.24862794596536e-23,8.66201869583293e-21
"TLE5",0.643840841195484,1.25227299629197e-23,8.66201869583293e-21
"ATRNL1",0.642477922555079,1.66210272405157e-23,1.1086225169424e-20
"SEPTIN3",0.641547148849436,2.01499257022919e-23,1.2976552152276e-20
"SNCB",0.639792325490865,2.89158652094784e-23,1.80010899550739e-20
"AGAP2",0.636478631132806,5.68318274956539e-23,3.42384261389946e-20
"DKK3",0.632246410091546,1.33118317050554e-22,7.76911777886298e-20
"MAPT",0.629055185957914,2.50732401052868e-22,1.37725833001863e-19
"CA11",0.628696523157807,2.69101275694156e-22,1.43592440710402e-19
"NCDN",0.626325849527833,4.28419491520002e-22,2.22254511767432e-19
"GNB1",0.626038919287748,4.5310089512931e-22,2.28705738309054e-19
"ADCY1",0.624539533825839,6.0659961073928e-22,2.98127745530705e-19
"ST6GALNAC6",0.623388313716228,7.58094082784796e-22,3.63029874104842e-19
"SREBF2",0.622445292988142,9.09358890324502e-22,4.2457966589251e-19
"YWHAG",0.617583225078403,2.30086707593908e-21,1.04807301244483e-18
"SLC17A7",0.617320788883203,2.41798384512786e-21,1.07519681646686e-18
"CEND1",0.615961369392066,3.12479176157771e-21,1.35717699858663e-18
"CDK5R1",0.614432241161368,4.16340339325153e-21,1.75355034084641e-18
"RTN1",0.614353510302808,4.22519625926796e-21,1.75355034084641e-18
"SYNPO",0.613965104733912,4.54345349836475e-21,1.84464212033609e-18
"NEFL",0.613660678747479,4.80923022072376e-21,1.91100390643057e-18
"HPCAL4",0.613149802954157,5.28991268449731e-21,2.05821686032649e-18
"SLC8A1",0.612953850595074,5.48652877158576e-21,2.09115125179869e-18
"CYFIP2",0.612180538606551,6.3348701556941e-21,2.36620070055486e-18
"CHGA",0.610597173562178,8.49281007361281e-21,3.11003374381947e-18
"AMPH",0.608294733342956,1.29692634861547e-20,4.65796086283509e-18
"STXBP1",0.606956308747436,1.65619522426133e-20,5.83605698269899e-18
"PIP5K1C",0.604897059402433,2.40727736966417e-20,8.32561336219407e-18
"SHC3",0.604163987630507,2.74827840574426e-20,9.33215409194179e-18
"TUBA4A",0.602137980203563,3.95642084371112e-20,1.31946635137766e-17
"REEP5",0.600010497447808,5.78449319250795e-20,1.89528412040839e-17
"KIF5A",0.599812795514091,5.9914601413532e-20,1.92925016551573e-17
"MAPK1",0.597699309355413,8.71139975144477e-20,2.75752714844038e-17
"BSN",0.59645361221553,1.08477342957401e-19,3.37653809512071e-17
"RIMS3",0.596084451967615,1.15741011212764e-19,3.54357233673701e-17
"MAST1",0.595076696978047,1.38084261993926e-19,4.15945431773962e-17
"HPCA",0.594284139668543,1.58578137927593e-19,4.70096079989798e-17
"ADGRL1",0.593465338739519,1.82876974752928e-19,5.33657871950887e-17
"FAM107A",0.593155664029183,1.92987891953892e-19,5.54498749250907e-17
"SPTBN2",0.592574805250473,2.13451704409767e-19,6.0400364114497e-17
"CADM3",0.592004443919572,2.35609350093878e-19,6.56752271993025e-17
"MAP2",0.591860978799529,2.41528396811712e-19,6.63350638066989e-17
"LMO3",0.591432333014036,2.60094966709011e-19,6.95402161543214e-17
"SNRPN",0.591420085991593,2.60645487834788e-19,6.95402161543214e-17
