"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Translation Initiation Complex Formation R-HSA-72649",1.02306733065227e-23,1.11309725574967e-20,1.26273988547916,-0.698146980870427,-4.52305875092812,57,"RPS16;RPS12;RPS6;RPS7;RPS3;RPS29;RPS17;RPS19;RPS27A;EIF3A;RPS13;RPS9;RPS20;RPS2;RPS14;RPS23;PABPC1;RPS27;EIF4B;EIF4A1;EIF3B;RPS5;EIF3J;RPS8;EIF3G;EIF4G1;EIF1AX;FAU;EIF4H;RPS25;RPS15;EIF3F"
"Ribosomal Scanning And Start Codon Recognition R-HSA-72702",4.44866309955216e-23,1.69405090830946e-20,1.24623277191648,-0.68959032075112,-4.46762303682806,57,"RPS16;RPS12;RPS6;RPS7;RPS3;RPS29;RPS17;RPS19;RPS27A;EIF3A;RPS13;RPS9;RPS20;RPS2;RPS14;RPS23;RPS27;EIF4B;EIF4A1;EIF3B;RPS5;EIF3J;RPS8;EIF3G;EIF4G1;EIF1AX;FAU;EIF4H;RPS25;RPS15;EIF3F"
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",4.67109625452976e-23,1.69405090830946e-20,1.24623277191648,-0.687741018683343,-4.56741608756126,58,"RPS16;RPS12;RPS6;RPS7;RPS3;RPS29;RPS17;RPS19;RPS27A;EIF3A;RPS13;RPS9;RPS20;RPS2;RPS14;RPS23;PABPC1;RPS27;EIF4B;EIF4A1;EIF3B;RPS5;EIF3J;RPS8;EIF3G;EIF4G1;EIF1AX;FAU;EIF4H;RPS25;RPS15;EIF3F"
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",3.07917781636264e-21,8.37536366050639e-19,1.19534448258848,-0.702985743196386,-4.36073816341537,50,"RPS16;RPS12;RPS6;RPS7;RPS3;RPS29;RPS17;RPS19;RPS27A;EIF3A;RPS13;RPS9;RPS20;RPS2;RPS14;RPS23;RPS27;EIF3B;RPS5;EIF3J;RPS8;EIF3G;EIF1AX;FAU;RPS25;RPS15;EIF3F"
"SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678",2.05487072435587e-16,4.47139869619837e-14,1.04762648849882,-0.63604870500084,-4.3796734609777,47,"RPS16;RPS12;RPS6;SNRPD3;RPS7;RPS3;RPS29;RPS17;RPS19;RPS27A;SNRPG;RPS13;RPS9;RPS20;RPS2;RPS14;RPS23;RPS27;SMN1;RPS5;RPS8;FAU;RPS25;RPS15"
"RHO GTPases Activate PKNs R-HSA-5625740",8.60581951025483e-06,0.00156052193785954,0.593325476396405,-0.329723666458524,-2.16991233133266,59,"RNASE1;MYL12B;H2AJ;YWHAE;H3-3B;RHOA;H2AC6;PPP1CB;H2AC19;YWHAQ;MYL6;PPP1R14A;H4C15;KDM1A;H2AB1;RHOB;H2BC4"
"RHO GTPases Activate PAKs R-HSA-5627123",4.10992398579214e-05,0.00638799613791692,0.557332238758646,-0.494990135216642,-2.3851382823489,21,"RNASE1;MYL12B;MYLK;CTTN;PPP1CB;MYL6;CDC42"
"Formation Of ATP By Chemiosmotic Coupling R-HSA-163210",7.61624823069815e-05,0.0103473133318862,0.538434096309916,-0.55868290825827,-2.43481220328438,16,"ATP5MC1;ATP5MC2;ATP5MG;ATP5F1A;ATP5ME;ATP5MC3;ATP5F1B;ATP5PO"
"Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505",8.55935845468523e-05,0.0103473133318862,0.538434096309916,-0.3926633301718,-2.3145026437058,35,"PDCD4;HNRNPA2B1;RPLP0;SNRPA1;HNRNPDL;AURKAIP1;TALDO1;CDC42"
"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",0.000274065739805795,0.0248486270757255,0.49849310876659,-0.402197540807789,-2.11306102597362,28,"HLA-B;CALR;HLA-C;ATG14;B2M;PDIA3;CANX;HLA-A;HLA-E"
