"gene","statistic","p.value","p_adj"
"SERTAD4",0.43896740105062,2.36820231840748e-10,1.22857073607161e-07
"DNAH12",0.435468251781286,3.40529677623085e-10,1.6307005793048e-07
"ZNF672",0.432430990215504,4.65179591740115e-10,2.1719235138346e-07
"POTEG",0.429941345510373,5.9933044845531e-10,2.66502272746461e-07
"SCRT1",0.426942574586554,8.11026743658236e-10,3.36594121434694e-07
"SYNPR",0.419968770092771,1.62035563842708e-09,5.9243658036795e-07
"ICA1",0.419786814330766,1.64953427817163e-09,5.9243658036795e-07
"ENKD1",0.417974255009251,1.969344129376e-09,6.67273262126741e-07
"EPC2",0.41448385361309,2.76210722328876e-09,8.59751908369015e-07
"PPIL1",0.414210919970082,2.83568629798091e-09,8.68184873788384e-07
"NCDN",0.409322608440823,4.52300993803159e-09,1.29956513234889e-06
"MGAT5B",0.40823437301806,5.01332972149755e-09,1.41862039210134e-06
"PLEKHG5",0.406274849427233,6.02851084140481e-09,1.65571277167759e-06
"PKD2L1",0.405319581676705,6.59270797616272e-09,1.78442629221471e-06
"CAMK2A",0.404007400700705,7.45135638462004e-09,1.93279905332172e-06
"VTN",0.399747186465291,1.1048067342007e-08,2.71491717999109e-06
"NOL11",0.397051091953269,1.41350843742306e-08,3.38444661247602e-06
"PAPPA",0.396185052509109,1.52922217398067e-08,3.61515864826113e-06
"DENND2C",0.395331260087391,1.65220389997241e-08,3.85707000448559e-06
"B9D1",0.393712903550324,1.91195883816582e-08,4.30213774235963e-06
"OSR2",0.390276738967838,2.60015348308604e-08,5.58166281035804e-06
"FMO3",0.389533169748105,2.77774204271242e-08,5.89512618064741e-06
"HTR6",0.388621641363443,3.01140590685245e-08,6.24900185737516e-06
"PPP1R27",0.38837670091459,3.07735036184076e-08,6.31566981953166e-06
"WDR35",0.385063006556531,4.1180992085644e-08,8.10012114161919e-06
"MYOZ2",0.384942285906739,4.16178527024377e-08,8.10012114161919e-06
"SYBU",0.383908287297651,4.55467377886074e-08,8.59223106000032e-06
"GAB4",0.383775319625416,4.60771414836056e-08,8.60536694347818e-06
"CTRB2",0.383269692555997,4.8148828090962e-08,8.90324270719611e-06
"LHX9",0.382286431611314,5.24368153751369e-08,9.36358182958539e-06
"TRDC",0.382240942670813,5.26438258784786e-08,9.36358182958539e-06
"RUFY4",0.381318916838344,5.70131125903301e-08,1.00450650069529e-05
"SPINK14",0.38002423160869,6.37407830638424e-08,1.09213106834892e-05
"MMRN1",0.37936814112069,6.74350824761944e-08,1.14492509120492e-05
