"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Neuronal System R-HSA-112316",7.05140958808511e-35,8.22899498929532e-32,1.53645895003215,0.531684522852572,2.94572561681424,386,"TSPAN7;STXBP1;NRGN;SLC1A2;SNAP25;SYT1;PRKAR1B;RAB3A;RTN3;VAMP2;MAPT;GNB1;GRIA2;CALM1;CAMK2A;NPTN;SYN1;ADCY1;KCNAB2;CAMK2G;NEFL;EPB41L1;PRKAR1A;CAMK2B;SLC1A3;AP2M1;SLC17A7;NSF;PRKCB;GLUL;MAPK1;PLCB1;SYN2;GABBR2;GIT1;GABRB2;KCNQ2;NRXN2;AP2A1;DLGAP1;CAMK2D;GRIA1;GNG7;NRXN1;AP2B1;GNG2;GABRA2;STX1A;DLGAP4;CPLX1;CACNA1B;GABRA1;CAMKK2;RASGRF2;TSPOAP1;SHANK1;LRRC4B;HSPA8;PRKACB;GABRA4;PRKCA;HCN2;KCNC2;DLGAP3;PTPRS;CAMKK1;PRKAR2B;CACNA2D1;NLGN3;ARL6IP5;PRKCG;FLOT1;KCNQ5;PICK1;APBA2;CACNA1E;AP2S1;ALDH2;HOMER1;CACNB3;PPFIA2;GRIN2B;KCNC1;GABRB3;PPFIBP1;DLG1;ABAT;KCNMB4;ADCY2;GLRB;NLGN2;GNAI2;SLC38A2;GNAI1;CACNB4;HCN1;CACNB1;GPRIN1;LRRTM4;SYN3;GABRA3;NLGN4Y;GRIA4;GNG3;SHANK3;SYT7;KCND2;GAD1;SLITRK1;GABRA5;APBA1;CACNB2;CACNA2D3;PPFIA4;KCNK1;LLGL1;ARHGEF9;GRIK5;ARHGEF7;RIMS1;SLC6A1;GNB2;CHRNA4;GABRG2;KCNB1;GRM5;GABRB1;CACNG3;GRIA3;MAPK3;KCNA2;KCNJ4;DNAJC5;KCNMA1;SLITRK2"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",3.56721372142951e-34,2.08146920645412e-31,1.52292160289117,-0.517791428709448,-2.84683200413366,373,"OR7D4;OR2A14;OR2A4;OR5AS1;OR8K3;OR2T34;OR2M5;OR4Q3;OR9Q2;OR1K1;OR5V1;OR2AP1;OR10H3;OR4N2;OR9Q1;OR14A2;OR4F15;OR4F21;OR1I1;OR5B17;OR8G1;OR14K1;OR4C15;OR4C3;OR6P1;OR6S1;OR52M1;OR4N5;OR5D16;OR5H2;OR7C1;OR4D2;OR9G4;OR2A1;OR4K14;OR3A2;OR7D2;OR4C16;OR6J1;OR2S2;OR10T2;OR2G6;OR2H2;RTP2;OR4C5;OR4K5;OR7E24;OR51G2;OR13D1;OR6C74;OR2T8;OR5L1;EBF1;OR1A2;OR2L5;OR52E8;OR10X1;OR51E2;OR10G3;OR4X1;OR5C1;OR52E2;OR10J5;OR2W3;OR4D10;OR56A5;OR5AP2;OR7C2;OR1L4;OR5A1;OR4D9;OR6N1;OR4F6;OR13J1;OR2B11;OR2T6;OR2T11;OR4N4;OR1L3;OR5M8;OR56A1;OR10G4;OR51Q1;OR6B1;OR52E5;OR51B2;OR4F17;OR6C4;OR7G2;OR2A2;OR52J3;OR11A1;OR52E4;OR6F1;OR2G2;OR10Z1;OR2H1;OR5AU1;OR10AD1;OR5AN1;OR2J3;OR1D2;OR2T35;OR10K2;OR1L8;OR10H2;OR5D14;OR8D2;OR13C8;OR6K2;OR11H1;OR4D5;OR10A4;OR9A2;OR52A5;OR4C11;OR1L1;OR14J1;OR6N2;OR10AC1;OR13C3;OR4A47;OR2M4;OR12D2;OR1B1;OR8A1;OR13G1;OR5M1;OR4D11;OR4C45;OR4S1;OR6C3;OR2A12;OR2A7;OR2F1;OR1M1;OR11H6;OR10D3;OR5L2;OR2C1;OR2T1;OR51E1;OR4A5;OR6C6;OR8B4;OR5H14;OR51B4;OR51F2;OR5D18;OR5B2;OR5H15;OR52H1;OR6T1;OR1D5;OR1F1;OR4K15;OR11H4;OR7A10;OR4A16;OR2J2;OR14C36;OR1J1;OR2A5;OR2AG2;OR5F1;OR2D3;OR8U3;OR10W1;OR13C9;OR2C3;OR8D4;OR5AK2;OR4C13;OR56B1;OR4C46;OR10S1;OR51V1;OR4D6;OR52E6;OR5B21;OR14A16;OR4S2;OR1J4;OR4K2;OR6B2;OR13F1;OR2L8;OR52N1;OR8U1;OR4D1;OR3A1;OR1A1;RTP1;OR7G1;OR7A17;OR1C1;OR10H4;OR52K1;OR5W2;OR8B2;OR8B8;OR2V1;OR6B3;OR2L13;OR1N1;OR2AE1;OR2F2;OR5J2;OR2T5;OR51G1;OR2T12;OR52D1;OR2L2;OR7A5;OR8H1;OR1S2;OR11G2;OR13A1;OR4E2;OR5K3;OR8S1;OR4E1;OR6Q1;OR5B3;OR5T1;OR10G2;OR10P1;OR8H2;OR2G3;OR51A7;OR1E1;OR8B12;OR2B6;OR5M9;OR8J3;OR5AC2;OR1N2;OR13C2;OR52W1"
"Olfactory Signaling Pathway R-HSA-381753",1.76502344510295e-33,6.86594120145047e-31,1.50238688881415,-0.51100395967447,-2.81671964170128,381,"OR7D4;OR2A14;OR2A4;OR5AS1;OR8K3;OR2T34;OR2M5;OR4Q3;OR9Q2;OR1K1;OR5V1;OR2AP1;ANO2;OR10H3;OR4N2;OR9Q1;OR14A2;OR4F15;OR4F21;OR1I1;OR5B17;OR8G1;OR14K1;OR4C15;OR4C3;OR6P1;OR6S1;OR52M1;OR4N5;OR5D16;OR5H2;OR7C1;OR4D2;OR9G4;OR2A1;OR4K14;CNGA4;OR3A2;OR7D2;OR4C16;OR6J1;OR2S2;OR10T2;OR2G6;OR2H2;RTP2;OR4C5;OR4K5;OR7E24;OR51G2;OR13D1;OR6C74;OR2T8;OR5L1;EBF1;OR1A2;OR2L5;OR52E8;OR10X1;OR51E2;OR10G3;OR4X1;OR5C1;OR52E2;OR10J5;OR2W3;OR4D10;OR56A5;OR5AP2;OR7C2;OR1L4;OR5A1;OR4D9;OR6N1;OR4F6;OR13J1;OR2B11;OR2T6;OR2T11;OR4N4;OR1L3;OR5M8;OR56A1;OR10G4;OR51Q1;OR6B1;OR52E5;OR51B2;OR4F17;OR6C4;OR7G2;OR2A2;OR52J3;OR11A1;OR52E4;OR6F1;OR2G2;OR10Z1;OR2H1;OR5AU1;OR10AD1;OR5AN1;OR2J3;OR1D2;OR2T35;OR10K2;OR1L8;OR10H2;OR5D14;OR8D2;OR13C8;OR6K2;OR11H1;OR4D5;OR10A4;OR9A2;OR52A5;OR4C11;OR1L1;OR14J1;OR6N2;OR10AC1;OR13C3;OR4A47;OR2M4;OR12D2;OR1B1;OR8A1;OR13G1;OR5M1;OR4D11;OR4C45;OR4S1;OR6C3;OR2A12;OR2A7;OR2F1;OR1M1;OR11H6;OR10D3;OR5L2;OR2C1;OR2T1;OR51E1;OR4A5;OR6C6;OR8B4;OR5H14;OR51B4;OR51F2;OR5D18;OR5B2;OR5H15;OR52H1;OR6T1;OR1D5;OR1F1;OR4K15;OR11H4;OR7A10;OR4A16;OR2J2;OR14C36;OR1J1;OR2A5;OR2AG2;OR5F1;OR2D3;OR8U3;OR10W1;OR13C9;OR2C3;OR8D4;OR5AK2;OR4C13;CNGB1;OR56B1;OR4C46;OR10S1;OR51V1;OR4D6;OR52E6;OR5B21;OR14A16;OR4S2;OR1J4;OR4K2;OR6B2;GNG13;OR13F1;OR2L8;OR52N1;OR8U1;OR4D1;OR3A1;OR1A1;RTP1;OR7G1;OR7A17;OR1C1;OR10H4;OR52K1;OR5W2;OR8B2;OR8B8;OR2V1;OR6B3;OR2L13;OR1N1;OR2AE1;OR2F2;OR5J2;OR2T5;OR51G1;OR2T12;OR52D1;OR2L2;OR7A5;OR8H1;OR1S2;OR11G2;CNGA2;OR13A1;OR4E2;OR5K3;OR8S1;OR4E1;OR6Q1;OR5B3;OR5T1;OR10G2;OR10P1;OR8H2;OR2G3;OR51A7;OR1E1;OR8B12;OR2B6;OR5M9;OR8J3;OR5AC2;OR1N2;OR13C2"
"Transmission Across Chemical Synapses R-HSA-112315",7.15226162874392e-33,2.08667233018604e-30,1.48853970961455,0.59921150235823,3.12569173992545,246,"TSPAN7;STXBP1;NRGN;SLC1A2;SNAP25;SYT1;PRKAR1B;RAB3A;VAMP2;MAPT;GNB1;GRIA2;CALM1;CAMK2A;NPTN;SYN1;ADCY1;CAMK2G;NEFL;EPB41L1;PRKAR1A;CAMK2B;SLC1A3;AP2M1;SLC17A7;NSF;PRKCB;GLUL;MAPK1;PLCB1;SYN2;GABBR2;GIT1;GABRB2;AP2A1;CAMK2D;GRIA1;GNG7;AP2B1;GNG2;GABRA2;STX1A;CPLX1;CACNA1B;GABRA1;CAMKK2;RASGRF2;TSPOAP1;HSPA8;PRKACB;GABRA4;PRKCA;CAMKK1;PRKAR2B;CACNA2D1;ARL6IP5;PRKCG;PICK1;CACNA1E;AP2S1;ALDH2;CACNB3;PPFIA2;GRIN2B;GABRB3;DLG1;ABAT;ADCY2;GLRB;GNAI2;SLC38A2;GNAI1;CACNB4;CACNB1;GPRIN1;SYN3;GABRA3;GRIA4;GNG3;GAD1;GABRA5;APBA1;CACNB2;CACNA2D3;PPFIA4;LLGL1;ARHGEF9;GRIK5;ARHGEF7;RIMS1;SLC6A1;GNB2;CHRNA4;GABRG2;GABRB1;CACNG3;GRIA3;MAPK3;KCNJ4;DNAJC5"
"Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517",4.99236070719522e-30,1.16521698905936e-27,1.42456271623384,0.667228261326529,3.27118825632846,159,"COX6C;LDHB;ATP5F1B;NDUFS5;NDUFB8;BSG;COX6A1;COX6B1;COX5B;ACO2;COX4I1;NDUFA1;ATP5F1D;COX8A;NDUFB2;ATP5F1A;ATP5PB;COX7B;ATP5PD;ATP5MF;COX7C;MDH2;ATP5MC3;ATP5ME;UQCRC2;NDUFB3;ATP5PO;UQCR11;ATP5PF;NDUFA8;NDUFA5;NDUFA13;COX5A;NDUFS4;CYCS;NDUFAB1;NDUFB9;UQCRQ;NDUFA2;ATP5MC2;UQCRC1;CCNI;PDHB;COA1;NDUFS8;SUCLG1;NDUFB4;NDUFB10;ATP5F1C;SDHA;NDUFS3;NDUFS2;IDH2;SDHB;UQCRB;VDAC1;NDUFV3;NDUFV1;IDH3A;IDH3G;NDUFA11;CS;PDHX;NDUFV2;LDHA;NNT;NDUFB6;NDUFB1;NDUFB5;NDUFAF4;UQCRFS1;NDUFA9;COX16;NDUFA12;MPC2;GLO1;PDK2;ACAD9;COX7A2L;SLC25A27;TRAP1"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",6.61949302390445e-27,1.28749139314942e-24,1.34223377296446,0.718451687356681,3.33171049189831,111,"COX6C;ATP5F1B;NDUFS5;NDUFB8;COX6A1;COX6B1;COX5B;COX4I1;NDUFA1;ATP5F1D;COX8A;NDUFB2;ATP5F1A;ATP5PB;COX7B;ATP5PD;ATP5MF;COX7C;ATP5MC3;ATP5ME;UQCRC2;NDUFB3;ATP5PO;UQCR11;ATP5PF;NDUFA8;NDUFA5;NDUFA13;COX5A;NDUFS4;CYCS;NDUFAB1;NDUFB9;UQCRQ;NDUFA2;ATP5MC2;UQCRC1;CCNI;COA1;NDUFS8;NDUFB4;NDUFB10;ATP5F1C;SDHA;NDUFS3;NDUFS2;SDHB;UQCRB;NDUFV3;NDUFV1;NDUFA11;NDUFV2;NDUFB6;NDUFB1;NDUFB5;NDUFAF4;UQCRFS1;NDUFA9;COX16;NDUFA12;ACAD9;COX7A2L;SLC25A27;TRAP1;COX20;COX14"
"Respiratory Electron Transport R-HSA-611105",1.59119890283429e-24,2.65275588515374e-22,1.28710367230144,0.734454799406463,3.32810574437905,89,"COX6C;NDUFS5;NDUFB8;COX6A1;COX6B1;COX5B;COX4I1;NDUFA1;COX8A;NDUFB2;COX7B;COX7C;UQCRC2;NDUFB3;UQCR11;NDUFA8;NDUFA5;NDUFA13;COX5A;NDUFS4;CYCS;NDUFAB1;NDUFB9;UQCRQ;NDUFA2;UQCRC1;CCNI;COA1;NDUFS8;NDUFB4;NDUFB10;SDHA;NDUFS3;NDUFS2;SDHB;UQCRB;NDUFV3;NDUFV1;NDUFA11;NDUFV2;NDUFB6;NDUFB1;NDUFB5;NDUFAF4;UQCRFS1;NDUFA9;COX16;NDUFA12;ACAD9;COX7A2L;TRAP1;COX20;COX14"
"Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314",3.7701833705502e-20,5.49975499179011e-18,1.16017957183021,0.565306286670137,2.83620486466848,182,"TSPAN7;NRGN;PRKAR1B;MAPT;GNB1;GRIA2;CALM1;CAMK2A;NPTN;ADCY1;CAMK2G;NEFL;EPB41L1;PRKAR1A;CAMK2B;AP2M1;NSF;PRKCB;MAPK1;PLCB1;GABBR2;GIT1;GABRB2;AP2A1;CAMK2D;GRIA1;GNG7;AP2B1;GNG2;GABRA2;GABRA1;CAMKK2;RASGRF2;PRKACB;GABRA4;PRKCA;CAMKK1;PRKAR2B;PRKCG;PICK1;AP2S1;GRIN2B;GABRB3;DLG1;ADCY2;GLRB;GNAI2;GNAI1;GPRIN1;GABRA3;GRIA4;GNG3;GABRA5;APBA1;LLGL1;ARHGEF9;GRIK5;ARHGEF7;GNB2;CHRNA4;GABRG2;GABRB1;CACNG3;GRIA3;MAPK3;KCNJ4"
"Opioid Signaling R-HSA-111885",9.83354010115996e-16,1.27508236645041e-13,1.01754479730988,0.652426902696694,2.94833159240915,88,"PRKAR1B;GNB1;CALM1;CAMK2A;AHCYL1;PPP3R1;ADCY1;CAMK2G;PRKAR1A;CAMK2B;MAPK1;PLCB1;CAMK2D;GNG7;GRK2;GNG2;PPP2CB;CAMKK2;PPP3CB;PRKACB;PPP2CA;PRKCA;CAMKK1;PRKAR2B;GNAQ;PRKCG;PPP3CA;PDE1B;ITPR1;ADCY2;PPP1R1B;GNAI2;GNAI1;GNG3;PPP2R1A"
"Post NMDA Receptor Activation Events R-HSA-438064",2.24835053798298e-15,2.62382507782613e-13,1.00731795687447,0.712632316791047,2.99398114817309,61,"NRGN;PRKAR1B;MAPT;GRIA2;CALM1;CAMK2A;ADCY1;CAMK2G;NEFL;PRKAR1A;CAMK2B;MAPK1;GIT1;CAMK2D;GRIA1;CAMKK2;RASGRF2;PRKACB;PRKCA;CAMKK1;PRKAR2B;GRIN2B;DLG1;GPRIN1;LLGL1;ARHGEF7;MAPK3;RASGRF1"
