"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Cap-dependent Translation Initiation R-HSA-72737",1e-50,7.93571428571429e-49,NA,0.811475936382211,5.38289210702723,115,"RPL21;RPS12;RPS28;RPL38;RPS20;RPS27;RPS14;RPL37A;RPS17;RPL27A;RPL37;RPS6;RPL18;RPS29;FAU;RPS8;RPS24;RPS27A;RPSA;RPL29;RPL28;RPL39;RPS3;RPS11;RPL7;RPL12;RPS23;RPL7A;RPL19;RPS25;RPL32;RPL5;RPS10;RPL34;RPS7;RPL18A;RPS3A;RPS2;RPL30;RPS4X;RPS19;RPL9;RPS13;RPL22;RPL31;RPLP2;RPL26;RPS9;RPL35;PABPC1;RPL15;RPS16;RPL41;RPL6;EIF4B;RPL36;RPLP1;RPS5;RPS21;RPL4;RPL36A;RPL35A;RPL23;RPL14;RPS15;RPLP0;EIF4H;RPL10A;EIF3L;RPS15A;RPL27;EIF3J;EIF3C;RPL8;EIF3K;UBA52;RPL36AL;EIF3F"
"Eukaryotic Translation Elongation R-HSA-156842",1e-50,7.93571428571429e-49,NA,0.894847968475519,5.595729061136,87,"RPL21;RPS12;RPS28;RPL38;RPS20;RPS27;RPS14;RPL37A;RPS17;RPL27A;RPL37;RPS6;RPL18;RPS29;FAU;RPS8;RPS24;RPS27A;RPSA;RPL29;RPL28;RPL39;RPS3;RPS11;RPL7;RPL12;RPS23;RPL7A;RPL19;RPS25;RPL32;RPL5;RPS10;RPL34;RPS7;EEF1D;RPL18A;RPS3A;RPS2;RPL30;RPS4X;RPS19;RPL9;RPS13;RPL22;RPL31;RPLP2;RPL26;RPS9;RPL35;RPL15;RPS16;RPL41;RPL6;RPL36;RPLP1;RPS5;RPS21;RPL4;RPL36A;RPL35A;RPL23;RPL14;EEF1B2;RPS15;EEF1G;RPLP0;RPL10A;RPS15A;RPL27"
"Eukaryotic Translation Termination R-HSA-72764",1e-50,7.93571428571429e-49,NA,0.859662837779644,5.44843086008415,89,"RPL21;RPS12;RPS28;RPL38;RPS20;RPS27;RPS14;RPL37A;RPS17;RPL27A;RPL37;RPS6;RPL18;RPS29;FAU;RPS8;RPS24;RPS27A;RPSA;RPL29;RPL28;RPL39;RPS3;RPS11;RPL7;RPL12;RPS23;RPL7A;RPL19;RPS25;RPL32;RPL5;RPS10;RPL34;RPS7;RPL18A;RPS3A;RPS2;RPL30;RPS4X;RPS19;RPL9;RPS13;RPL22;RPL31;RPLP2;RPL26;RPS9;RPL35;RPL15;RPS16;RPL41;RPL6;RPL36;RPLP1;RPS5;RPS21;RPL4;RPL36A;RPL35A;RPL23;RPL14;RPS15;RPLP0;RPL10A;RPS15A;RPL27"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",1e-50,7.93571428571429e-49,NA,0.864712223160444,5.39076506991409,97,"RPL21;RPS12;RPS28;RPL38;RPS20;RPS27;RPS14;RPL37A;RPS17;RPL27A;RPL37;RPS6;RPL18;RPS29;FAU;RPS8;RPS24;RPS27A;RPSA;RPL29;RPL28;RPL39;RPS3;RPS11;RPL7;RPL12;RPS23;RPL7A;RPL19;RPS25;RPL32;RPL5;RPS10;RPL34;RPS7;RPL18A;RPS3A;RPS2;RPL30;RPS4X;RPS19;RPL9;RPS13;RPL22;RPL31;RPLP2;RPL26;RPS9;RPL35;RPL15;RPS16;RPL41;RPL6;RPL36;RPLP1;RPS5;RPS21;RPL4;RPL36A;RPL35A;RPL23;RPL14;RPS15;RPLP0;RPL10A;EIF3L;RPS15A;RPL27;EIF3J;EIF3C;RPL8;EIF3K;UBA52;RPL36AL;EIF3F"
"GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706",1e-50,7.93571428571429e-49,NA,0.839066896954818,5.51585920367018,108,"RPL21;RPS12;RPS28;RPL38;RPS20;RPS27;RPS14;RPL37A;RPS17;RPL27A;RPL37;RPS6;RPL18;RPS29;FAU;RPS8;RPS24;RPS27A;RPSA;RPL29;RPL28;RPL39;RPS3;RPS11;RPL7;RPL12;RPS23;RPL7A;RPL19;RPS25;RPL32;RPL5;RPS10;RPL34;RPS7;RPL18A;RPS3A;RPS2;RPL30;RPS4X;RPS19;RPL9;RPS13;RPL22;RPL31;RPLP2;RPL26;RPS9;RPL35;RPL15;RPS16;RPL41;RPL6;EIF4B;RPL36;RPLP1;RPS5;RPS21;RPL4;RPL36A;RPL35A;RPL23;RPL14;RPS15;RPLP0;EIF4H;RPL10A;EIF3L;RPS15A;RPL27;EIF3J;EIF3C;RPL8;EIF3K;UBA52;RPL36AL;EIF3F"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",1e-50,7.93571428571429e-49,NA,0.846313410681415,5.420780128798,107,"RPL21;RPS12;RPS28;RPL38;RPS20;RPS27;RPS14;RPL37A;RPS17;RPL27A;RPL37;RPS6;RPL18;RPS29;FAU;RPS8;RPS24;RPS27A;RPSA;RPL29;RPL28;RPL39;RPS3;RPS11;RPL7;RPL12;RPS23;RPL7A;RPL19;RPS25;RPL32;RPL5;RPS10;RPL34;RPS7;RPL18A;RPS3A;RPS2;RPL30;RPS4X;RPS19;RPL9;RPS13;RPL22;RPL31;RPLP2;RPL26;RPS9;RPL35;PABPC1;RPL15;RPS16;RPL41;RPL6;EIF4B;RPL36;RPLP1;RPS5;RPS21;RPL4;RPL36A;RPL35A;RPL23;RPL14;RPS15;RPLP0;EIF4H;RPL10A;EIF3L;RPS15A;RPL27;EIF3J;EIF3C;RPL8;EIF3K;UBA52;RPL36AL;EIF3F"
"Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957",1e-50,7.93571428571429e-49,NA,0.817481608298206,5.60522555325025,111,"RPL21;RPS12;RPS28;RPL38;RPS20;RPS27;RPS14;RPL37A;RPS17;RPL27A;RPL37;RPS6;RPL18;RPS29;FAU;RPS8;RPS24;RPS27A;RPSA;RPL29;RPL28;RPL39;RPS3;RPS11;RPL7;RPL12;RPS23;RPL7A;RPL19;RPS25;RPL32;RPL5;RPS10;RPL34;RPS7;RPL18A;RPS3A;RPS2;RPL30;RPS4X;RPS19;RPL9;RPS13;RPL22;RPL31;RPLP2;RPL26;RPS9;RPL35;PABPC1;RPL15;RPS16;RPL41;RPL6;RPL36;RPLP1;RPS5;RPS21;RPL4;RPL36A;RPL35A;RPL23;CASC3;RPL14;RPS15;RPLP0;RPL10A;RPS15A;RPL27;RPL8;UBA52;RBM8A;RPL36AL"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",1e-50,7.93571428571429e-49,NA,0.875913709110095,5.33720192723261,91,"RPL21;RPS12;RPS28;RPL38;RPS20;RPS27;RPS14;RPL37A;RPS17;RPL27A;RPL37;RPS6;RPL18;RPS29;FAU;RPS8;RPS24;RPS27A;RPSA;RPL29;RPL28;RPL39;RPS3;RPS11;RPL7;RPL12;RPS23;RPL7A;RPL19;RPS25;RPL32;RPL5;RPS10;RPL34;RPS7;RPL18A;RPS3A;RPS2;RPL30;RPS4X;RPS19;RPL9;RPS13;RPL22;RPL31;RPLP2;RPL26;RPS9;RPL35;PABPC1;RPL15;RPS16;RPL41;RPL6;RPL36;RPLP1;RPS5;RPS21;RPL4;RPL36A;RPL35A;RPL23;RPL14;RPS15;RPLP0;RPL10A;RPS15A;RPL27"
"Peptide Chain Elongation R-HSA-156902",1e-50,7.93571428571429e-49,NA,0.894338944015118,5.56898593558124,83,"RPL21;RPS12;RPS28;RPL38;RPS20;RPS27;RPS14;RPL37A;RPS17;RPL27A;RPL37;RPS6;RPL18;RPS29;FAU;RPS8;RPS24;RPS27A;RPSA;RPL29;RPL28;RPL39;RPS3;RPS11;RPL7;RPL12;RPS23;RPL7A;RPL19;RPS25;RPL32;RPL5;RPS10;RPL34;RPS7;RPL18A;RPS3A;RPS2;RPL30;RPS4X;RPS19;RPL9;RPS13;RPL22;RPL31;RPLP2;RPL26;RPS9;RPL35;RPL15;RPS16;RPL41;RPL6;RPL36;RPLP1;RPS5;RPS21;RPL4;RPL36A;RPL35A;RPL23;RPL14;RPS15;RPLP0;RPL10A;RPS15A;RPL27"
"Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012",1e-50,7.93571428571429e-49,NA,0.836204462969396,5.21304277833168,97,"RPL21;RPS12;RPS28;RPL38;RPS20;RPS27;RPS14;RPL37A;RPS17;RPL27A;RPL37;RPS6;RPL18;RPS29;FAU;RPS8;RPS24;RPS27A;RPSA;RPL29;RPL28;RPL39;RPS3;RPS11;RPL7;RPL12;RPS23;RPL7A;RPL19;RPS25;RPL32;RPL5;RPS10;RPL34;RPS7;RPL18A;RPS3A;RPS2;RPL30;RPS4X;RPS19;RPL9;RPS13;RPL22;RPL31;RPLP2;RPL26;RPS9;RPL35;RPL15;RPS16;RPL41;RPL6;RPL36;RPLP1;RPS5;RPS21;RPL4;RPL36A;RPL35A;RPL23;RPL14;RPS15;RPLP0;ATF4;RPL10A;RPS15A;RPL27"
