"gene","statistic","p.value","p_adj"
"CAMK2A",0.51944083594676,1.60415942151788e-14,3.32880903958533e-11
"PSD",0.513030394485341,3.79151892643343e-14,7.08104074700707e-11
"TESPA1",0.497062026794735,2.99268338562501e-13,3.49320968187079e-10
"RASD1",0.49401601735578,4.38507851289929e-13,4.81739566511218e-10
"NEFL",0.488909008997188,8.25083627501698e-13,7.92268225806099e-10
"NCS1",0.482628036058733,1.76986869872217e-12,1.3772528257223e-09
"SAMD14",0.481522304889624,2.02112782549029e-12,1.44115945127117e-09
"ENC1",0.477961920508076,3.08911111101029e-12,1.86103997126543e-09
"FBXL16",0.477064388720492,3.43513280629812e-12,1.97974699229847e-09
"PLEKHG5",0.476910426152642,3.49816078099429e-12,1.97974699229847e-09
"AMPH",0.47542153813854,4.16866445241789e-12,2.22439935181019e-09
"CACNB1",0.473678961802412,5.11287012698627e-12,2.50970014037758e-09
"PTK2B",0.47221631740783,6.06321709356018e-12,2.76186932778853e-09
"GP1BB",0.471677448420353,6.45493762927334e-12,2.82354105988952e-09
"CADPS",0.471616213308139,6.50097802394781e-12,2.82354105988952e-09
"SOBP",0.468631438981398,9.17678346997531e-12,3.80856906856131e-09
"AVL9",0.46625551662752,1.20457053503989e-11,4.75364397307749e-09
"KCNAB2",0.46478237478513,1.42438703444349e-11,5.21604946181698e-09
"FXYD7",0.464007313221973,1.55520847916392e-11,5.58559106862797e-09
"FUT9",0.460838833558591,2.22227259314008e-11,7.54602962717894e-09
"SLC25A4",0.458207473308052,2.98074182553118e-11,9.76637444449481e-09
"CAMK2B",0.454916523420243,4.28838915672882e-11,1.35745687950962e-08
"BSCL2",0.452276415296531,5.72544831093779e-11,1.7821412109179e-08
"SLC17A7",0.451856517384211,5.99340011024486e-11,1.80536678159569e-08
"KLHDC7A",0.449835758681171,7.46259805971297e-11,2.08017136362984e-08
"SYBU",0.449652053344531,7.61228777368287e-11,2.08114176752317e-08
"ITPKA",0.448980216684818,8.18492740740959e-11,2.18373863229688e-08
"DIRAS2",0.448695036019368,8.44043861924258e-11,2.22019199511232e-08
"SLC8A2",0.446075922791271,1.11788576515223e-10,2.82130196621393e-08
"CNKSR2",0.445927208947325,1.1357830011149e-10,2.82825111050959e-08
"RIBC1",0.443684254265682,1.44188091729515e-10,3.45238051428258e-08
"NCDN",0.44148678852454,1.81857743351351e-10,4.24546901853728e-08
"FAM171B",0.439721467718161,2.18872309696156e-10,4.91460282597373e-08
"MICAL2",0.439626990687889,2.21046603866884e-10,4.91460282597373e-08
"KCTD16",0.436726195943611,2.98989206827648e-10,6.34881872395643e-08
"ARHGAP32",0.436720947219707,2.99151878190279e-10,6.34881872395643e-08
"SEPTIN3",0.434016104834512,3.95448345597786e-10,8.29819472178006e-08
"INTS4",0.432541213417488,4.59968364435087e-10,9.33735779803226e-08
"PTPRN",0.431248277762469,5.24818978522152e-10,1.05392680030965e-07
"CEP170B",0.430865120917477,5.4568045477151e-10,1.07275033403292e-07
"LMO3",0.43055894535641,5.62925391325508e-10,1.0951244383745e-07
"DMTN",0.430095308078223,5.9004735636827e-10,1.13605406469421e-07
"CACNG3",0.429353488433125,6.36092554362855e-10,1.21221066788578e-07
"KCNB1",0.42885311008761,6.6909523778725e-10,1.24451575525909e-07
"LRP1B",0.428734139012453,6.77182515338273e-10,1.24451575525909e-07
"SLC4A10",0.428697397945125,6.79699116708218e-10,1.24451575525909e-07
"ADORA2B",0.426305729419535,8.64507305622275e-10,1.50892882614968e-07
"DNM1",0.423763597475364,1.114040819353e-09,1.83365649230655e-07
"NSMF",0.423716358960228,1.11928057465703e-09,1.83365649230655e-07
"SEMA3E",0.422958793143417,1.2066388108104e-09,1.95958142875608e-07
