"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Respiratory Electron Transport R-HSA-611105",5.60316868166553e-28,5.97297781465545e-25,1.37274298193398,-0.649556069784246,-4.19932651053371,89,"COX8A;UQCRC1;COX6C;NDUFS5;NDUFB8;NDUFA13;ACAD9;COX5B;NDUFA1;COX6B1;NDUFV2;TMEM126B;NDUFB2;COX6A1;NDUFV1;NDUFS4;COX4I1;COX7C;UQCRB;CYCS;NDUFB6;UQCRQ;NDUFAB1;NDUFA10;NDUFB4;COX7B;SDHA;COX14;NDUFB10;NDUFB3;SDHB;UQCR11;COA1;NDUFS2;NDUFA12;UQCRC2;NDUFS3;NDUFS8;NDUFAF3;NDUFA5;ETFB;COX16;NDUFA2;NDUFB1;NDUFA8;NDUFC1;NDUFAF4;UQCRFS1;COX5A;TRAP1"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",1.7186802136241e-16,9.16056553861643e-14,1.04762648849882,0.42175879459314,1.94066025472914,373,"OR5H15;OR1J1;OR10X1;OR4C6;OR10Z1;OR4C45;OR5H2;OR8I2;OR2L5;OR51L1;OR6C6;OR2T1;OR2AP1;OR1L8;OR51I2;OR52N1;OR6C65;OR52W1;OR2K2;OR8J3;OR13C5;OR8G1;OR2A14;OR2L13;OR3A1;OR51M1;OR2AE1;OR1D2;OR52I2;OR52A5;OR4K15;OR2M5;OR2G6;OR3A2;OR5J2;OR5K4;OR2T35;OR6C3;OR4F17;OR2D3;OR4D11;OR11A1;OR4C11;OR2L2;OR52E8;OR7G2;OR6K3;RTP1;OR2T27;OR2A1;OR52H1;OR5AL1;OR52R1;OR52L1;OR10G4;OR9A4;OR5M10;OR2F2;OR2D2;OR6S1;OR52K1;OR5B2;OR13D1;OR2S2;OR9G4;OR9G9;OR2A5;OR56A1;OR1I1;OR8J1;OR6B3;OR8H2;OR10Q1;OR2T34;OR1N1;OR7G1;OR5L1;OR2T10;OR2A2;OR2W1;OR2V2;OR13C2;OR1S2;OR6X1;OR8H3;OR5B3;OR8D1;OR4X1;OR4F21;OR51F1;OR5A2;OR10G6;OR2AG2;OR52I1;OR6T1;OR8B4;OR2T5;OR6N2;OR10A2;OR6P1;OR52E5;OR2T6;OR5B12;OR5K3;OR52B6;OR5AU1;OR4D5;OR5P2;OR4C15;OR4C3;OR1K1;OR4E2;OR51F2;OR5V1;OR5M8;OR14K1;OR9Q2;OR10J4;OR2A7;OR6J1;OR10H2;OR5D16;OR5H14;OR1A2;OR5T1;OR4C5;OR9A2;OR51I1;OR51G2;OR10H3;OR51E2;OR1C1;OR2W3;OR56B1;OR1L1;OR5AS1;OR51D1;OR4C46;OR10AC1;OR6M1;OR5D18;OR4K13;OR10G2;OR51S1;OR1G1;OR6C1;OR8K3;OR52N2;OR4L1;OR56A3;OR4D2;OR9Q1;OR5H1;OR6Y1;LHX2;OR5W2;OR13C9;OR10W1;OR4D6;OR10H1;OR5D14;OR10K2;OR10A4;OR8D2;OR2C3;OR6C75;OR5AP2;OR51B4;OR2J1;OR2H1;OR6K2;OR52N5;OR10V1;OR4K14;OR1Q1;OR52E2;OR2G2;OR14A2;OR13G1;OR52E6;OR2L8;OR11H4;OR51A2;OR8U3;OR5T2;OR2G3;OR6F1;OR11H1;OR5A1;OR10H5;OR52B2;OR2B2;OR1E1;OR2A12;OR6C68;OR51Q1;OR10J5;OR12D3;OR51B6;OR13C4;OR5P3;OR52D1;OR1F1;OR2M4;RTP2;OR52J3;OR5T3;OR6Q1;OR7G3;OR13F1;OR8U9;OR6N1;OR4S1;OR2T3;OR4K17;OR5C1;OR51V1;OR10G7;OR2AJ1;OR4F6;OR13J1;OR7D2;OR6B2;OR52E4;OR5AN1;OR51E1;OR51B2;OR6C74;OR2A4;OR5K1;OR52A1;OR4N5;OR51B5;OR9I1;OR10H4;OR14J1;OR2B11;OR2AG1;OR6K6;OR5M3"
"Olfactory Signaling Pathway R-HSA-381753",4.61714670084434e-16,1.64062612770002e-13,1.02766987054358,0.416067131357029,1.91593786266804,381,"OR5H15;OR1J1;OR10X1;OR4C6;OR10Z1;OR4C45;OR5H2;OR8I2;OR2L5;OR51L1;OR6C6;OR2T1;OR2AP1;OR1L8;OR51I2;GNG13;OR52N1;OR6C65;OR52W1;OR2K2;OR8J3;OR13C5;OR8G1;OR2A14;OR2L13;OR3A1;OR51M1;OR2AE1;OR1D2;OR52I2;OR52A5;OR4K15;OR2M5;OR2G6;OR3A2;OR5J2;OR5K4;OR2T35;OR6C3;OR4F17;OR2D3;OR4D11;OR11A1;OR4C11;OR2L2;OR52E8;OR7G2;OR6K3;RTP1;OR2T27;OR2A1;OR52H1;OR5AL1;OR52R1;OR52L1;OR10G4;OR9A4;OR5M10;OR2F2;OR2D2;OR6S1;OR52K1;OR5B2;CNGA4;OR13D1;OR2S2;OR9G4;OR9G9;OR2A5;OR56A1;OR1I1;OR8J1;OR6B3;OR8H2;OR10Q1;OR2T34;OR1N1;OR7G1;OR5L1;OR2T10;OR2A2;OR2W1;OR2V2;OR13C2;OR1S2;OR6X1;OR8H3;OR5B3;OR8D1;OR4X1;OR4F21;OR51F1;OR5A2;OR10G6;OR2AG2;OR52I1;OR6T1;OR8B4;OR2T5;OR6N2;OR10A2;OR6P1;OR52E5;OR2T6;OR5B12;OR5K3;OR52B6;OR5AU1;OR4D5;OR5P2;OR4C15;OR4C3;OR1K1;OR4E2;OR51F2;OR5V1;OR5M8;OR14K1;OR9Q2;OR10J4;OR2A7;OR6J1;OR10H2;OR5D16;OR5H14;OR1A2;OR5T1;OR4C5;OR9A2;OR51I1;OR51G2;OR10H3;OR51E2;OR1C1;OR2W3;OR56B1;OR1L1;OR5AS1;OR51D1;OR4C46;OR10AC1;OR6M1;OR5D18;OR4K13;OR10G2;OR51S1;OR1G1;OR6C1;OR8K3;OR52N2;OR4L1;OR56A3;OR4D2;OR9Q1;OR5H1;OR6Y1;LHX2;OR5W2;OR13C9;OR10W1;OR4D6;OR10H1;OR5D14;OR10K2;OR10A4;OR8D2;OR2C3;OR6C75;OR5AP2;OR51B4;OR2J1;OR2H1;OR6K2;OR52N5;OR10V1;OR4K14;OR1Q1;OR52E2;OR2G2;OR14A2;OR13G1;OR52E6;OR2L8;OR11H4;OR51A2;OR8U3;OR5T2;OR2G3;OR6F1;OR11H1;OR5A1;OR10H5;OR52B2;OR2B2;OR1E1;OR2A12;OR6C68;OR51Q1;OR10J5;OR12D3;OR51B6;OR13C4;OR5P3;OR52D1;OR1F1;OR2M4;RTP2;OR52J3;OR5T3;OR6Q1;OR7G3;OR13F1;OR8U9;OR6N1;OR4S1;OR2T3;OR4K17;OR5C1;OR51V1;OR10G7;OR2AJ1;OR4F6;OR13J1;OR7D2;OR6B2;OR52E4;OR5AN1;OR51E1;OR51B2;OR6C74;OR2A4;OR5K1;OR52A1;OR4N5;OR51B5;OR9I1;OR10H4;OR14J1;OR2B11;OR2AG1;OR6K6;OR5M3;GNAL;OR4D1;OR2B6;OR10A5"
"Complex I Biogenesis R-HSA-6799198",2.79156337687841e-14,7.43951639938097e-12,0.97599468306432,-0.614085807192342,-3.6011411406205,51,"NDUFS5;NDUFB8;NDUFA13;ACAD9;NDUFA1;NDUFV2;TMEM126B;NDUFB2;NDUFV1;NDUFS4;NDUFB6;NDUFAB1;NDUFA10;NDUFB4;NDUFB10;NDUFB3;COA1;NDUFS2;NDUFA12;NDUFS3;NDUFS8;NDUFAF3;NDUFA5;NDUFA2;NDUFB1;NDUFA8;NDUFC1;NDUFAF4"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",9.24194512487396e-13,1.97038270062313e-10,0.910119734774459,-0.414212056915566,-2.84241491910421,107,"RSL24D1;EIF1AX;EIF4H;EIF4A1;RPL27;RPL23;EIF3K;EIF3G;EIF3C;EIF3A;RPL18;EIF3B;RPL8;RPLP1;RPLP2;EIF4G1;EIF4A2;FAU;EIF4E;RPL35A;RPL36;PABPC1;RPS4Y1;RPS15;EIF3H;RPL41;RPS3;RPS20;EIF3M;RPS17;RPS14;RPL35;EIF4B;RPLP0;RPS25;RPS12;RPS16;RPL9;RPS7;RPL15;RPL28"
"SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339",2.06583049501366e-12,3.67029217947427e-10,0.898671232061694,-0.408120687021015,-2.79247087285818,106,"SRP14;SPCS1;RSL24D1;RPL27;RPL23;RPN1;SSR4;SSR1;RPL18;DDOST;SEC61G;RPL8;RPLP1;RPLP2;SRPRA;FAU;RPL35A;RPL36;SPCS3;SEC11C;RPS4Y1;RPS15;RPL41;RPS3;RPS20;RPS17;RPS14;RPL35;RPLP0;RPS25;RPS12;RPS16;RPL9;RPS7;RPL15;RPL28;RPN2;SRP72;RPL27A;RPS29;RPS21;SSR2;RPL39L;SEC61B;SEC61A2;RPS13"
"Keratinization R-HSA-6805567",6.78407439207063e-12,1.0331176145639e-09,0.887074988399873,0.458438668460471,2.02959732292806,192,"KRTAP10-6;KRT23;KRTAP12-2;KRT80;KRTAP9-6;LIPM;KRTAP13-1;SPRR2A;KRTAP21-3;KRTAP1-4;KRTAP9-1;KRTAP5-2;KRT4;KLK13;SPRR2B;KRTAP1-1;KRT25;KRTAP4-4;KRTAP4-1;PERP;KRTAP12-3;SPINK9;KRTAP5-10;CDSN;KRTAP12-1;KRTAP21-1;KRT14;KRT3;KRT18;KRTAP20-1;CELA2A;KRT8;LCE5A;KRT2;KRT83;KRT76;KRTAP25-1;KRTAP22-1;KRTAP15-1;KRTAP26-1;LCE1F;KRTAP10-7;KRTAP9-3;KRTAP8-1;KRT1;LORICRIN;KRTAP1-5;KRTAP10-3;KRTAP13-3;KRT84;KRT72;KRT19;LCE3E;KRTAP4-3;LCE1A;KRT7;KRTAP9-2;KRTAP19-5;PI3;KRTAP3-2;KRT75;KRT6A;LIPN;DSPP;LCE3D;LCE3B;KRT5;PKP4;KRTAP5-4;KRT24;KRT16;KRTAP10-4;KRT20;DSC3;KRT40;KRTAP13-2;EVPL;KRTAP6-1;TCHH;LCE2A;SPRR1B;KRT15;KRTAP13-4;KRTAP10-11;KRTAP9-4;KRTAP3-1;RPTN;KRTAP10-2;KRTAP5-7;KRTAP19-8;KRT9;KRT32;FLG;CSTA;TGM1;KRTAP12-4;KRTAP20-2;KRT26;KRT81;KRTAP19-4;SPRR2E;KRT74;KRTAP4-2;KRTAP11-1;SPRR1A;KRT10;KLK8;CASP14;LCE2D;DSG4;DSG2;PPL;KLK12;KRTAP5-11;KRTAP19-2;KRTAP10-8;KRTAP1-3;JUP;KRT27;KRT36;KRTAP10-5;KRT77;KRT38;LCE4A;KRT34;KRT31;KRTAP19-3;KRTAP10-1"
"Negative Regulation Of NOTCH4 Signaling R-HSA-9604323",1.5558959773337e-11,2.07323138979715e-09,0.863415391606693,-0.552637183576288,-3.2568944168661,52,"PSMB7;RBX1;SKP1;FBXW7;PSMC5;PSMA1;PSMB6;PSMD8;SEM1;PSMD3;PSMD2;PSMD14;PSMB5;PSMA2;PSMD7;PSMB2;PSMB1;PSME1;PSMD4;YWHAZ;PSMC4"
"TP53 Regulates Metabolic Genes R-HSA-5628897",2.22563517227837e-11,2.63614121516527e-09,0.863415391606693,-0.441583935333191,-2.82257384166221,81,"COX8A;COX6C;YWHAE;PRDX1;COX5B;PRDX2;COX6B1;COX6A1;YWHAH;COX4I1;COX7C;CYCS;PRDX5;YWHAB;COX7B;COX14;YWHAG;RRAGA;YWHAQ;SESN3;COX16;LAMTOR1;LAMTOR5;COX5A;YWHAZ;LAMTOR2"
"GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114",5.01770135133188e-11,5.34886964051979e-09,0.851339057116899,-0.539555697544836,-3.13557748540356,50,"PSMB7;RBX1;SKP1;PSMC5;PSMA1;PSMB6;PSMD8;SEM1;PSMD3;PSMD2;PSMD14;PSMB5;PSMA2;GSK3B;PSMD7;PSMB2;PSMB1;PSME1;PSMD4;PSMC4"
