"gene","statistic","p.value","p_adj"
"FCF1",0.485170168002904,1.30198983411713e-12,6.07899053549287e-09
"SPATA46",0.449352876082003,7.86232266105063e-11,1.63151931130868e-07
"C4orf46",0.434526980627835,3.75215039618634e-10,4.19693142311538e-07
"SLC25A47",0.43100508688825,5.37968428183626e-10,5.28794650776705e-07
"XRCC2",0.428933590520805,6.63677514274637e-10,5.90230536028244e-07
"ZNF587",0.411024944560354,3.84754069060877e-09,2.76371807453113e-06
"SIRT6",0.392685903239775,2.09674186529562e-08,1.05834462368273e-05
"DTD2",0.392024564027871,2.22471089849368e-08,1.093386861586e-05
"GOLGA6L6",0.390792863485065,2.48336716824552e-08,1.15948413085383e-05
"APBA3",0.389314472918772,2.83215815704378e-08,1.26053918606637e-05
"EVX1",0.383635353654643,4.6641876151398e-08,2.02577599768258e-05
"C22orf15",0.379665568808583,6.5735531224731e-08,2.6120782577725e-05
"RPP25",0.37939438474021,6.72834398130466e-08,2.61788650405929e-05
"SLC36A1",0.376367620622236,8.71173030889241e-08,3.05759923444664e-05
"KRTAP10-6",0.376336128278812,8.73505805954157e-08,3.05759923444664e-05
"ORM2",0.372982193704156,1.15944512000089e-07,3.86674947520296e-05
"HOXB3",0.37088445371719,1.3818723269354e-07,4.12766614521856e-05
"FOXD4L5",0.370793475836187,1.39239112844704e-07,4.12766614521856e-05
"HIPK2",0.370571279857585,1.41840519793268e-07,4.1390836682173e-05
"PLA2G3",0.36946729826311,1.55472317497817e-07,4.46707846398342e-05
"PRSS22",0.366328561368517,2.01441425602361e-07,5.37445723507098e-05
"SP7",0.364729450152432,2.29617036736898e-07,5.95601080291432e-05
"PRAC1",0.362705192300122,2.70728385388053e-07,6.81745863177156e-05
"PABPC3",0.362566975903983,2.7377885916838e-07,6.81745863177156e-05
"NEU2",0.362337781626842,2.78909942754016e-07,6.84274071672566e-05
"GLIS2",0.362029856491141,2.85948808644728e-07,6.84274071672566e-05
"KRTAP5-8",0.361879393072559,2.89449837556933e-07,6.84274071672566e-05
"CCL3",0.361323028338735,3.02755531051202e-07,7.06782787239032e-05
"ZNF720",0.361097333210863,3.0831846791642e-07,7.08682362599217e-05
"OTOP1",0.36098361085961,3.11158458626771e-07,7.08682362599217e-05
"PSG5",0.360582958268271,3.21364919923244e-07,7.23109788492351e-05
"KLRC2",0.358231529959279,3.88041607721951e-07,8.42681984397112e-05
