"gene","statistic","p.value","p_adj"
"MYL9",0.576987844830226,2.9626648868237e-18,5.53307294263195e-14
"BCAM",0.470841151744982,7.11203584716815e-12,6.64121907408562e-08
"IGFBP4",0.460371697131135,2.34161917215167e-11,1.45773598863682e-07
"ACTA2",0.45559360880386,3.98043764623407e-11,1.60457433425264e-07
"MGP",0.454900777248531,4.29581905721954e-11,1.60457433425264e-07
"TAGLN",0.451769038652478,6.05073527217746e-11,1.8833921990531e-07
"FLNA",0.445227379093458,1.22380312246683e-10,3.2651067307415e-07
"VIM",0.433879638013008,4.01029478608695e-10,9.36203317811998e-07
"NR4A1",0.432240286580325,4.7433113690348e-10,9.61644434296126e-07
"TIMP3",0.431435482248378,5.14909206626754e-10,9.61644434296126e-07
"ICAM2",0.42086805145499,1.48331932713284e-09,2.36077100025369e-06
"C11orf96",0.420640606752483,1.51688006013302e-09,2.36077100025369e-06
"COL4A1",0.417447633044216,2.0729849885633e-09,2.97808212664679e-06
"LAMB2",0.416548351681997,2.26226942025096e-09,3.01786740661478e-06
"NOTCH3",0.415418126468002,2.5239429821748e-09,3.1424772756731e-06
"ENG",0.409961203182476,4.2571894285044e-09,4.96920436042177e-06
"IGFBP3",0.408404081757623,4.93362456698117e-09,5.42002190664355e-06
"TBX2",0.406253854531617,6.04039432760598e-09,6.26724469235385e-06
"TAGLN2",0.398709688706933,1.21500829802015e-08,1.19428920914865e-05
"BGN",0.395992599299295,1.55614870297096e-08,1.45313165883428e-05
"ADAMTS1",0.395444982438645,1.63528949084161e-08,1.45431745385513e-05
"IGFBP7",0.390589912827444,2.52867453158394e-08,2.1466147978119e-05
"FN1",0.389046787999668,2.90016079387629e-08,2.35493056462755e-05
"S100A4",0.387591141903625,3.29835093516619e-08,2.46338209524352e-05
"PDGFRB",0.387075017386398,3.45178095290331e-08,2.46338209524352e-05
"MYH9",0.386719853735561,3.56132558211475e-08,2.46338209524352e-05
"LAMA4",0.384595870129075,4.28963401782508e-08,2.76252430747935e-05
"EPAS1",0.381324165562248,5.69872807887892e-08,3.54764818670476e-05
"COL4A2",0.378306149317447,7.38547252707224e-08,4.43243575394559e-05
"GPR4",0.37789849842757,7.64716206012449e-08,4.43243575394559e-05
"TGM2",0.377618566486023,7.83199720926347e-08,4.43243575394559e-05
"HLA-E",0.372926207315846,1.16490732990916e-07,6.39876743923044e-05
"SIK1",0.372102157662918,1.24821808992399e-07,6.6604917278344e-05
"ADIRF",0.371022670113329,1.36603761503863e-07,7.08669958290596e-05
"IFITM3",0.370433063461446,1.43482174504894e-07,7.24235970554975e-05
"A2M",0.36607837219576,2.05619577364704e-07,0.000101056611233242
"SERPINH1",0.364783686966106,2.28602410841306e-07,0.000109471246791596
"FOSL2",0.360658189977562,3.1942429214515e-07,0.000145501660490313
"JAG1",0.358151049526084,3.90543227879013e-07,0.000169622914508569
"SPANXC",0.356942093453529,4.30030995279565e-07,0.000182528610632754
"CD151",0.35612154294987,4.5897912324345e-07,0.000190486535682104
"GPX3",0.354293237456643,5.30333386302853e-07,0.000202342291364133
"SRGN",0.354177765530755,5.35179311334081e-07,0.000202342291364133
"POPDC2",0.353992310619481,5.43050903423294e-07,0.000202342291364133
"VWF",0.353929325932633,5.45749373769588e-07,0.000202342291364133
"DCN",0.353771864215513,5.52551770163353e-07,0.000202342291364133
"S100A6",0.351763352534915,6.46754977276227e-07,0.0002322845376079
"TTR",0.350848325000984,6.94592031023562e-07,0.00024475850512068
"HVCN1",0.349207223993666,7.88980627296423e-07,0.000267945422890843
"LIMS2",0.349205474419032,7.89087505836172e-07,0.000267945422890843
"ANXA1",0.348482900094914,8.34431179663753e-07,0.000272304016068872
"IL32",0.348314940929986,8.45322125666197e-07,0.000272304016068872
"FOLR2",0.348309692206082,8.45664646176623e-07,0.000272304016068872
"IFITM1",0.342845770622017,1.28418811440594e-06,0.00039972495374409
"CFH",0.342593831874625,1.30891587401584e-06,0.000400742833821637
"AKNA",0.342110949275457,1.35758616957912e-06,0.000408939988759027
"RPH3AL",0.339502333495169,1.65182282642843e-06,0.000489673700101228
"TPM2",0.339194408359468,1.69032088604094e-06,0.00049325676355782
"IFI27",0.338403600624598,1.79314915553324e-06,0.000515213132749828
"HSPB1",0.337997699309355,1.84821730085833e-06,0.000522549711297813
"PRELID3A",0.337806995674177,1.8746428923192e-06,0.000522549711297813
"LPP",0.337591797994113,1.90489498722107e-06,0.00052317380560795
"MUSTN1",0.336402087242539,2.08071854877673e-06,0.000563181153868903
"FTCD",0.335784487396502,2.17798395438327e-06,0.000581086119029456
"MKNK2",0.33534884331247,2.24918213059361e-06,0.000591629936210793
"MMP21",0.33243230239648,2.78613820465527e-06,0.000722693293196415
"CAV1",0.331611751892821,2.95794576743709e-06,0.000756747878803494
"CASQ2",0.33030307006609,3.25298680481933e-06,0.00081003708755741
"CLDN5",0.329459775092181,3.45771813899737e-06,0.000849688736367301
"TGFB1I1",0.329169345702826,3.53102191364787e-06,0.000856433315055684
"FHOD1",0.328376788393322,3.73865683456995e-06,0.00088383740560036
"OR14K1",0.327890406644884,3.87177385116668e-06,0.000903865605554862
"IGHA1",0.326828414841642,4.17826040071935e-06,0.000952697752136338
"C1orf189",0.325876646240383,4.47240982458172e-06,0.0010063460949866
"S100A11",0.325614210045183,4.55691555203141e-06,0.00101315422440165
"FRZB",0.32237049867251,5.73491870621895e-06,0.00126006284420406
"APOM",0.322078319708521,5.85417154312787e-06,0.00127130822952856
"ALKBH4",0.321647924348393,6.03413366826963e-06,0.00129532736078855
"CALD1",0.32087461235987,6.37075048762419e-06,0.00135204700121442
"RAB13",0.319522191167272,7.00269574512083e-06,0.00146946455883007
"CEBPD",0.318454950640126,7.54290712126178e-06,0.00156523703774094
"TLN1",0.3182467512586,7.65280033642823e-06,0.00157059009981465
"FCF1",0.317609906091581,7.99844760528085e-06,0.00160953923996804
"MRAP",0.317011551566525,8.33665089991608e-06,0.00165223155516876
"SIX5",0.315081770744488,9.52217845575535e-06,0.00185246046708007
"LAMA5",0.314646126660456,9.81107829399741e-06,0.00188898657957418
"ID3",0.313760841895314,1.04239423601668e-05,0.00198650558692322
"BNIP1",0.313110000131218,1.0897451061568e-05,0.00205576561642266
"TGM1",0.311948282573799,1.1793680738695e-05,0.00216813722000944
"METTL16",0.311911541506471,1.18231331868262e-05,0.00216813722000944
"NLRP1",0.311888797036221,1.18414005376399e-05,0.00216813722000944
"FILIP1",0.311320185279954,1.23068642424569e-05,0.00223148540380705
"BAGE3",0.310699086284647,1.28350651561765e-05,0.0022842803440164
"ZNF578",0.310690338411474,1.28426556072886e-05,0.0022842803440164
"SPATA31A6",0.310389411574311,1.31063690396136e-05,0.0023091938507908
"TMEM35B",0.310247696028903,1.32323270099556e-05,0.00230959756297132
"ID1",0.309017745060732,1.43746716645297e-05,0.00246737120875421
"TMEM171",0.308879528664593,1.45087211423908e-05,0.00246737120875421
"GMEB1",0.308855034619708,1.45325997517115e-05,0.00246737120875421
"RAX2",0.308643336088913,1.47405339225805e-05,0.00248012803187489
"OR10G4",0.308260179243921,1.51240524740289e-05,0.00252193575004433
"TGFBR2",0.307677570890577,1.57253421074038e-05,0.00257025115847163
"PPP1R3B",0.307544603218342,1.58657067630258e-05,0.00257025115847163
"NDUFA4L2",0.307451875762705,1.59642929097617e-05,0.00257025115847163
"SLC2A1",0.307255923403622,1.61745345108699e-05,0.00258184279081202
"ETS1",0.307075717216252,1.63701900972695e-05,0.00259092940895428
"TEX30",0.30690250932742,1.6560354705159e-05,0.0025990015501979
"GBGT1",0.306491359288273,1.70201520981498e-05,0.00263743195093605
"ADAP2",0.306431873750694,1.70876668485362e-05,0.00263743195093605
"LIF",0.305952490300796,1.76410716768312e-05,0.00267857442793902
"RIPK1",0.30556058558263,1.81060309524107e-05,0.00272700188763889
"MMP13",0.305320893857681,1.83960856100915e-05,0.00274852235883254
"AEBP1",0.304334133763729,1.96370686579084e-05,0.00285513840801634
"OR10Z1",0.304269399502246,1.97211851913744e-05,0.00285513840801634
"FLAD1",0.303980719687526,2.01004600444907e-05,0.00288766301377622
"RAD51D",0.303798763925521,2.03430469623028e-05,0.00290020416082418
"HSPB6",0.303268642811216,2.10656758841005e-05,0.00298047396069289
"OR52E4",0.30256881295735,2.20568154950253e-05,0.00308692864451437
"SLIT3",0.302427097411942,2.22628101964926e-05,0.00308692864451437
"CNN2",0.302392105919248,2.23139519709488e-05,0.00308692864451437
"CFAP221",0.301669531595131,2.33951525809323e-05,0.00318925452263862
"PRDM6",0.300897969181243,2.46041513806833e-05,0.00332976182018581
"RNF152",0.300691519374352,2.49375088880227e-05,0.00335059651793318
"LHFPL6",0.300261124014224,2.56462272426355e-05,0.00342120671416758
"PPIP5K2",0.299958447602427,2.61559700283938e-05,0.00346446025709421
"MAPK12",0.299711757578939,2.65784792966234e-05,0.00349563154467422
"ZNF98",0.29925861774856,2.73714036427966e-05,0.00357474359743265
"PIK3C2A",0.298999680702629,2.7834466722735e-05,0.0036099756980125
"COL1A2",0.2987862325972,2.82217261424204e-05,0.00361006135230029
"RCSD1",0.298432818520997,2.88741183946984e-05,0.00364360158877964
"TFF2",0.298299850848762,2.91232343207801e-05,0.00365037264546906
"TMPRSS13",0.297806470801786,3.00654092687575e-05,0.0037433438900221
"CD93",0.297659506532474,3.03515650754967e-05,0.00375394588973494
"GLP2R",0.296810962834661,3.20546289671963e-05,0.00393171199018379
"ZNF789",0.29673573112537,3.22098915451981e-05,0.00393171199018379
"LAPTM5",0.296235352779855,3.32607422336535e-05,0.0040155332782984
"XAF1",0.296121630428602,3.35040361184776e-05,0.0040155332782984
"TMEM238",0.296104134682255,3.35416144471274e-05,0.0040155332782984
"USP28",0.295227597790287,3.54759501834045e-05,0.00422005634156218
"SEPTIN14",0.295001902662415,3.59907605621083e-05,0.00425419901429072
"HNMT",0.294473531122746,3.72236283132749e-05,0.00437225460615548
"PTPN14",0.293934662135268,3.85218811093007e-05,0.00446853820867888
"KLF2",0.293616239551759,3.93089469475456e-05,0.00448152608205531
"PLA2R1",0.293570750611258,3.94226130860223e-05,0.00448152608205531
"ST6GALNAC4",0.293502517200506,3.95936926289958e-05,0.00448152608205531
"RSPH10B2",0.292667970099769,4.17434773875146e-05,0.00468897985818157
"AFAP1L2",0.292597987114383,4.19286590445664e-05,0.00468897985818157
"CLIC1",0.291081105906127,4.61375960183816e-05,0.00508985465022291
"PLAUR",0.291014622070009,4.63308679876791e-05,0.00508985465022291
"PDILT",0.290766182471887,4.70598558756443e-05,0.00512388117549159
"COX8C",0.29072244310602,4.71893104617987e-05,0.00512388117549159
"CTSC",0.29058772585915,4.75901382407548e-05,0.00513753422996726
"SERPING1",0.290374277753721,4.82317781079141e-05,0.00515807004865917
"C9orf47",0.290271052850276,4.85449897293025e-05,0.00515807004865917
"RAMP2",0.289688444496932,5.03489436201801e-05,0.0052855707464666
"GIMAP4",0.289679696623758,5.03765042231235e-05,0.0052855707464666
"ZIC1",0.289203812323129,5.18973578099289e-05,0.005414720974627
"OVCA2",0.288979866769892,5.26278930548049e-05,0.0054268166749586
"PHKG1",0.288775166537636,5.33040937195865e-05,0.0054268166749586
"ARHGEF19",0.288740175044942,5.34204977123648e-05,0.0054268166749586
"TREML1",0.288608956947342,5.38591440448967e-05,0.0054268166749586
"GRN",0.288594960350265,5.39061322658371e-05,0.0054268166749586
"CALHM2",0.288594960350265,5.39061322658371e-05,0.0054268166749586
"GLMP",0.288552970559033,5.40473282042354e-05,0.0054268166749586
"GATA6",0.287986108377401,5.59878143056692e-05,0.00559159582873089
"PODXL",0.287800653466126,5.66367484415162e-05,0.00559654980896167
"KRTAP9-4",0.287524220673849,5.76171581336166e-05,0.0056634633963338
"PRKCH",0.287135815104953,5.90216630603483e-05,0.00574731331817713
"ZC3H3",0.287118319358606,5.90856798613199e-05,0.00574731331817713
"OR52E2",0.286320513325198,6.2075126354825e-05,0.0060068137813612
"IL25",0.286121061816846,6.28443756428312e-05,0.0060429753452549
"TRIM5",0.286056327555363,6.30959623219483e-05,0.0060429753452549
"KCNK2",0.285688916882083,6.45418970975527e-05,0.00611438986975601
"SLC25A47",0.285631180919139,6.47719243497294e-05,0.00611438986975601
"KIF2C",0.285426480686883,6.55936927101287e-05,0.00611438986975601
"TDG",0.285408984940536,6.56643814869679e-05,0.00611438986975601
"RNF183",0.285405485791267,6.56785278217312e-05,0.00611438986975601
"OR5B2",0.285373993447843,6.58059736464424e-05,0.00611438986975601
"GIMAP7",0.28517804108876,6.66042011925766e-05,0.00615792109639881
"PTAFR",0.284906857020387,6.77238936888393e-05,0.00622576329129098
"GATA5",0.284766891049614,6.83086890139089e-05,0.00622576329129098
"H1-6",0.284759892751075,6.83380528332968e-05,0.00622576329129098
"CDH5",0.284423974421219,6.97615303754332e-05,0.006324593889765
"SLC9A3",0.284126546733325,7.1045081992329e-05,0.0064098451753079
"LRRC32",0.283697900947832,7.29339362211582e-05,0.00651764568087462
"KCNB2",0.283678655626851,7.30198372905092e-05,0.00651764568087462
"LRFN3",0.283466957096056,7.39710349530577e-05,0.00651764568087462
"CEACAM1",0.283379478364323,7.43674758181922e-05,0.00651764568087462
"BCL9L",0.283328740699917,7.45983239067788e-05,0.00651764568087462
"SH2D7",0.283298997931128,7.47339610066048e-05,0.00651764568087462
"PNP",0.283290250057955,7.47738982786217e-05,0.00651764568087462
"ARPC1B",0.283164280684259,7.53512194400605e-05,0.00651764568087462
"TAPBPL",0.283111793445219,7.55930017794934e-05,0.00651764568087462
"TRIB2",0.283038311310563,7.59327198581977e-05,0.00651764568087462
"DNAJC5G",0.283006818967139,7.6078751254587e-05,0.00651764568087462
"PCBP3",0.281855598857528,8.16014452291728e-05,0.00689946901032452
"CSTA",0.28176637055116,8.20448292670224e-05,0.00689946901032452
"CRIP1",0.281573917341346,8.30088488568864e-05,0.00689946901032452
"ADGRF5",0.281405958176418,8.38588427747184e-05,0.00689946901032452
