"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Neuronal System R-HSA-112316",1.2181066266094e-34,1.42153043325317e-31,1.52970525162309,-0.580973750271813,-2.70762453371587,386,"SYT1;STXBP1;RAB3A;TSPAN7;NRGN;CAMK2A;NPTN;GRIA2;SNAP25;PRKAR1B;GABBR2;SYN2;SYN1;PRKCB;GABRB2;CALM1;KCNAB2;NEFL;VAMP2;GNB1;CAMK2G;ADCY1;SLC17A7;DLGAP1;PLCB1;EPB41L1;AP2M1;NSF;CAMK2B;RTN3;SLC1A2;CPLX1;MAPT;GABRB3;GABRA1;STX1A;NRXN1;GRIA1;GIT1;GABRA2;CAMKK2;NRXN2;CACNA1B;GNG2;KCNQ2;CACNA1E;CACNA2D1;AP2A1;HSPA8;PRKCG;SHANK1;GLUL;MAPK1;PRKAR2B;GLRB;APBA1;DLGAP4;KCNC1;GABRA4;DLGAP3;CAMKK1;GABRA3;SYT7;PTPRS;LRRC4B;AP2S1;GNG3;CAMK2D;HCN1;SLC1A3;CACNB3;ARHGEF9;KCNQ5;PRKAR1A;PRKACB;KCNC2;AP2B1;GRIN2B;TSPOAP1;PPFIA2;GRM5;RASGRF2;SYN3;HCN2;GRIA4;CACNB1;CACNB4;ADCY2;FLOT1;ARL6IP5;SIPA1L1;LRRTM4;GPRIN1;NLGN4X;ABAT;PRKCA;HOMER1;SHANK3;GABRA5;KCNB1;CACNA2D3;KCNA2;GNB2;KCNMA1;KCNN1;GRIK5;GABRG2;CACNG8;ARHGEF7;GRIA3;MAPK3;APBA2;KCNQ3;GABRB1;RASGRF1;CACNA1A;GNG7;KCND3;KCNV1;CACNG3;DNAJC5;GNB5;SLITRK2;SLITRK5;SLITRK4;NLGN2;GAD1;CHRNA4;KCND2;PICK1;SHANK2;CHRNB2;ALDH2;RIMS1"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",4.9421904190432e-33,2.88376810951171e-30,1.49547932629977,0.545309282230945,2.7594630269911,373,"OR2A14;OR4Q3;OR5V1;OR2M5;OR2A4;OR9Q1;OR9Q2;OR2A1;OR2B11;OR5D16;OR10T2;RTP2;OR7C1;OR5L1;OR9G4;OR4F21;OR2H2;OR6C74;OR7D4;OR10AD1;OR4F15;OR10G4;OR10J5;OR1K1;OR2F1;OR8G1;EBF1;OR2T8;OR4C15;OR7D2;OR1D5;OR5A1;OR5B17;OR4L1;OR4F17;OR2G2;OR6F1;OR6S1;OR4X1;OR2J3;OR2G6;OR4C46;OR2A2;OR2T34;OR4N2;OR4N5;OR14J1;OR56A1;OR2S2;OR14A2;OR13D1;OR6T1;OR10K2;OR4X2;OR1C1;OR10H3;OR7C2;OR5W2;OR10A4;OR4D11;OR2T27;OR4F6;OR1L8;OR6P1;OR10Z1;OR4D2;OR1E1;OR1A2;OR8K3;OR1F1;OR10A7;OR51Q1;OR2T11;OR4K5;OR51B2;OR5H15;OR13C9;OR14A16;OR5B3;OR4A47;OR8B2;OR2C3;OR2AJ1;OR52M1;OR11G2;OR5B21;OR1L3;OR52E4;OR2T5;OR52E2;OR2Z1;OR2J2;OR1I1;OR1M1;OR4D9;RTP1;OR10AC1;OR11H6;OR51S1;OR4A5;OR4E1;OR4K14;OR5D18;OR10A6;OR4C16;OR5AS1;OR14K1;OR11A1;OR7G2;OR4K2;OR10X1;OR2AP1;OR11H1;OR5F1;OR6N2;OR52D1;OR3A2;OR10D3;OR1A1;OR1J1;OR5M11;OR4S1;OR5I1;OR4C13;OR6Q1;OR13F1;OR11L1;OR7E24;OR1N1;OR4C5;OR51F2;OR9A2;OR4N4;OR8B4;OR5K3;OR11H4;OR4D10;OR1L4;OR4C3;OR2L5;OR2T12;OR5H14;OR13G1;OR2T35;OR10G9;OR6V1;OR10K1;OR52J3;OR8H1;OR6C3;OR4D5;OR5M8;OR8B8;OR4K15;OR1B1;OR5AC2;OR5AK2;OR52H1;OR10A3;OR5T2;OR51D1;OR6C76;OR52E5;OR2L13;OR52E6;OR2T1;OR2J1;OR2AT4;OR10S1;OR9G9;OR13C5;OR10H2;OR13C8;OR1L1;OR51E2;OR12D2;OR10G7;OR8A1;OR52A1;OR51A7;OR10C1;OR7G1;OR6J1;OR6X1;OR14C36;OR10H5;OR2A25;OR5H2;OR5AP2;OR6Y1;OR56B1;OR5A2;OR4C11;OR52W1;OR52K1;OR5B12;OR8I2;OR51G2;OR1S2;OR2C1;OR2A7;OR2V1;OR5D13;OR8D4;OR10G3;OR3A1;OR6B1;OR51B6;OR1S1;OR5AU1;OR56A5;OR7A17;OR5P3;OR52N5;OR51E1;OR52N4;OR51I1;OR56B4;OR5AN1;OR5D14;OR8B12;OR6K6;OR4D6;OR5T1;OR4K1"
"Olfactory Signaling Pathway R-HSA-381753",3.34291309285129e-32,1.30039319311915e-29,1.47456250139425,0.535232962554578,2.70788558011225,381,"OR2A14;OR4Q3;OR5V1;OR2M5;OR2A4;OR9Q1;OR9Q2;OR2A1;OR2B11;ANO2;OR5D16;OR10T2;RTP2;OR7C1;OR5L1;OR9G4;OR4F21;OR2H2;OR6C74;OR7D4;OR10AD1;OR4F15;OR10G4;OR10J5;OR1K1;OR2F1;OR8G1;EBF1;OR2T8;OR4C15;OR7D2;OR1D5;OR5A1;OR5B17;OR4L1;OR4F17;OR2G2;OR6F1;OR6S1;OR4X1;OR2J3;OR2G6;OR4C46;OR2A2;OR2T34;OR4N2;OR4N5;OR14J1;OR56A1;OR2S2;OR14A2;OR13D1;OR6T1;OR10K2;OR4X2;OR1C1;OR10H3;OR7C2;OR5W2;OR10A4;OR4D11;OR2T27;OR4F6;OR1L8;OR6P1;OR10Z1;OR4D2;OR1E1;OR1A2;OR8K3;OR1F1;OR10A7;OR51Q1;OR2T11;OR4K5;OR51B2;OR5H15;OR13C9;OR14A16;OR5B3;OR4A47;OR8B2;OR2C3;OR2AJ1;OR52M1;OR11G2;OR5B21;OR1L3;OR52E4;OR2T5;OR52E2;OR2Z1;OR2J2;OR1I1;OR1M1;OR4D9;RTP1;OR10AC1;OR11H6;OR51S1;OR4A5;OR4E1;OR4K14;OR5D18;OR10A6;OR4C16;OR5AS1;OR14K1;OR11A1;OR7G2;OR4K2;OR10X1;OR2AP1;OR11H1;OR5F1;OR6N2;OR52D1;OR3A2;OR10D3;OR1A1;OR1J1;OR5M11;OR4S1;OR5I1;OR4C13;OR6Q1;OR13F1;OR11L1;OR7E24;OR1N1;OR4C5;OR51F2;CNGA4;OR9A2;OR4N4;OR8B4;OR5K3;OR11H4;OR4D10;OR1L4;OR4C3;OR2L5;OR2T12;OR5H14;OR13G1;OR2T35;OR10G9;OR6V1;OR10K1;OR52J3;OR8H1;OR6C3;OR4D5;OR5M8;OR8B8;OR4K15;OR1B1;OR5AC2;OR5AK2;OR52H1;OR10A3;OR5T2;OR51D1;OR6C76;OR52E5;OR2L13;OR52E6;OR2T1;OR2J1;OR2AT4;OR10S1;OR9G9;OR13C5;OR10H2;OR13C8;OR1L1;OR51E2;OR12D2;OR10G7;OR8A1;OR52A1;OR51A7;OR10C1;OR7G1;OR6J1;OR6X1;OR14C36;OR10H5;OR2A25;OR5H2;OR5AP2;OR6Y1;OR56B1;OR5A2;OR4C11;OR52W1;OR52K1;OR5B12;OR8I2;OR51G2;OR1S2;OR2C1;OR2A7;OR2V1;OR5D13;OR8D4;OR10G3;OR3A1;OR6B1;OR51B6;OR1S1"
"Transmission Across Chemical Synapses R-HSA-112315",8.87615690641584e-31,2.58961877744682e-28,1.43902565267782,-0.639261560710803,-2.84430318469215,246,"SYT1;STXBP1;RAB3A;TSPAN7;NRGN;CAMK2A;NPTN;GRIA2;SNAP25;PRKAR1B;GABBR2;SYN2;SYN1;PRKCB;GABRB2;CALM1;NEFL;VAMP2;GNB1;CAMK2G;ADCY1;SLC17A7;PLCB1;EPB41L1;AP2M1;NSF;CAMK2B;SLC1A2;CPLX1;MAPT;GABRB3;GABRA1;STX1A;GRIA1;GIT1;GABRA2;CAMKK2;CACNA1B;GNG2;CACNA1E;CACNA2D1;AP2A1;HSPA8;PRKCG;GLUL;MAPK1;PRKAR2B;GLRB;APBA1;GABRA4;CAMKK1;GABRA3;AP2S1;GNG3;CAMK2D;SLC1A3;CACNB3;ARHGEF9;PRKAR1A;PRKACB;AP2B1;GRIN2B;TSPOAP1;PPFIA2;RASGRF2;SYN3;GRIA4;CACNB1;CACNB4;ADCY2;ARL6IP5;GPRIN1;ABAT;PRKCA;GABRA5;CACNA2D3;GNB2;GRIK5;GABRG2;CACNG8;ARHGEF7;GRIA3;MAPK3;GABRB1;RASGRF1;CACNA1A;GNG7;CACNG3;DNAJC5;GNB5;GAD1;CHRNA4;PICK1;CHRNB2;ALDH2;RIMS1"
"Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314",9.18565394131696e-21,2.14393162990338e-18,1.1778932614942,-0.616632689536509,-2.67152246978409,182,"TSPAN7;NRGN;CAMK2A;NPTN;GRIA2;PRKAR1B;GABBR2;PRKCB;GABRB2;CALM1;NEFL;GNB1;CAMK2G;ADCY1;PLCB1;EPB41L1;AP2M1;NSF;CAMK2B;MAPT;GABRB3;GABRA1;GRIA1;GIT1;GABRA2;CAMKK2;GNG2;AP2A1;PRKCG;MAPK1;PRKAR2B;GLRB;APBA1;GABRA4;CAMKK1;GABRA3;AP2S1;GNG3;CAMK2D;ARHGEF9;PRKAR1A;PRKACB;AP2B1;GRIN2B;RASGRF2;GRIA4;ADCY2;GPRIN1;PRKCA;GABRA5;GNB2;GRIK5;GABRG2;CACNG8;ARHGEF7;GRIA3;MAPK3;GABRB1;RASGRF1;GNG7;CACNG3;GNB5"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",9.95186093239422e-19,1.93563695135068e-16,1.11466447751729,-0.683467362081597,-2.76268510456495,111,"ATP5F1B;COX6C;NDUFS5;NDUFB8;COX6B1;CYCS;COX5A;COX4I1;COX6A1;ATP5MF;NDUFAB1;ATP5F1A;NDUFA1;ATP5MC3;COX8A;COX7C;UQCRC2;UQCR11;ATP5F1D;COX5B;ATP5PO;NDUFA5;COA1;NDUFA8;ATP5PD;NDUFB9;COX7B;NDUFA13;UQCRQ;NDUFB3;NDUFB2;ATP5PF;NDUFB10;ATP5PB;SDHB;UQCRFS1;COX7A2L;NDUFS8;NDUFAF4;NDUFA11;CCNI;NDUFB4;NDUFS2;NDUFA2;TRAP1;NDUFS4;UQCRC1;NDUFS3;NDUFA9;ATP5ME;NDUFB6;NDUFB5;SDHA;UQCRB;NDUFC1;NDUFV1;SLC25A27;NDUFV2;ATP5MC2"
"Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517",4.78217905174227e-18,7.97257564769033e-16,1.0959292864312,-0.617676193519449,-2.62863065589868,159,"ATP5F1B;BSG;COX6C;NDUFS5;LDHB;NDUFB8;COX6B1;CYCS;COX5A;COX4I1;COX6A1;ACO2;ATP5MF;NDUFAB1;ATP5F1A;NDUFA1;ATP5MC3;COX8A;COX7C;MDH2;UQCRC2;UQCR11;ATP5F1D;COX5B;ATP5PO;NDUFA5;COA1;NDUFA8;PDHB;ATP5PD;NDUFB9;COX7B;NDUFA13;UQCRQ;NDUFB3;NDUFB2;ATP5PF;NDUFB10;ATP5PB;SDHB;VDAC1;PDK2;UQCRFS1;COX7A2L;NDUFS8;NDUFAF4;NDUFA11;CCNI;NDUFB4;NDUFS2;NDUFA2;TRAP1;NDUFS4;UQCRC1;NDUFS3;NDUFA9;ATP5ME;SUCLG1;NDUFB6;NDUFB5;IDH3G;SDHA;UQCRB;NDUFC1;CS;NNT;NDUFV1;PDK3;SLC25A27;NDUFV2;ATP5MC2;PDHA1;LDHA;IDH3A;NDUFB1"
"Respiratory Electron Transport R-HSA-611105",5.44034549288963e-15,7.93610398775275e-13,0.996986217533181,-0.689788972006002,-2.68391368131742,89,"COX6C;NDUFS5;NDUFB8;COX6B1;CYCS;COX5A;COX4I1;COX6A1;NDUFAB1;NDUFA1;COX8A;COX7C;UQCRC2;UQCR11;COX5B;NDUFA5;COA1;NDUFA8;NDUFB9;COX7B;NDUFA13;UQCRQ;NDUFB3;NDUFB2;NDUFB10;SDHB;UQCRFS1;COX7A2L;NDUFS8;NDUFAF4;NDUFA11;CCNI;NDUFB4;NDUFS2;NDUFA2;TRAP1;NDUFS4;UQCRC1;NDUFS3;NDUFA9;NDUFB6;NDUFB5;SDHA;UQCRB;NDUFC1;NDUFV1"
"Opioid Signaling R-HSA-111885",7.93505151917132e-15,1.02891168031921e-12,0.986546283587582,-0.680124385750294,-2.62801206689945,88,"CAMK2A;PPP3R1;PRKAR1B;CALM1;GNB1;CAMK2G;ADCY1;PLCB1;CAMK2B;PPP3CB;CAMKK2;GRK2;GNG2;PRKCG;ITPR1;MAPK1;PPP2R1A;PRKAR2B;PDE1B;CAMKK1;PPP3CA;PPP2CA;GNG3;CAMK2D;AHCYL1;PRKAR1A;PRKACB;GNAQ;ADCY2;PRKCA;GNB2;PPP1R1B;GNG7;PDE4A;GNB5;PPP2R5D"
"Post NMDA Receptor Activation Events R-HSA-438064",3.28591153165724e-14,3.834658757444e-12,0.965327754226083,-0.739837794261843,-2.6891511831793,61,"NRGN;CAMK2A;GRIA2;PRKAR1B;CALM1;NEFL;CAMK2G;ADCY1;CAMK2B;MAPT;GRIA1;GIT1;CAMKK2;MAPK1;PRKAR2B;CAMKK1;CAMK2D;PRKAR1A;PRKACB;GRIN2B;RASGRF2;GPRIN1;PRKCA;ARHGEF7;MAPK3;RASGRF1"
