"gene","statistic","p.value","p_adj"
"ZNF672",0.431047076679482,5.3567546579771e-10,3.70528703675483e-07
"ROM1",0.427780620836559,7.45507048500758e-10,4.97253201350006e-07
"SERTAD4",0.426730876055759,8.2843926606211e-10,5.02610082694031e-07
"HTR6",0.426660893070372,8.34274607170431e-10,5.02610082694031e-07
"POTEG",0.424687372882468,1.01621656670886e-09,5.90656283078705e-07
"FAM161B",0.424419687963364,1.04367409196815e-09,5.90656283078705e-07
"TRIM60",0.420077243720121,1.603198726037e-09,8.31703872429641e-07
"FMO3",0.417582350291085,2.0459813759333e-09,9.66394772702584e-07
"ICA1",0.416154697389197,2.35028595922164e-09,1.07058391644935e-06
"MAP3K21",0.415544095841698,2.4933900223022e-09,1.09621300314178e-06
"LHX9",0.412806011538445,3.24540007834378e-09,1.31763243180758e-06
"LHX3",0.411052937754508,3.83729189092911e-09,1.47332285232124e-06
"CBLL1",0.409718012308258,4.35659155486865e-09,1.62727407757454e-06
"PAEP",0.409401339299383,4.48939169236748e-09,1.64399763228735e-06
"ABCC10",0.408631526460129,4.82871902833023e-09,1.67583146534528e-06
"PDLIM2",0.408594785392801,4.84551826561605e-09,1.67583146534528e-06
"DENND2C",0.407772485314508,5.23660400151708e-09,1.77816029695151e-06
"RBBP8",0.405727232566582,6.3459746990603e-09,2.04672559416178e-06
"SGO2",0.405548775953846,6.45287016205515e-09,2.04672559416178e-06
"ASB14",0.40542280658015,6.52936948845399e-09,2.04672559416178e-06
"CYP21A2",0.405347574870859,6.57547310182624e-09,2.04672559416178e-06
"ENKD1",0.404836699077537,6.89696006916962e-09,2.11160043035757e-06
"IRF8",0.40324108701072,8.0016803978491e-09,2.33499036109734e-06
"IL2RG",0.401832679429814,9.11701881400315e-09,2.61952989800497e-06
"CACNA1G",0.40156149536144,9.34834115314542e-09,2.64529726327491e-06
"B9D1",0.399782177957984,1.10126328846116e-08,2.8967877711691e-06
"MINAR1",0.399589724748171,1.12088870793285e-08,2.89918980404278e-06
"SLFN12",0.399322039829066,1.14874729866763e-08,2.89918980404278e-06
"NOL11",0.39877967169232,1.20725313530193e-08,3.00622127398652e-06
"MED18",0.398219807809226,1.27065466132737e-08,3.1224666388092e-06
"OR5B2",0.397666942224672,1.33640616332082e-08,3.24139240339996e-06
"CTRB2",0.397026597908383,1.41666198190218e-08,3.320383117746e-06
"NEK5",0.396995105564959,1.42072650179556e-08,3.320383117746e-06
"ZBED4",0.396982858542517,1.42231018108631e-08,3.320383117746e-06
"PKDREJ",0.396018842918815,1.55245018750853e-08,3.57945181505054e-06
"BHLHA9",0.39470491236818,1.74842625555771e-08,3.88976706831226e-06
"MTMR8",0.394666421726218,1.75451216206306e-08,3.88976706831226e-06
"ZNF710",0.394489714688116,1.78271485653897e-08,3.88976706831226e-06
"CD8B",0.394437227449076,1.79117566863811e-08,3.88976706831226e-06
"THEGL",0.39389485931233,1.88089966094297e-08,4.0376646054909e-06
"WFDC6",0.393662165885919,1.92070726899611e-08,4.07626465406494e-06
"ECSIT",0.39089958753778,2.4598563130981e-08,5.04838203334288e-06
"CHST8",0.390553171760116,2.53696134737062e-08,5.09174721964736e-06
