"gene","statistic","p.value","p_adj"
"IL32",0.495130496398063,3.81471465935006e-13,2.86163407298912e-10
"ICAM2",0.480159386249218,2.37887894671495e-12,1.13917803099611e-09
"POPDC2",0.471294291575361,6.74831853160813e-12,2.6256582686732e-09
"SERPINH1",0.462359213916117,1.87333641990852e-11,6.47896869966881e-09
"CCDC188",0.445398837407655,1.20164560814216e-10,3.50655209025983e-08
"GATA6",0.444277360066834,1.35393802779542e-10,3.77405173240406e-08
"CEACAM1",0.440795706543847,1.95562081950672e-10,5.14410907395882e-08
"MGP",0.4406469926999,1.98639330273643e-10,5.15248351693133e-08
"VWA1",0.43943628705271,2.25499395254878e-10,5.54135092865803e-08
"PRKCH",0.438619235698321,2.45580643219525e-10,5.95644687372447e-08
"DEFB119",0.432917371963941,4.42606154389488e-10,9.61175876671869e-08
"LDHAL6B",0.432726668328763,4.5132755609988e-10,9.68849820427742e-08
"ROPN1B",0.431491468636688,5.11980889400006e-10,1.08656307845847e-07
"GOLGA6L6",0.430613182170085,5.59832606006738e-10,1.16171486108687e-07
"ALG1L2",0.430333250228538,5.75973899097372e-10,1.16922701516766e-07
"SLC25A47",0.427316983558372,7.81094147261339e-10,1.48385836872849e-07
"TNNI1",0.427149024393444,7.94387247637061e-10,1.48385836872849e-07
"ANXA1",0.42714727481881,7.94526862673209e-10,1.48385836872849e-07
"ACTA2",0.426809606914319,8.21921704295116e-10,1.51982274746689e-07
"COL1A2",0.425082776749903,9.76932718933826e-10,1.77137819988428e-07
"OR9Q2",0.424559653934137,1.02922891648832e-09,1.83065516612722e-07
"ETS1",0.42406977303643,1.08065011592201e-09,1.90398316650562e-07
"SPANXC",0.422395430111054,1.2758405090707e-09,2.20625901364856e-07
"OSR1",0.421744588346958,1.36056945842763e-09,2.33119222069674e-07
"PIGH",0.42084180783547,1.48715477280032e-09,2.43632478393148e-07
"FCF1",0.420547879296846,1.5307721253298e-09,2.46454312178098e-07
"C22orf15",0.418667086564579,1.8405952444119e-09,2.86457973205305e-07
"TAGLN",0.418238440779086,1.91925576915593e-09,2.91414802802896e-07
"TREML1",0.417972505434616,1.96968001395347e-09,2.9369802225596e-07
"OR10Z1",0.416774046809869,2.21325207465895e-09,3.13141634441898e-07
"BCAM",0.416229929098488,2.3332132226272e-09,3.27632256735231e-07
"GH1",0.41535339220652,2.53978417967452e-09,3.53977681638816e-07
"C1orf116",0.411152663508684,3.80099432172133e-09,5.14401231539621e-07
"KCNK6",0.410580552603148,4.01382397613726e-09,5.3544411841671e-07
"CCL5",0.409137153529548,4.60316273227579e-09,6.09706859489238e-07
"S100A11",0.408808233498231,4.74870493504836e-09,6.24555023711008e-07
"NUBP1",0.406694747339553,5.7955241628107e-09,7.36307546018045e-07
"MYO5B",0.404450043083275,7.15030439106444e-09,8.90260565383463e-07
"STAB1",0.404338070306657,7.22533184449226e-09,8.93644354488327e-07
"CAV1",0.403676731094753,7.684193398722e-09,9.44144709964027e-07
"PROCR",0.403232339137547,8.00818343609862e-09,9.74834149539612e-07
"SLC52A2",0.403143110831179,8.07480624595426e-09,9.74834149539612e-07
"ULBP1",0.403122115935563,8.09055971185692e-09,9.74834149539612e-07
"ACSM2B",0.401946401781067,9.02166413538017e-09,1.05104594673039e-06
"GPR4",0.401547498764363,9.36043268932833e-09,1.07248736752083e-06
"RAD51",0.401402284069686,9.48677552695683e-09,1.08033548622833e-06
"RFX5",0.401314805337952,9.56367759481421e-09,1.08249238036818e-06
"TOP1MT",0.400111097989301,1.06848603275493e-08,1.17382618516065e-06
"KRTAP9-4",0.399670205181365,1.11264104375552e-08,1.20812117053361e-06
"LRRC75B",0.399367528769568,1.14396654609409e-08,1.22162468965983e-06
"CLDN9",0.399360530471029,1.14470079615801e-08,1.22162468965983e-06
"PHKG1",0.398296789093152,1.26175043203169e-08,1.30913617047911e-06
"FTCD",0.397547971149514,1.35097788343829e-08,1.39397032878969e-06
"MYL9",0.397198056222581,1.39472874597879e-08,1.43120626702747e-06
"LAMA4",0.396353011674037,1.50608997487052e-08,1.52868132449358e-06
