"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Neuronal System R-HSA-112316",2.62164806624433e-36,3.05946329330714e-33,1.56979165706381,-0.499390860111986,-3.07336750325065,386,"TSPAN7;SNAP25;STXBP1;NRGN;RAB3A;SYN1;SYT1;GABBR2;NPTN;GRIA2;CAMK2A;SYN2;GNB1;CALM1;PRKAR1B;CAMK2G;ADCY1;GABRB2;VAMP2;PRKCB;AP2M1;RTN3;MAPT;GLUL;EPB41L1;DLGAP1;KCNAB2;SLC17A7;PLCB1;CPLX1;NSF;NEFL;DLGAP4;CAMKK2;HCN2;GIT1;GABRA3;GRIA1;SLC1A3;GABRA1;HSPA8;NRXN2;NRXN1;GABRA2;SLC1A2;MAPK1;STX1A;AP2A1;ALDH2;CACNA2D1;AP2S1;GABRA4;PRKCG;PTPRS;CAMK2B;DNAJC5;GRIN2B;GNG2;CAMKK1;GABRB3;KCNC2;CAMK2D;DLGAP3;AP2B1;HCN1;KCNC1;FLOT1;GNB2;CACNB3;MAPK3;GABRG2;SHANK3;KCNQ2;GNG3;PRKACB;KCNQ3;PRKAR2B;PRKAR1A;TSPOAP1;CACNA1E;ABAT;CACNA1B;ARHGEF9;RASGRF2;SYT7;GNB5;GNG7;ARL6IP5;KCNMA1;LRRC4B;GLRB;HOMER1;ARHGEF7;PRKCA;GRIK5;CACNA1A;SLITRK2;GPRIN1;KCNS1;CACNG3;NLGN2;NTRK3;SYN3;APBA1;GAD1;SHANK1;RASGRF1;SLC6A1;GRM5;KCNK1;GABRA5;GRIA4;KCNN1;KCNK4;KCNQ5;PPFIBP1;CACNG8;KCNN2;LRRTM2;CHRNA4;CACNB4;SLITRK1;SLC6A11;APBA2;PDLIM5;CACNB1;KCNA2;NBEA;KCNB1;KCNV1;NLGN4X;GNAI2;PPFIA2"
"Transmission Across Chemical Synapses R-HSA-112315",1.10788394369371e-29,6.46450281145278e-27,1.41727590263607,-0.548602979485822,-3.17440774224484,246,"TSPAN7;SNAP25;STXBP1;NRGN;RAB3A;SYN1;SYT1;GABBR2;NPTN;GRIA2;CAMK2A;SYN2;GNB1;CALM1;PRKAR1B;CAMK2G;ADCY1;GABRB2;VAMP2;PRKCB;AP2M1;MAPT;GLUL;EPB41L1;SLC17A7;PLCB1;CPLX1;NSF;NEFL;CAMKK2;GIT1;GABRA3;GRIA1;SLC1A3;GABRA1;HSPA8;GABRA2;SLC1A2;MAPK1;STX1A;AP2A1;ALDH2;CACNA2D1;AP2S1;GABRA4;PRKCG;CAMK2B;DNAJC5;GRIN2B;GNG2;CAMKK1;GABRB3;CAMK2D;AP2B1;GNB2;CACNB3;MAPK3;GABRG2;GNG3;PRKACB;PRKAR2B;PRKAR1A;TSPOAP1;CACNA1E;ABAT;CACNA1B;ARHGEF9;RASGRF2;GNB5;GNG7;ARL6IP5;GLRB;ARHGEF7;PRKCA;GRIK5;CACNA1A;GPRIN1;CACNG3;SYN3;APBA1;GAD1;RASGRF1;SLC6A1;GABRA5;GRIA4;CACNG8;CHRNA4;CACNB4"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",4.82158058309969e-28,1.87559484682578e-25,1.37274298193398,0.503302662806756,2.52718629969245,373,"OR2A14;OR10T2;OR8G1;OR2M5;OR2B11;OR6C74;OR5H15;OR10AD1;OR9Q2;OR5D16;OR2AJ1;OR4X2;OR6T1;OR4D11;OR8B4;OR7C1;OR10G4;OR2T34;OR1K1;OR2T5;OR2G6;OR6S1;OR4Q3;OR9G4;OR7D4;OR2H2;RTP2;OR52E2;OR2A2;OR10A6;OR9Q1;OR2J2;OR4C46;OR52J3;OR10AC1;OR4N2;OR4F21;OR4N5;OR11H4;OR4F17;OR5V1;OR4L1;OR2G2;OR4K15;OR1J1;OR4D9;OR1D5;OR1A2;OR51S1;OR10Z1;OR2A1;OR8H1;OR10H3;OR14K1;OR13F1;OR8H3;OR6M1;OR10A4;OR10J5;OR6P1;OR5A1;OR5W2;OR2L5;OR14A16;OR4D2;OR2Z1;OR2F1;OR13C4;OR4E1;OR7D2;OR51I1;OR11H1;OR4F6;OR10K2;OR5B21;OR13C5;OR2T27;OR8B12;OR2J3;OR1I1;OR4A5;OR10K1;OR4K5;OR9G9;OR10G7;OR2A4;OR9A2;OR56A1;OR10H2;OR51Q1;OR56B4;OR10A7;OR6C76;OR5A2;OR1F1;OR52K1;OR52N2;OR4C45;OR5L1;OR14J1;OR52D1;OR10D3;OR1L8;OR11L1;OR51B2;OR10A3;OR2S2;OR10X1;OR52H1;OR13D1;OR6B3;RTP1;OR4C16;OR4C6;OR6F1;OR8I2;OR4F15;OR51F1;OR1C1;OR7G1;OR6K2;OR1N1;OR11H6;OR6Q1;OR51F2;OR3A2;OR8U9;OR52A1;OR5D14;OR2T1;OR52B2;OR2L13;OR1M1;OR51G2;OR6C65;OR13C9;OR2T11;OR4D5;OR14A2;OR6V1;OR8B2;OR5B12;OR4X1;OR4K14;OR7G2;OR2T10;OR1S1;OR1E1;OR12D3;OR5F1;OR4P4;OR5AS1;OR2T8;OR7C2;OR5T2;OR5B3;OR5D18;OR4C3;OR6C3;OR2A5;OR51E1;OR5H14;OR2C3;OR2A7;OR5M8;OR52K2;OR13C2;OR6X1;OR2D3;OR10G6;OR5H2;OR5B17;OR4K1;OR1L1;EBF1;OR52R1;OR4C5;OR5H1;OR8H2;OR2V1;OR6C6;OR6N1;OR11G2;OR10S1;OR5AL1;OR8A1;OR10H5;OR2B3;OR4B1;OR1G1;OR10H4;OR4D10;OR1S2;OR8K3;OR7E24;OR56A5;OR5AK2;OR52E4;OR4K3;OR5D13;OR8J1;OR2W3;OR51L1;OR10Q1;OR51T1;OR5M11;OR11H7;OR5K3;OR2A25;OR1B1;OR3A1;OR2Y1;OR10G9;OR5T1;OR8J3;OR2AP1;OR4A15;OR4C11;OR5M10;OR4D6;OR5P3;OR5P2;OR1A1;OR6C70;OR52I2;OR52E6;OR56A3;OR4D1;OR1L6;OR5J2;OR5AU1;OR2AK2;OR4S1;OR13G1;OR51E2;OR2T35;OR2T3;OR6B1;OR11A1;OR6N2;OR4C15;OR52L1"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",2.71149686461457e-27,7.910792102513e-25,1.3575740855908,-0.689142835153407,-3.51537516752215,111,"ATP5MC3;COX6C;COX4I1;COX8A;COX6B1;ATP5F1B;NDUFB8;NDUFAB1;ATP5F1A;CYCS;NDUFS5;NDUFA1;COX6A1;ATP5F1D;UQCR11;COX5B;ATP5MF;SDHB;ATP5PF;NDUFA13;UQCRB;UQCRQ;NDUFB10;CCNI;COX7C;ATP5ME;NDUFB6;COX7B;NDUFB2;UQCRC2;COA1;ATP5PO;COX7A2L;ATP5PD;NDUFV2;ATP5MC2;UQCRC1;NDUFS8;COX5A;TRAP1;NDUFV1;NDUFA2;NDUFB9;NDUFB3;NDUFB4;SDHA;NDUFA5;UQCRFS1;NDUFA10;NDUFC1;UQCR10;ATP5PB;NDUFAF4;NDUFS4;NDUFS2;ACAD9;NDUFS3;NDUFA8;TMEM126B;NDUFB5;ECSIT;NDUFA11;NDUFS1;NDUFA9;COX14"
"Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517",1.34687805855725e-26,3.14361338867263e-24,1.33449749081658,-0.615789668215408,-3.35352310629178,159,"BSG;ATP5MC3;COX6C;COX4I1;COX8A;LDHB;COX6B1;ATP5F1B;NDUFB8;NDUFAB1;ATP5F1A;CYCS;NDUFS5;NDUFA1;COX6A1;ATP5F1D;UQCR11;COX5B;ATP5MF;SDHB;ATP5PF;NDUFA13;UQCRB;UQCRQ;NDUFB10;CCNI;MDH2;COX7C;ATP5ME;VDAC1;NDUFB6;COX7B;NDUFB2;UQCRC2;COA1;ATP5PO;COX7A2L;ATP5PD;NDUFV2;ATP5MC2;IDH3G;UQCRC1;NDUFS8;ACO2;COX5A;PDK2;TRAP1;NDUFV1;NDUFA2;NDUFB9;NDUFB3;NDUFB4;SDHA;PDHB;NDUFA5;UQCRFS1;NDUFA10;NDUFC1;PDK3;UQCR10;LDHA;ATP5PB;NDUFAF4;NDUFS4;IDH3B;NDUFS2;IDH3A;ACAD9;SUCLG1;NDUFS3;NNT;NDUFA8;TMEM126B;CS;NDUFB5;ECSIT;MPC2;NDUFA11;SUCLA2;NDUFS1;NDUFA9;COX14"
"Olfactory Signaling Pathway R-HSA-381753",5.074027794671e-26,9.86898406063509e-24,1.32671609800481,0.491763653721903,2.47123018691667,381,"OR2A14;OR10T2;OR8G1;OR2M5;OR2B11;OR6C74;OR5H15;OR10AD1;OR9Q2;OR5D16;OR2AJ1;OR4X2;OR6T1;OR4D11;OR8B4;OR7C1;OR10G4;OR2T34;OR1K1;OR2T5;OR2G6;OR6S1;OR4Q3;OR9G4;OR7D4;OR2H2;RTP2;OR52E2;ANO2;OR2A2;OR10A6;OR9Q1;OR2J2;OR4C46;OR52J3;OR10AC1;OR4N2;OR4F21;OR4N5;OR11H4;OR4F17;OR5V1;OR4L1;OR2G2;OR4K15;OR1J1;OR4D9;OR1D5;OR1A2;OR51S1;OR10Z1;OR2A1;OR8H1;OR10H3;OR14K1;OR13F1;OR8H3;OR6M1;OR10A4;OR10J5;OR6P1;OR5A1;OR5W2;OR2L5;OR14A16;OR4D2;OR2Z1;OR2F1;OR13C4;OR4E1;OR7D2;OR51I1;OR11H1;OR4F6;OR10K2;OR5B21;OR13C5;OR2T27;OR8B12;OR2J3;OR1I1;OR4A5;OR10K1;OR4K5;OR9G9;OR10G7;OR2A4;OR9A2;OR56A1;OR10H2;OR51Q1;OR56B4;OR10A7;OR6C76;OR5A2;OR1F1;OR52K1;OR52N2;OR4C45;OR5L1;OR14J1;OR52D1;OR10D3;OR1L8;OR11L1;OR51B2;OR10A3;OR2S2;OR10X1;OR52H1;OR13D1;OR6B3;RTP1;OR4C16;OR4C6;OR6F1;OR8I2;OR4F15;OR51F1;OR1C1;OR7G1;OR6K2;OR1N1;OR11H6;OR6Q1;OR51F2;OR3A2;OR8U9;OR52A1;OR5D14;OR2T1;OR52B2;OR2L13;OR1M1;OR51G2;OR6C65;OR13C9;OR2T11;OR4D5;OR14A2;OR6V1;OR8B2;OR5B12;OR4X1;OR4K14;OR7G2;OR2T10;OR1S1;OR1E1;OR12D3;OR5F1;OR4P4;OR5AS1;OR2T8;OR7C2;OR5T2;OR5B3;OR5D18;OR4C3;OR6C3;OR2A5;OR51E1;OR5H14;OR2C3;OR2A7;OR5M8;OR52K2;OR13C2;OR6X1;OR2D3;OR10G6;OR5H2;OR5B17;OR4K1;OR1L1;EBF1;OR52R1;OR4C5;OR5H1;OR8H2;OR2V1;OR6C6;OR6N1;OR11G2;OR10S1;OR5AL1;OR8A1;OR10H5;OR2B3;OR4B1;OR1G1;OR10H4;OR4D10;OR1S2;OR8K3;OR7E24;OR56A5;OR5AK2;CNGA4;OR52E4;OR4K3;OR5D13;OR8J1;OR2W3;OR51L1;OR10Q1;OR51T1;OR5M11;OR11H7;OR5K3;OR2A25;OR1B1;OR3A1;OR2Y1;OR10G9;OR5T1;OR8J3;OR2AP1;OR4A15;OR4C11;OR5M10;OR4D6;OR5P3;OR5P2;OR1A1;OR6C70;OR52I2;OR52E6;OR56A3;OR4D1;OR1L6;OR5J2;OR5AU1;OR2AK2;OR4S1;OR13G1;OR51E2;OR2T35;OR2T3;OR6B1"
"Respiratory Electron Transport R-HSA-611105",8.28449482375421e-22,1.38114363704588e-19,1.21254456769062,-0.698566663165641,-3.44803315638329,89,"COX6C;COX4I1;COX8A;COX6B1;NDUFB8;NDUFAB1;CYCS;NDUFS5;NDUFA1;COX6A1;UQCR11;COX5B;SDHB;NDUFA13;UQCRB;UQCRQ;NDUFB10;CCNI;COX7C;NDUFB6;COX7B;NDUFB2;UQCRC2;COA1;COX7A2L;NDUFV2;UQCRC1;NDUFS8;COX5A;TRAP1;NDUFV1;NDUFA2;NDUFB9;NDUFB3;NDUFB4;SDHA;NDUFA5;UQCRFS1;NDUFA10;NDUFC1;UQCR10;NDUFAF4;NDUFS4;NDUFS2;ACAD9;NDUFS3;NDUFA8;TMEM126B;NDUFB5;ECSIT;NDUFA11;NDUFS1;NDUFA9;COX14"
"Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314",3.48147220664554e-19,5.07859758144419e-17,1.13308993200902,-0.516765250578432,-2.88713123623756,182,"TSPAN7;NRGN;GABBR2;NPTN;GRIA2;CAMK2A;GNB1;CALM1;PRKAR1B;CAMK2G;ADCY1;GABRB2;PRKCB;AP2M1;MAPT;EPB41L1;PLCB1;NSF;NEFL;CAMKK2;GIT1;GABRA3;GRIA1;GABRA1;GABRA2;MAPK1;AP2A1;AP2S1;GABRA4;PRKCG;CAMK2B;GRIN2B;GNG2;CAMKK1;GABRB3;CAMK2D;AP2B1;GNB2;MAPK3;GABRG2;GNG3;PRKACB;PRKAR2B;PRKAR1A;ARHGEF9;RASGRF2;GNB5;GNG7;GLRB;ARHGEF7;PRKCA;GRIK5;GPRIN1;CACNG3;APBA1;RASGRF1;GABRA5;GRIA4;CACNG8;CHRNA4"
"Post NMDA Receptor Activation Events R-HSA-438064",1.86525263975322e-14,2.41861092288001e-12,0.97599468306432,-0.682656735371454,-3.07997542976039,61,"NRGN;GRIA2;CAMK2A;CALM1;PRKAR1B;CAMK2G;ADCY1;MAPT;NEFL;CAMKK2;GIT1;GRIA1;MAPK1;CAMK2B;GRIN2B;CAMKK1;CAMK2D;MAPK3;PRKACB;PRKAR2B;PRKAR1A;RASGRF2;ARHGEF7;PRKCA;GPRIN1;RASGRF1"
"Opioid Signaling R-HSA-111885",4.9511779324403e-14,5.77802464715783e-12,0.965327754226083,-0.599371717073246,-2.93120177559323,88,"PPP3R1;CAMK2A;GNB1;CALM1;PRKAR1B;CAMK2G;ADCY1;PPP3CB;PLCB1;CAMKK2;PDE1B;MAPK1;ITPR1;GRK2;PPP2CA;PRKCG;CAMK2B;PPP2R1A;GNG2;CAMKK1;CAMK2D;AHCYL1;GNB2;GNG3;PRKACB;PRKAR2B;PRKAR1A;GNAQ;PPP3CA;GNB5;PPP2R5D;GNG7;PRKCA;PDE4A;PPP2CB;NBEA;GNAI2;PDE4D;ADCY2;PDE1A"
