,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
Astrocytes1,0.9990076991235116,0.9324757069110475,0.9417015110101479,0.8664194620449119,0.9448799714673808,0.8218065020972279,0.8305992930615339,0.8021124225527954,0.7384056613540462,0.7958930560600735,0.8086764536125645,0.7757558457791984,0.7995004365106535,0.8054400639119487,0.8113028894105331,0.7520636245187846,0.7890189723440173,0.8256620583892978,0.797536346877051,0.8313482353358436,0.20092138393945308,0.8419609919799105,0.8527617517306435,0.847658494858508,0.8480145935526652,0.8380650647640652,0.8241114018409403,0.7568230662844762,0.7469472936670131,0.824798877448723,0.3347292640737762,0.8980879851869048,0.880302869488892,0.8722858885969693,0.7566515687945754,0.8279988810253568,0.671617504242991,0.8410420366175199,0.5575717896021436,0.7862609229274923,0.8708626059649636,0.5298975187244218,0.740522612868151,0.5943397411180457,0.6926990810860598,0.6880997467427555
Astrocytes2,0.9323983149318152,0.9982730538548968,0.9279207480809163,0.908758364404111,0.9427365878336434,0.8614585569928264,0.7500511705271766,0.7308729771658689,0.7575845510266107,0.7388361593075876,0.7563182158233328,0.8113625774654174,0.7544891584541343,0.7612788557273555,0.7761284528109182,0.6588736502174815,0.7215966223756815,0.7712681357057855,0.7450575710410784,0.8063867370775105,0.2988151188033334,0.7787447051576045,0.8156176881447387,0.7842857266626709,0.822082654032871,0.8150634262462239,0.8221524077086431,0.8109593016490498,0.8162019429614271,0.8444818177074631,0.43812389374022903,0.8691011822480269,0.8879142426404234,0.8739282244324303,0.6485347401793435,0.7515702190594298,0.7541137376838435,0.8628789179797852,0.650276354194818,0.8390756898073773,0.8294921848934602,0.6164465685824473,0.8161670256936129,0.6942145203805621,0.7731855933432824,0.7546329200743078
Astrocytes3,0.9417650222645426,0.9277885457238064,0.9986254433494969,0.8998434409888422,0.9478385994956922,0.8773665778552288,0.8106310896463109,0.7891563109014382,0.7796838506162875,0.7800484823074403,0.7974762195915107,0.8390376203065504,0.8017664567372312,0.7986485714839177,0.8167379482997774,0.7115963249140655,0.768514996221921,0.8212635467781115,0.7933661564038889,0.8456322243900091,0.25573794890117757,0.8316431694356776,0.8602290101329263,0.8413529753962112,0.8606066851149033,0.8547275168168292,0.849207133739634,0.8058728716667368,0.8108688139722063,0.9041607426062879,0.4038429460677692,0.9073488355189496,0.9337065535999901,0.8902568093595595,0.759919570808272,0.8388256760185443,0.761287548185773,0.9087317529421498,0.6555543758697051,0.8703706243623636,0.9038145624233451,0.6232921948519456,0.7903017404093323,0.6658647677933485,0.7480053543088484,0.777986869216223
Astrocytes4,0.8663319936526171,0.9087010975430742,0.8998890950851539,0.9983016675914712,0.9126254871457242,0.8911046583431748,0.7926297062906842,0.7723799479858979,0.8296983888821108,0.7817861939412535,0.8025625504200234,0.88199719956505,0.8058337935966527,0.8007505256546201,0.8179098410230843,0.6894777830079202,0.75265501862992,0.8149298529136335,0.7891999291362222,0.8618639629970718,0.36610597615598406,0.7991234463389788,0.8502677390249297,0.8138662592360913,0.8470155793933768,0.8609024058264892,0.8398458904968379,0.8359459560739632,0.8875937086086787,0.8639745901854139,0.5070474988011765,0.8667804061794556,0.919854896019971,0.8839655809093873,0.6041827538502791,0.7279815409322221,0.8273381168276226,0.9155279265913951,0.7188368755995206,0.8776902538391032,0.8334330259268132,0.6923543457343078,0.8468676559124555,0.7716400785669888,0.7979346595721363,0.7774530580148171
Astrocytes5,0.9449573650486363,0.9427488649779125,0.9478790009522047,0.9125180281436781,0.9986578487661877,0.8668329672600977,0.780192790005541,0.7636231480387217,0.764478186504497,0.7607977321861689,0.7799893003613153,0.815370212158264,0.7818089825761677,0.7772094046141585,0.7912478892644353,0.6877231287857297,0.7415569966274702,0.7966610393832656,0.7687373520239079,0.8271486222001668,0.30833124880842483,0.8007592744488037,0.8386737599869332,0.8116310923629217,0.837933971762704,0.8339453014379555,0.8361236091608981,0.8049309761646108,0.8138738164315534,0.8564055885132574,0.4415286450248125,0.8869793626831648,0.9032002931611066,0.8842917845132939,0.677887592006707,0.7697745577907126,0.7521706269066994,0.8791123774249534,0.6504052947736741,0.8401114654784011,0.8496300136371373,0.616936787767076,0.807896302277307,0.6894866676066519,0.7679544853033159,0.7543602739859887
Endothelial,0.8216106688537218,0.8614870448390571,0.8774757445863609,0.8910423127641576,0.8668116251004641,0.9982808227782038,0.7425939952537549,0.7171739586004557,0.7736265537225567,0.7194833211643296,0.743119591512785,0.8330702476256705,0.746186464539288,0.7443236215189831,0.7628184631156205,0.6275784626535557,0.6968687116978505,0.7598104090047357,0.7291392336850743,0.8053923886456474,0.3606166653695382,0.757138499536775,0.8052534764377137,0.7734718123706377,0.8043349555489169,0.811232727092328,0.8655399706219693,0.8576790138303827,0.8748918012220762,0.8953038479562769,0.5167443832703557,0.8420168101072572,0.8860167903848495,0.8502758247115271,0.6359200434069755,0.7504247476254122,0.8122668326685027,0.9037353935766678,0.7161137374896845,0.885084311875729,0.8516845112772402,0.6772958709895115,0.8734010660892895,0.7631336349993042,0.8227916296737589,0.8117743107832552
ExNeuron1,0.8307813153939843,0.7500559593105471,0.8103965016332829,0.7925555337296994,0.7800627217880468,0.7427575425137498,0.9992009258263586,0.935833604608088,0.7960572773093973,0.9296113291345794,0.9302844270610355,0.812373286998743,0.9182452743710819,0.9316180833353578,0.9257449179084948,0.9335285147065265,0.9412671776583827,0.9445447626395,0.9345267729324519,0.9227518281985498,0.07486551231115042,0.9246757180268881,0.9034794720765404,0.9344560699588562,0.8772237382749588,0.9017117865029874,0.7647272284062242,0.6678944230230671,0.6834792097179937,0.7517079604520955,0.21475895306574969,0.8558866096934621,0.838853771706907,0.8025534582607171,0.812642069097918,0.8777604727514234,0.591750663816843,0.81157673515859,0.45272125581037176,0.7026698355771585,0.8519447162800431,0.46273827062497674,0.6225449678577067,0.5012934209889754,0.558006221365604,0.5728634851676917
ExNeuron10,0.8022327729316907,0.7310708962989368,0.7890915817505194,0.7723403408853868,0.7636980539965853,0.7174053942161235,0.935931606521339,0.9990968588429596,0.8339289322056611,0.9663522280942151,0.9660464913053936,0.8404643051282908,0.9660607386823099,0.9618230774373423,0.9588237737366989,0.9400421554304524,0.9476976038796363,0.9549477652444791,0.9630034676336999,0.92491304040024,0.04951052925260196,0.9245504396726945,0.904991850623942,0.9287090213046426,0.8877454248262503,0.9151846710350606,0.7294957446920691,0.6435772563521207,0.6670481382416606,0.7261128662857781,0.1986370409253707,0.8327073623366644,0.8234912808213739,0.7820024842113174,0.756817675180661,0.7970571141272916,0.5786712140583218,0.7858652231827835,0.4391303212368063,0.6772315072447636,0.7903649836387678,0.45330286859387836,0.6062263688375438,0.4898919611589534,0.5531748634350918,0.570851970410395
ExNeuron11,0.7385774174795984,0.7574624892768257,0.7797846698946027,0.8297925289482923,0.7646006575986187,0.7735161470602265,0.7963049035206846,0.8340582699572922,0.997389772508298,0.8466529930100021,0.8540478643455693,0.8948037838931316,0.8800692165986078,0.853517517622705,0.8578542864898655,0.8061278379250885,0.8387191833321156,0.8516378790861743,0.860260978020088,0.8742812195453612,0.23636554817210997,0.8166920555734164,0.8419392266331391,0.8238878100499378,0.8431949584868851,0.8609870941836408,0.7619168041760129,0.7571072743796873,0.8159760467573814,0.7872282663431447,0.41604663221204446,0.7831859956528899,0.8340872884240847,0.7872321801202713,0.5976164491879716,0.6648409448634761,0.73830592257218,0.7965341445173575,0.6287053088116001,0.748646044836214,0.7248755390211726,0.6379493070883914,0.7381918312413422,0.6829280401609137,0.7139002502260904,0.7276661433703068
ExNeuron12,0.7959741441450644,0.7386931764262817,0.7798544699528293,0.7816421408385577,0.7606780805680381,0.7194949299288211,0.9296489145350524,0.9664080006256774,0.8461946819246193,0.9989418052334684,0.9675367632097973,0.8364302787789165,0.956254821894002,0.9593298672772169,0.9677243934429354,0.9416917894759833,0.9452896547360701,0.9559713929271368,0.9599399176170222,0.927339124527448,0.043870780308558385,0.920570662006544,0.9041506037461916,0.9169801046571361,0.8918008903977162,0.9172271522782948,0.731483530896654,0.6533927947055443,0.6773340250377866,0.7217080348567118,0.19740198807658696,0.8255562190633315,0.820141182963322,0.7911796195604872,0.7241354948334932,0.7774425786523267,0.582952329186307,0.7813472486642025,0.43651443374234644,0.6777209254648529,0.7834931365458734,0.4505671665180899,0.617766036157469,0.49674328509696936,0.5590014545774425,0.5666962480794291
