row_index,ROI_ID,Scan_ID,disease_status,pathology,region
0,2534_A_001,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries
1,2534_A_002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries
2,2534_A_003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries
3,2534_A_004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries
4,2534_A_005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries
5,2534_A_006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries
6,2534_A_007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries
7,2534_A_008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries
8,2534_A_009,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries
9,2534_A_010,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries
10,2534_B_001,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries
11,2534_C_001,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma
12,2534_C_002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma
13,2534_C_003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma
14,2534_C_004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma
15,2534_C_005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma
16,2534_C_006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma
17,2534_C_007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma
18,2534_C_008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma
19,2534_D_001,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries
20,2534_D_002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries
21,2534_D_003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries
22,2534_D_004,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries
23,2534_D_005,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries
24,2534_D_006,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries
25,2534_D_007,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries
26,2534_D_008,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries
27,2534_E_001,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries
