step,loss
0,10712322.189790666
1,10594691.508842625
2,10697374.300156765
3,10491812.342329757
4,10447594.518468171
5,10527835.180476116
6,10588435.032836974
7,10397914.404996004
8,10433891.777824428
9,10442381.699424047
10,10301227.099487385
11,10429802.859733261
12,10231761.51141989
13,10409783.3575083
14,10310121.808589015
15,10276781.548362197
16,10367602.559244353
17,10262645.564193122
18,10192731.661791164
19,10314749.025000855
20,10081156.67822859
21,10064581.202882364
22,10019614.436082736
23,10112416.236129072
24,9989613.778077304
25,9978555.272448435
26,10083664.525149867
27,9867491.682542816
28,9862391.328134514
29,9865115.8624825
30,9803574.367932409
31,9841513.91832463
32,9717023.931555279
33,9746738.108038653
34,9751144.747685857
35,9779196.418494605
36,9738285.450105704
37,9823252.393914409
38,9658868.478545774
39,9621474.079114508
40,9719186.228985924
41,9591726.503483519
42,9736573.281786159
43,9535303.865313683
44,9441180.505453512
45,9513402.976316199
46,9558020.902533185
47,9523821.698067982
48,9505977.49707035
49,9579534.931279086
50,9433120.999483168
51,9492603.080978185
52,9418955.852723565
53,9321300.42596034
54,9478698.616891496
55,9477532.55277919
56,9335048.170275029
57,9352628.728304535
58,9455207.657069983
59,9384293.629892334
60,9307866.818388123
61,9351533.342677154
62,9223944.479544051
63,9179519.921608988
64,9235260.034357302
65,9320394.99337164
66,9194591.079274833
67,9286505.979225762
68,9176186.38083893
69,9184334.30429627
70,9202942.829618294
71,9072070.845358737
72,9179693.435199983
73,9137370.326154206
74,9043602.997347265
75,8973669.322381988
76,9139175.153991342
77,8973551.694349002
78,9023670.66251842
79,9052664.60443125
80,9037451.306856535
81,8989504.461251296
82,8974451.414452672
83,9041554.214936044
84,9007708.619197428
85,8961594.574538957
86,8922848.26236324
87,8889549.678750388
88,8823453.860835895
89,8879971.621847488
90,8866565.432445377
91,8890433.415375493
92,8842501.895132527
93,8964151.264590621
94,8817652.22076808
95,8778516.013024013
96,8733803.16170653
97,8821898.841695406
98,8721142.509867638
99,8801657.694097966
100,8705256.989430279
101,8846921.137415033
102,8650778.3769176
103,8744187.668435302
104,8836261.8955141
105,8601810.0919891
106,8725799.295620248
107,8723862.21066355
108,8649191.532264113
109,8666895.926435769
110,8671423.634565108
111,8578398.124040097
112,8612270.651144244
113,8575297.743893601
114,8642112.90952555
115,8617055.532837093
116,8567345.647845555
117,8748798.203304239
118,8629901.202216014
119,8692755.192211047
120,8513021.394190893
121,8436465.791624255
122,8420357.204360634
123,8506069.335386872
124,8484267.169524856
125,8500388.202006891
126,8605153.900065586
127,8452373.648091733
128,8476047.981574163
129,8459805.37192887
130,8465498.466349572
131,8508939.983954966
132,8412753.336135104
133,8428391.513906315
134,8414081.46247428
135,8380565.210277632
136,8453020.04255458
137,8323940.658601545
138,8327965.816691786
139,8294754.234680116
140,8254451.715296462
141,8307306.107075922
142,8349023.365133911
143,8339960.956093647
144,8282936.7434396
145,8429310.346267067
146,8138479.631158158
147,8274802.969925255
148,8311724.95163288
149,8179944.222885847
150,8254450.443935454
151,8184044.312773757
152,8334214.849038467
153,8198890.496903595
154,8369098.808384627
155,8069453.600404441
156,8247392.629261389
157,8123397.259765498
158,8193096.956809118
159,8236301.814449951
160,8165673.37204773
161,8191907.9576088935
162,8241773.615380488
163,8023845.7457726
164,8114279.454504363
165,8207068.41105346
166,8209799.474591844
167,8136294.624025576
168,8165300.3035558015
169,8093964.694572955
170,8084248.058481544
171,8130701.881254017
172,8066998.758720942
173,8098890.757040188
174,8162802.120512456
175,8085441.761371478
176,8077956.640764326
177,8125383.3408764675
178,8005121.685318783
179,8106817.173920035
180,8059181.357388154
181,7992611.979230568
182,7919587.825458072
183,8046700.683501303
184,7991641.359367907
185,8054082.305755183
186,7960573.704318471
187,8002808.947782829
188,8007087.683972672
189,7985782.441993523
190,7959083.954421371
191,7896924.331816293
192,8012109.595671892
193,7950879.8092363775
194,7946240.597877413
195,7981095.284793943
196,7946613.220810786
197,7924500.757346101
198,7828258.250881776
199,7884279.099692702
200,7849385.109721303
201,7864517.579755262
202,7885855.069884598
203,7858853.484575212
204,7880628.188275538
205,7889356.78451775
206,7881299.692281567
207,7868209.94108247
208,7755301.507209573
209,7775866.541019857
210,7856108.203209378
211,7738170.783040337
212,7785922.334621891
213,7793454.932153955
214,7785190.465541035
215,7762619.163497984
216,7764851.805018961
217,7797115.120682098
218,7744187.175641682
219,7783971.223854944
220,7752446.788273215
221,7805019.757255971
222,7813607.100057453
223,7725991.752564274
224,7736477.858889312
225,7703660.958985396
226,7692368.132925108
227,7720880.840453282
228,7656680.693208098
229,7725800.888438351
230,7800923.096336611
231,7665831.775440887
232,7712878.352304667
233,7632474.268028304
234,7708840.04802347
235,7614400.65683211
236,7709143.198336303
237,7682920.641899705
238,7617508.889669716
239,7617896.848186359
240,7632761.005633518
241,7578577.234952301
242,7605697.895486459
243,7647175.871887624
