factor_index,celltype
0,Astrocytes1
1,Astrocytes2
2,Astrocytes3
3,Astrocytes4
4,Astrocytes5
5,Endothelial
6,ExNeuron1
7,ExNeuron10
8,ExNeuron11
9,ExNeuron12
10,ExNeuron13
11,ExNeuron14
12,ExNeuron2
13,ExNeuron3
14,ExNeuron4
15,ExNeuron5
16,ExNeuron6
17,ExNeuron7
18,ExNeuron8
19,ExNeuron9
20,Fibroblast
21,InhNeuron1
22,InhNeuron2
23,InhNeuron3
24,InhNeuron4
25,InhNeuron5
26,Microglia1
27,Microglia2
28,Microglia3
29,Microglia4
30,Microglia5
31,OPC1
32,OPC2
33,OPC3
34,Oligodendrocytes1
35,Oligodendrocytes2
36,Oligodendrocytes3
37,Oligodendrocytes4
38,Oligodendrocytes5
39,Oligodendrocytes6
40,Oligodendrocytes7
41,Oligodendrocytes8
42,Pericytes
43,SMC
44,VLMC1
45,VLMC2
