row_index,ROI_ID,Scan_ID,disease_status,pathology,region
0,2732_D_001,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries
1,2732_D_002,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries
2,2732_D_003,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries
3,2732_D_005,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries
4,2732_D_006,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries
5,2732_D_007,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries
6,2732_E_001,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries
7,2732_E_002,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries
8,2732_E_003,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries
9,2732_E_004,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries
10,2732_F_001,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma
11,2732_F_002,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma
12,2732_F_003,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma
13,2732_F_004,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma
14,2732_F_005,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma
15,2732_F_006,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma
16,2497_D_001,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries
17,2497_D_002,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries
18,2497_D_003,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries
19,2497_D_004,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries
20,2497_D_005,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries
21,2497_E_001,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries
22,2497_E_002,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries
23,2497_E_003,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries
24,2497_E_004,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries
25,2497_F_001,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma
26,2497_F_002,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma
27,2497_F_003,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma
28,2497_F_004,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma
29,2052_D_001,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries
30,2052_D_002,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries
31,2052_D_003,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries
32,2052_D_004,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries
33,2052_D_005,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries
34,2052_D_006,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries
35,2052_E_001,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries
36,2052_E_002,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries
37,2052_E_003,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries
38,2052_E_004,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries
39,2052_F_001,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma
40,2052_F_002,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma
41,2052_F_003,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma
42,2052_F_004,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma
43,2052_F_005,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma
44,2052_F_006,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma
