step,loss
0,3490992.598400622
1,3430860.535196586
2,3432516.9055990875
3,3386200.211780086
4,3400131.0069648027
5,3396009.690011343
6,3409675.368627345
7,3328349.292078728
8,3353756.1533711776
9,3382412.1080659116
10,3312377.355513297
11,3289528.7531016096
12,3275116.488626402
13,3409777.703189891
14,3319006.851936237
15,3339962.7369986083
16,3291681.995141916
17,3293708.482914388
18,3306760.956884697
19,3321338.579739278
20,3253040.3197163865
21,3266626.443607675
22,3288819.7661438743
23,3217794.037965089
24,3247816.7084012963
25,3281585.884984169
26,3208954.0971290655
27,3213767.3549111225
28,3195246.7691248395
29,3171481.893092055
30,3212856.132865116
31,3131633.331993863
32,3240827.4571005674
33,3144556.236769678
34,3148605.1616091225
35,3171722.3524503186
36,3157150.6008220986
37,3164242.4877935187
38,3106547.0783722363
39,3122314.3020932004
40,3184377.2506572753
41,3126556.252741568
42,3142455.9537358657
43,3048501.557093397
44,3096594.2811752893
45,3115879.6020986848
46,3052987.143800618
47,3079453.090529129
48,3081398.2104340717
49,3149417.1656358093
50,3126606.375055328
51,3023456.9693598114
52,3057037.977842428
53,3075793.303361032
54,3004242.255660195
55,3038722.2745114975
56,3034212.1536549125
57,3052095.43795494
58,3106810.2791164294
59,3019648.696748536
60,3001845.308077395
61,3073969.4541404173
62,3012259.7097617453
63,2980346.5078640506
64,2953611.279404655
65,3010361.5132233202
66,2947504.00887917
67,2969832.2550957277
68,2969084.9161616378
69,2993410.7712760493
70,2936854.193696551
71,2961244.1931561306
72,2909827.4292290807
73,2950760.961083904
74,2987253.3982581273
75,2975470.919414386
76,2961371.7414384857
77,2913341.070868628
78,2874963.787293507
79,2970647.5343712196
80,2881982.799545422
81,2897841.0691271424
82,2905106.9996953085
83,2906750.5922348406
84,2889619.667861782
85,2884426.670879513
86,2904057.118236903
87,2905562.2371954788
88,2864608.7894899957
89,2863247.8768162616
90,2884576.3827762157
91,2822256.315024428
92,2871966.513025701
93,2894946.44253847
94,2852865.9557851963
95,2845304.343208976
96,2848514.801141545
97,2831299.2739353776
98,2882921.154676616
99,2837538.4460697174
100,2785653.252253905
101,2805578.2890994996
102,2844838.801251434
103,2811401.5014140606
104,2831461.838820353
105,2796150.0092847645
106,2807722.50553032
107,2799265.2880486734
108,2818618.5940837115
109,2780991.6586313844
110,2775910.5594366714
111,2800380.5983651876
112,2815182.708341345
113,2771112.3126811646
114,2810726.626047924
115,2777245.76383486
116,2782045.2869988643
117,2765537.765084341
118,2796728.827344686
119,2762324.5459037274
120,2743385.843404308
121,2730921.1932351887
122,2765005.535041392
123,2737833.600847639
124,2747042.5410571992
125,2757141.2762140706
126,2772086.989741303
127,2742267.7343961447
128,2733226.474662427
129,2742612.626098275
130,2739320.301560059
131,2744800.132180076
132,2759634.0586632565
133,2707907.5725647807
134,2675248.5444805175
135,2678587.7931454927
136,2698715.3555513658
137,2701102.6406768
138,2683669.433631256
139,2690137.3821370527
140,2647298.7741075456
141,2678543.7969753295
142,2667335.6427675635
143,2665852.2359364033
144,2704812.64447397
145,2669223.26728303
146,2680894.9129505083
147,2713201.3171790093
148,2682557.6315171495
149,2640735.687098503
150,2662109.0634618476
151,2674461.7993210554
152,2650576.8022978455
153,2652777.2169681787
154,2641197.9191535115
155,2662966.4459897503
156,2648495.855934888
157,2618075.4933367223
158,2654030.9565608203
159,2648454.208670728
160,2654557.373960331
161,2651136.936738476
162,2636477.3255392686
163,2621551.3090195507
164,2596884.5888787284
165,2606387.582824394
166,2606914.552086994
167,2607149.282360032
168,2632053.357300222
169,2610953.7402831763
170,2595348.150094852
171,2621560.869062975
172,2612845.510935344
173,2620815.5311129093
174,2600431.98274377
175,2601465.352316752
176,2578994.4434322864
177,2574294.5562262237
178,2565823.01587148
179,2591026.701356262
180,2593231.297438793
181,2592299.6021601483
182,2597622.8854058236
183,2567575.3277844004
184,2550165.2240336686
185,2554034.7534237504
186,2564857.2991289794
187,2550366.5296041667
188,2554688.8537179977
189,2563729.7782551944
190,2548923.220738761
191,2558610.6115433276
192,2556417.2892195657
193,2550275.3010381833
194,2545378.635946527
195,2541629.755178243
196,2531557.081878692
197,2520808.8313202076
198,2547075.359404221
199,2536282.3689201474
200,2529420.586442977
201,2543995.9288995005
202,2536446.263483174
203,2504774.6861679256
204,2533164.5840923935
205,2536317.9592592567
206,2504891.6593296677
207,2530431.022719547
208,2491515.8514045924
209,2507429.721748404
210,2516073.199406177
211,2517920.1333330423
212,2515627.978459459
213,2487483.490374759
214,2485078.823424492
215,2505763.2165763825
216,2510096.9808864146
217,2508841.730451137
218,2477371.688893914
219,2502591.7673974335
220,2495394.122250065
221,2456134.109410301
222,2470559.694397524
223,2468102.445282027
224,2484228.2508737743
225,2467190.7829270437
226,2446729.335939124
227,2467911.087727599
228,2478332.515976146
229,2449857.964022517
230,2464523.480778098
231,2465956.9604269825
232,2487594.838250503
233,2476471.7884123176
234,2460686.4348520786
