"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Amyloid_effect",1.49501980910817,0.269192758755501,Inf,1.05046088716325,2.12771770652178,1,2.23336785510174,0.0255246961653489,"Astrocytes1","Arteries",0.0938848338257094
"Amyloid_effect",1.51905681365754,0.323081554843848,Inf,1.0012342118527,2.30468912848023,1,1.96576339299819,0.0493259482312059,"Astrocytes2","Arteries",0.126055201035304
"Amyloid_effect",0.695976940033617,0.115391323467963,Inf,0.502883812632663,0.963212354207115,1,-2.18603102487015,0.028813335586765,"Astrocytes3","Arteries",0.0946723883565135
"Amyloid_effect",1.35853836642546,0.247916482188119,Inf,0.950031780010131,1.94269974108684,1,1.67906913715675,0.0931385702914255,"Astrocytes4","Arteries",0.171374969336223
"Amyloid_effect",0.959799958100797,0.221150418674175,Inf,0.611016302840891,1.5076781998895,1,-0.178073231431879,0.858665464244424,"Astrocytes5","Arteries",0.897695712619171
"Amyloid_effect",1.11415218799221,0.243282806325876,Inf,0.726237710188129,1.70926830236653,1,0.495032450600727,0.620577214321465,"Endothelial","Arteries",0.679679806161605
"Amyloid_effect",1.17051678213992,0.260598585479773,Inf,0.756606322561637,1.81086186622445,1,0.707188869633501,0.479449114471174,"ExNeuron1","Arteries",0.555255148555086
"Amyloid_effect",0.970358030466783,0.139215344219549,Inf,0.732507043879917,1.28544116422959,1,-0.209734352303701,0.833875012527497,"ExNeuron10","Arteries",0.892052338982903
"Amyloid_effect",1.25260236869726,0.17121191030242,Inf,0.958223408163231,1.63741845659306,1,1.64775462282869,0.0994030341111021,"ExNeuron11","Arteries",0.174370966837739
"Amyloid_effect",1.32639551972635,0.189812324296311,Inf,1.00198868260493,1.75583327964975,1,1.97384696250777,0.0483991470243205,"ExNeuron12","Arteries",0.126055201035304
"Amyloid_effect",1.2764542232999,0.167940044431506,Inf,0.986312831732559,1.6519458449284,1,1.85521403832561,0.0635656677766037,"ExNeuron13","Arteries",0.137386122677599
"Amyloid_effect",1.15106048813914,0.14676285543317,Inf,0.896536540524429,1.47784299631569,1,1.10338154771085,0.269861506458573,"ExNeuron14","Arteries",0.376170584760435
"Amyloid_effect",1.10323331549194,0.143240206345718,Inf,0.855362375289791,1.42293346489432,1,0.756682995936522,0.449239804447512,"ExNeuron2","Arteries",0.54381660538383
"Amyloid_effect",1.25111662588528,0.320049468018398,Inf,0.757793765389445,2.0655920951819,1,0.87578877484765,0.381144873541029,"ExNeuron3","Arteries",0.50093326236821
"Amyloid_effect",1.21219145430513,0.306741807048766,Inf,0.738204932888532,1.99051517596981,1,0.760450004448887,0.446985643051907,"ExNeuron4","Arteries",0.54381660538383
"Amyloid_effect",1.36208916245306,0.187754972980726,Inf,1.03961620471973,1.78458827214246,1,2.2418172830732,0.0249731837578731,"ExNeuron5","Arteries",0.0938848338257094
"Amyloid_effect",1.51165885011911,0.368370822640398,Inf,0.937621341766581,2.43713786936423,1,1.69565265073647,0.0899516804675108,"ExNeuron6","Arteries",0.171374969336223
"Amyloid_effect",1.19765261032073,0.209557633670875,Inf,0.849949328535756,1.68759680942287,1,1.03080375732421,0.302632855940636,"ExNeuron7","Arteries",0.409444452154979
"Amyloid_effect",1.35655622175383,0.227243092241074,Inf,0.976897586481952,1.88376428424416,1,1.8204331935745,0.0686930613387993,"ExNeuron8","Arteries",0.137386122677599
"Amyloid_effect",1.306652061148,0.215252633130087,Inf,0.946098646052639,1.80461056151572,1,1.62361711096463,0.104457551270741,"ExNeuron9","Arteries",0.174370966837739
"Amyloid_effect",1.2907147718728,0.102300771374132,Inf,1.10500664897069,1.5076331204726,1,3.21977477033541,0.00128291348734827,"Fibroblast","Arteries",0.0295070102090102
"Amyloid_effect",1.39930209138998,0.199671813063176,Inf,1.057913725158,1.85085635662393,1,2.35450644014909,0.0185473223076908,"InhNeuron1","Arteries",0.0853176826153775
