"region","celltype_1","celltype_2","r","p.value","p_adj","n"
"Arteries","Astrocytes1","Astrocytes2",0.960628812481627,0.0393711875183727,0.761562856670632,4
"Arteries","Astrocytes1","Astrocytes3",0.643431673263765,0.356568326736235,0.883590418131482,4
"Arteries","Astrocytes1","Astrocytes4",0.998943113300828,0.00105688669917191,0.401720779449181,4
"Arteries","Astrocytes1","Astrocytes5",0.694202979208623,0.305797020791377,0.872944789904888,4
"Arteries","Astrocytes1","Endothelial",-0.84433658835396,0.15566341164604,0.851905132715806,4
"Arteries","Astrocytes1","ExNeuron1",0.948416692227538,0.0515833077724615,0.797938550700514,4
"Arteries","Astrocytes1","ExNeuron10",-0.277788795947307,0.722211204052693,0.955463768477229,4
"Arteries","Astrocytes1","ExNeuron11",0.126727296609629,0.873272703390371,0.977121349198955,4
"Arteries","Astrocytes1","ExNeuron12",0.658746566409231,0.341253433590769,0.876358849067933,4
"Arteries","Astrocytes1","ExNeuron13",0.594566769124032,0.405433230875968,0.891037965234946,4
"Arteries","Astrocytes1","ExNeuron14",0.335201959632641,0.664798040367359,0.943142625469659,4
"Arteries","Astrocytes1","ExNeuron2",-0.00131583832149724,0.998684161678503,0.998684161678503,4
"Arteries","Astrocytes1","ExNeuron3",0.626116657401901,0.373883342598099,0.891037965234946,4
"Arteries","Astrocytes1","ExNeuron4",0.657977716112963,0.342022283887037,0.876358849067933,4
"Arteries","Astrocytes1","ExNeuron5",0.461917405613858,0.538082594386142,0.912639587855679,4
"Arteries","Astrocytes1","ExNeuron6",0.869339890446706,0.130660109553294,0.815370263847436,4
"Arteries","Astrocytes1","ExNeuron7",0.822688308179538,0.177311691820462,0.869181334725044,4
"Arteries","Astrocytes1","ExNeuron8",0.828902807388675,0.171097192611325,0.869181334725044,4
"Arteries","Astrocytes1","ExNeuron9",0.66132510814673,0.33867489185327,0.876358849067933,4
"Arteries","Astrocytes1","Fibroblast",-0.508193151420771,0.491806848579229,0.90810940311922,4
"Arteries","Astrocytes1","InhNeuron1",0.721991494587692,0.278008505412308,0.869181334725044,4
"Arteries","Astrocytes1","InhNeuron2",0.591820430995322,0.408179569004678,0.891037965234946,4
"Arteries","Astrocytes1","InhNeuron3",0.394760921096582,0.605239078903418,0.92881113038985,4
"Arteries","Astrocytes1","InhNeuron4",0.235894867483757,0.764105132516243,0.973453874661627,4
"Arteries","Astrocytes1","InhNeuron5",0.69613824480776,0.30386175519224,0.872944789904888,4
"Arteries","Astrocytes1","Microglia1",-0.911018893212225,0.0889811067877749,0.797938550700514,4
"Arteries","Astrocytes1","Microglia2",-0.726654564323467,0.273345435676533,0.869181334725044,4
"Arteries","Astrocytes1","Microglia3",-0.710085356123473,0.289914643876527,0.869181334725044,4
"Arteries","Astrocytes1","Microglia4",-0.547930185147274,0.452069814852726,0.903421216954479,4
"Arteries","Astrocytes1","Microglia5",-0.736527506890795,0.263472493109205,0.869181334725044,4
"Arteries","Astrocytes1","Oligodendrocytes1",0.405278970264799,0.594721029735201,0.919915992850152,4
"Arteries","Astrocytes1","Oligodendrocytes2",-0.245072901423705,0.754927098576294,0.971827794809036,4
"Arteries","Astrocytes1","Oligodendrocytes3",-0.915233892321126,0.0847661076788744,0.797938550700514,4
"Arteries","Astrocytes1","Oligodendrocytes4",-0.889875652611771,0.110124347388229,0.797938550700514,4
"Arteries","Astrocytes1","Oligodendrocytes5",-0.843522313370819,0.156477686629181,0.851905132715806,4
"Arteries","Astrocytes1","Oligodendrocytes6",-0.898490670753515,0.101509329246485,0.797938550700514,4
"Arteries","Astrocytes1","Oligodendrocytes7",-0.242581749659079,0.757418250340921,0.972471284333117,4
"Arteries","Astrocytes1","Oligodendrocytes8",-0.451464140305174,0.548535859694826,0.912639587855679,4
"Arteries","Astrocytes1","OPC1",0.109765976944873,0.890234023055127,0.977266292094293,4
"Arteries","Astrocytes1","OPC2",-0.745437742095927,0.254562257904073,0.869181334725044,4
"Arteries","Astrocytes1","OPC3",-0.240139694567711,0.759860305432289,0.972471284333117,4
"Arteries","Astrocytes1","Pericytes",-0.424434491174532,0.575565508825468,0.91600047840173,4
"Arteries","Astrocytes1","SMC",-0.673267462576263,0.326732537423737,0.875070023758865,4
"Arteries","Astrocytes1","VLMC1",-0.92781620554907,0.0721837944509297,0.797938550700514,4
"Arteries","Astrocytes1","VLMC2",-0.363637819407709,0.636362180592291,0.935872950329636,4
"Arteries","Astrocytes2","Astrocytes3",0.809391390931666,0.190608609068334,0.869181334725044,4
"Arteries","Astrocytes2","Astrocytes4",0.961102692645121,0.0388973073548785,0.761562856670632,4
"Arteries","Astrocytes2","Astrocytes5",0.849629276016564,0.150370723983436,0.841263239583005,4
"Arteries","Astrocytes2","Endothelial",-0.802714806189857,0.197285193810143,0.869181334725044,4
"Arteries","Astrocytes2","ExNeuron1",0.830758431418355,0.169241568581645,0.869181334725044,4
"Arteries","Astrocytes2","ExNeuron10",-0.458786932036767,0.541213067963233,0.912639587855679,4
"Arteries","Astrocytes2","ExNeuron11",-0.118907693824427,0.881092306175573,0.977266292094293,4
"Arteries","Astrocytes2","ExNeuron12",0.46714610317467,0.53285389682533,0.912639587855679,4
"Arteries","Astrocytes2","ExNeuron13",0.419650582157644,0.580349417842356,0.919849383563306,4
"Arteries","Astrocytes2","ExNeuron14",0.30722909402929,0.69277090597071,0.950171621084159,4
"Arteries","Astrocytes2","ExNeuron2",-0.219202650981058,0.780797349018941,0.97510263871957,4
"Arteries","Astrocytes2","ExNeuron3",0.555912067774549,0.444087932225451,0.903421216954479,4
"Arteries","Astrocytes2","ExNeuron4",0.566768737279362,0.433231262720638,0.903421216954479,4
"Arteries","Astrocytes2","ExNeuron5",0.253522656967157,0.746477343032843,0.969785306109838,4
"Arteries","Astrocytes2","ExNeuron6",0.721107748841302,0.278892251158698,0.869181334725044,4
