"celltype","region","contrast","type","log2_OR","odds.ratio","SE","p.value","p_adj","estimate"
"Astrocytes1","Arteries","Amyloid_effect","Amyloid",-0.374685015608049,0.771273786947543,0.124824393543055,0.108554114467534,0.293734662676857,NA
"Astrocytes2","Arteries","Amyloid_effect","Amyloid",0.675921290783557,1.59761666923383,0.437172429748994,0.0868693230660336,0.249749303814847,NA
"Astrocytes3","Arteries","Amyloid_effect","Amyloid",0.0825802894630902,1.05891023046023,0.205591104604393,0.768131519973199,0.920063065304656,NA
"Astrocytes4","Arteries","Amyloid_effect","Amyloid",0.886142662039131,1.84822789933388,0.280410238436029,5.15538769567105e-05,0.000910193777029606,NA
"Astrocytes5","Arteries","Amyloid_effect","Amyloid",0.148531559019087,1.10844067609082,0.18928998730381,0.546590243081485,0.848164750597573,NA
"Endothelial","Arteries","Amyloid_effect","Amyloid",0.173952466909756,1.12814496736968,0.201136655632082,0.498859730364982,0.819555271313899,NA
"ExNeuron1","Arteries","Amyloid_effect","Amyloid",0.264710114198157,1.20139462481414,0.298711053730231,0.460541271002339,0.815867169635772,NA
"ExNeuron10","Arteries","Amyloid_effect","Amyloid",0.859699922433273,1.81466082570161,0.487699269004698,0.0266056484283739,0.0874185591217998,NA
"ExNeuron11","Arteries","Amyloid_effect","Amyloid",1.60498421005566,3.04192421318338,0.644455426166261,1.51179257940963e-07,6.95424586528429e-06,NA
"ExNeuron12","Arteries","Amyloid_effect","Amyloid",0.202400137304,1.15061097570647,0.319721372820887,0.613639088285824,0.848164750597573,NA
"ExNeuron13","Arteries","Amyloid_effect","Amyloid",0.0841861539315568,1.06008956012611,0.288257682025971,0.830079933659432,0.920063065304656,NA
"ExNeuron14","Arteries","Amyloid_effect","Amyloid",0.958884567057814,1.94380644186366,0.525699451710895,0.0139877492733515,0.0584942242340154,NA
"ExNeuron2","Arteries","Amyloid_effect","Amyloid",0.147814985879108,1.10789026067352,0.223115534459191,0.610922181456287,0.848164750597573,NA
"ExNeuron3","Arteries","Amyloid_effect","Amyloid",0.136666422350105,1.09936192721117,0.204676655147409,0.61088209958156,0.848164750597573,NA
"ExNeuron4","Arteries","Amyloid_effect","Amyloid",0.0128788830537596,1.00896692562905,0.240730764150135,0.970153889748848,0.978282487500314,NA
"ExNeuron5","Arteries","Amyloid_effect","Amyloid",-0.052445279340859,0.964300512966275,0.173692247122063,0.84005758136512,0.920063065304656,NA
"ExNeuron6","Arteries","Amyloid_effect","Amyloid",-0.506227410700036,0.704061124197517,0.220702683518441,0.26298209757457,0.582581258578318,NA
"ExNeuron7","Arteries","Amyloid_effect","Amyloid",0.306614742321781,1.23680215859812,0.328419769813861,0.423497915505348,0.815867169635772,NA
"ExNeuron8","Arteries","Amyloid_effect","Amyloid",0.00741717746006495,1.00515443426821,0.189833680897409,0.978282487500314,0.978282487500314,NA
"ExNeuron9","Arteries","Amyloid_effect","Amyloid",0.144534220570691,1.10537372171109,0.30751319309417,0.718760939221701,0.893594681194547,NA
"Fibroblast","Arteries","Amyloid_effect","Amyloid",0.438060855192466,1.3547821231646,0.262623161524174,0.117260348445351,0.299665334915896,NA
"InhNeuron1","Arteries","Amyloid_effect","Amyloid",0.416907750182552,1.33506293303676,0.346817871191248,0.265961009350971,0.582581258578318,NA
"InhNeuron2","Arteries","Amyloid_effect","Amyloid",0.911048727653824,1.88041191567775,0.482989527011814,0.0139492086219981,0.0584942242340154,NA
"InhNeuron3","Arteries","Amyloid_effect","Amyloid",-0.241576864627316,0.845820325950597,0.181554151848523,0.435329419942198,0.815867169635772,NA
"InhNeuron4","Arteries","Amyloid_effect","Amyloid",0.295177886191119,1.22703626310765,0.340657954712488,0.461142313272393,0.815867169635772,NA
"InhNeuron5","Arteries","Amyloid_effect","Amyloid",0.0471534356785793,1.03322426886645,0.193790221501077,0.861659925130911,0.921775733860975,NA
"Microglia1","Arteries","Amyloid_effect","Amyloid",0.126942313242625,1.09197688172584,0.22057886375569,0.66313166769797,0.848164750597573,NA
"Microglia2","Arteries","Amyloid_effect","Amyloid",-0.103377934405182,0.930850938296498,0.278341104061863,0.81061072342956,0.920063065304656,NA
"Microglia3","Arteries","Amyloid_effect","Amyloid",0.581077054480237,1.49596565589759,0.244527235612739,0.013736812534384,0.0584942242340154,NA
"Microglia4","Arteries","Amyloid_effect","Amyloid",0.145003752664815,1.10573352949423,0.210336171148691,0.597239966185799,0.848164750597573,NA
"Microglia5","Arteries","Amyloid_effect","Amyloid",-0.0868694317527463,0.941563675034253,0.244654712747164,0.816745122182181,0.920063065304656,NA
"Oligodendrocytes1","Arteries","Amyloid_effect","Amyloid",-0.691066579033651,0.619395763694248,0.142861482914636,0.0378183650610662,0.115976319520603,NA
"Oligodendrocytes2","Arteries","Amyloid_effect","Amyloid",0.89723946557714,1.86249876065628,0.345451025823884,0.000799188974307215,0.00919067320453298,NA
"Oligodendrocytes3","Arteries","Amyloid_effect","Amyloid",1.0374579277207,2.05260770818367,0.507438190924255,0.00362780812514508,0.03174456931112,NA
"Oligodendrocytes4","Arteries","Amyloid_effect","Amyloid",0.300322531611486,1.23141968106954,0.267772448791427,0.33840971734944,0.70758395445792,NA
"Oligodendrocytes5","Arteries","Amyloid_effect","Amyloid",1.10918422534848,2.15723631469876,0.588530013939607,0.00483069532995305,0.03174456931112,NA
"Oligodendrocytes6","Arteries","Amyloid_effect","Amyloid",0.602460500701861,1.51830381026096,0.277839601851576,0.0224884302879157,0.0795744456341631,NA
"Oligodendrocytes7","Arteries","Amyloid_effect","Amyloid",0.185375859767982,1.13711318235562,0.303765414475349,0.630517339464343,0.848164750597573,NA
"Oligodendrocytes8","Arteries","Amyloid_effect","Amyloid",0.920070868146136,1.89220824032685,0.512159392210234,0.0184634117254306,0.0707764116141506,NA
"OPC1","Arteries","Amyloid_effect","Amyloid",1.29915103355626,2.46084029765712,0.551882140919869,5.93604637193222e-05,0.000910193777029606,NA
"OPC2","Arteries","Amyloid_effect","Amyloid",0.0246480315818295,1.01723149201429,0.2038574628369,0.932061627056428,0.974428064649902,NA
"OPC3","Arteries","Amyloid_effect","Amyloid",0.56478464447203,1.47916669300458,0.378775534828459,0.126320259594272,0.305827996912449,NA
"Pericytes","Arteries","Amyloid_effect","Amyloid",1.07617054424168,2.10843207437145,0.580140503595208,0.00670762430018139,0.038568839726043,NA
"SMC","Arteries","Amyloid_effect","Amyloid",0.254483770833621,1.19290881669186,0.299203124100243,0.481882876424972,0.819555271313899,NA
"VLMC1","Arteries","Amyloid_effect","Amyloid",0.673729117552038,1.59519093620607,0.262432117188128,0.0045309813062793,0.03174456931112,NA
"VLMC2","Arteries","Amyloid_effect","Amyloid",0.166564631563278,1.12238266460187,0.298099201757016,0.663781109163318,0.848164750597573,NA
"Astrocytes1","Capillaries","Amyloid_effect","Amyloid",-0.612558982509132,0.654035575867912,0.140725873073361,0.0484574205674361,0.089119280587161,NA
"Astrocytes2","Capillaries","Amyloid_effect","Amyloid",-0.253912840473247,0.838618847548448,0.210115868678989,0.482398095251456,0.516053776315511,NA
"Astrocytes3","Capillaries","Amyloid_effect","Amyloid",-0.948410117384057,0.518203219055361,0.105850877001904,0.00128950334212796,0.0059317153737886,NA
"Astrocytes4","Capillaries","Amyloid_effect","Amyloid",-0.306611364235184,0.808538645054934,0.155240533881454,0.268336090481177,0.308586504053354,NA
"Astrocytes5","Capillaries","Amyloid_effect","Amyloid",-0.935032721615606,0.523030606959142,0.159041192700444,0.0330542683714504,0.0686771479825837,NA
"Endothelial","Capillaries","Amyloid_effect","Amyloid",-0.147240441570749,0.902976006368038,0.0816538794779171,0.259053544745168,0.305550334827634,NA
"ExNeuron1","Capillaries","Amyloid_effect","Amyloid",0.228746437572448,1.17181631173115,0.288273323263894,0.51923974906087,0.530778410151112,NA
"ExNeuron10","Capillaries","Amyloid_effect","Amyloid",-0.701770244727045,0.61481733808665,0.155181621234383,0.0539550164592036,0.0919233613749394,NA
"ExNeuron11","Capillaries","Amyloid_effect","Amyloid",0.312328858031276,1.24171050347449,0.397311599606347,0.498665028212127,0.521331620403587,NA
"ExNeuron12","Capillaries","Amyloid_effect","Amyloid",1.14948750333167,2.21835076693805,0.806252695144813,0.0283619425219856,0.0652324678005669,NA
"ExNeuron13","Capillaries","Amyloid_effect","Amyloid",1.13488551244836,2.19601135239325,0.626791070403485,0.00585015546525908,0.0192219393858513,NA
"ExNeuron14","Capillaries","Amyloid_effect","Amyloid",1.73766129194818,3.33494112414438,1.23254456269285,0.00111830013485921,0.00582586225226759,NA
"ExNeuron2","Capillaries","Amyloid_effect","Amyloid",-0.619605762333702,0.650848757430496,0.146274191719859,0.0560087682520465,0.092014404985505,NA
"ExNeuron3","Capillaries","Amyloid_effect","Amyloid",-0.593905678102626,0.662546823727088,0.12889284432499,0.0343385739912918,0.0686771479825837,NA
"ExNeuron4","Capillaries","Amyloid_effect","Amyloid",0.429636284677544,1.34689397097642,0.293953811019517,0.172403152056635,0.214339053908249,NA
"ExNeuron5","Capillaries","Amyloid_effect","Amyloid",-0.390107045261697,0.76307298379789,0.139612136196719,0.139428068245199,0.188637974684681,NA
"ExNeuron6","Capillaries","Amyloid_effect","Amyloid",1.01203187273939,2.01674946433344,0.639873558201206,0.0270398227732603,0.0652324678005669,NA
"ExNeuron7","Capillaries","Amyloid_effect","Amyloid",1.23348908350345,2.35134964537961,0.855364671364216,0.0187573648358357,0.0539274239030276,NA
"ExNeuron8","Capillaries","Amyloid_effect","Amyloid",-0.489635412658465,0.712205058313014,0.12352599700177,0.0503717672883953,0.089119280587161,NA
"ExNeuron9","Capillaries","Amyloid_effect","Amyloid",0.826828836647067,1.77378215383008,0.592438583441182,0.0861759725962349,0.123877960607088,NA
"Fibroblast","Capillaries","Amyloid_effect","Amyloid",0.912398389598861,1.8821718911628,0.535535513603786,0.0262359914077769,0.0652324678005669,NA
"InhNeuron1","Capillaries","Amyloid_effect","Amyloid",1.6012531384299,3.03406740815567,1.11424106489527,0.00250896696302156,0.0102118104355035,NA
"InhNeuron2","Capillaries","Amyloid_effect","Amyloid",0.113600898786271,1.08192530376378,0.464350790277726,0.854431490806479,0.854431490806479,NA
"InhNeuron3","Capillaries","Amyloid_effect","Amyloid",0.624902585728031,1.54210669510419,0.46349486899142,0.149544102000314,0.196543676914699,NA
