"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Disease_effect",1.57111037994575,0.433938434300527,Inf,0.914336489716337,2.6996492579434,1,1.63571673795582,0.101898884755268,"Astrocytes1","Arteries",0.126685099966009
"Disease_effect",1.43365276504947,0.368210402103683,Inf,0.866615994972886,2.37170818754424,1,1.40256326118603,0.16074711371532,"Astrocytes2","Arteries",0.184859180772618
"Disease_effect",2.6700451594474,0.61345716637729,Inf,1.70196449652003,4.18877195621017,1,4.27452669071623,1.91543759574467e-05,"Astrocytes3","Arteries",4.63737523180288e-05
"Disease_effect",1.51738067524932,0.346174351697042,Inf,0.970290814072682,2.37294229753226,1,1.82776656025653,0.0675845938794253,"Astrocytes4","Arteries",0.0888254662415304
"Disease_effect",1.85503726520782,0.505790290267873,Inf,1.08709109780076,3.1654782770932,1,2.26622856236892,0.0234373927149382,"Astrocytes5","Arteries",0.0347780666092632
"Disease_effect",1.64975348454998,0.535503983409315,Inf,0.873216891184887,3.11685056400097,1,1.54230277414176,0.123000035145564,"Endothelial","Arteries",0.145076964530666
"Disease_effect",1.30466425853803,0.345575588920388,Inf,0.77630973371083,2.19261559348247,1,1.00403473412914,0.315361871831955,"ExNeuron1","Arteries",0.34539633581595
"Disease_effect",2.67052703665461,0.574820069922187,Inf,1.75137567388303,4.07206446900757,1,4.56350489243673,5.03066369799007e-06,"ExNeuron10","Arteries",1.65293235791102e-05
"Disease_effect",2.08732576612792,0.331481263752859,Inf,1.52902204717459,2.84948726670913,1,4.63383362648131,3.58955516493546e-06,"ExNeuron11","Arteries",1.27015028913101e-05
"Disease_effect",1.70089529507578,0.364637750277942,Inf,1.11737019991302,2.5891551475385,1,2.47763328334123,0.0132257001277227,"ExNeuron12","Arteries",0.0202794068625081
"Disease_effect",1.82897688418746,0.380521649913765,Inf,1.21650622355508,2.74980627153414,1,2.90195605062889,0.00370840562932089,"ExNeuron13","Arteries",0.00631802440550966
"Disease_effect",1.79332302735435,0.304636037326236,Inf,1.28547282334769,2.50180900134791,1,3.43828916994834,0.000585402193463429,"ExNeuron14","Arteries",0.00112202087080491
"Disease_effect",2.7243194823616,0.51411230367303,Inf,1.88202733247612,3.94357537422701,1,5.31083153817125,1.09126168452246e-07,"ExNeuron2","Arteries",8.36633958133884e-07
"Disease_effect",1.07852383854322,0.316198182538453,Inf,0.607123708215156,1.9159417670011,1,0.257841979589289,0.796528864555186,"ExNeuron3","Arteries",0.796528864555186
"Disease_effect",1.07853227114256,0.309012692174705,Inf,0.615110991013855,1.89109262700483,1,0.263866946158914,0.791882446355629,"ExNeuron4","Arteries",0.796528864555186
"Disease_effect",2.25559134486023,0.342410756110323,Inf,1.67511065269642,3.03722760452794,1,5.35825884765268,8.40277966107128e-08,"ExNeuron5","Arteries",7.73055728818557e-07
"Disease_effect",1.18657246879809,0.313236037784559,Inf,0.707278989972067,1.9906631522664,1,0.648027654131638,0.516967064199119,"ExNeuron6","Arteries",0.54046556711726
"Disease_effect",1.49317343244625,0.334327885391897,Inf,0.962770126977551,2.3157832143823,1,1.79051387407574,0.0733713388749434,"ExNeuron7","Arteries",0.0937522663402054
"Disease_effect",1.52905613003148,0.337531630440213,Inf,0.992030142800575,2.35679597616506,1,1.92371499556895,0.0543903173584073,"ExNeuron8","Arteries",0.0735868999554923
"Disease_effect",1.56542576595971,0.326825061841786,Inf,1.03973121475761,2.35691474291445,1,2.14658517618609,0.0318263211000196,"ExNeuron9","Arteries",0.0457503365812782
"Disease_effect",0.219705151105083,0.0271621721483684,Inf,0.172427328019492,0.279946073377944,1,-12.2580886276758,1.52043966630017e-34,"Fibroblast","Arteries",6.99402246498079e-33
"Disease_effect",2.21493140459951,0.370414315320121,Inf,1.59591402057747,3.0740510226898,1,4.75511030730126,1.98338092880939e-06,"InhNeuron1","Arteries",7.60296022710267e-06
"Disease_effect",2.17121378806371,0.39152674574633,Inf,1.524785112729,3.09169421587594,1,4.29935490724836,1.71295975102639e-05,"InhNeuron2","Arteries",4.37756380817856e-05
"Disease_effect",2.08353609747345,0.308321906633211,Inf,1.55897851031204,2.78459429732999,1,4.96057533316594,7.02846967688934e-07,"InhNeuron3","Arteries",3.59232894596566e-06
"Disease_effect",2.09720989349233,0.34942642423271,Inf,1.51293069715846,2.90713206204543,1,4.44502756464654,8.7880598870446e-06,"InhNeuron4","Arteries",2.69452354814227e-05
"Disease_effect",1.853041852015,1.20215571254872,Inf,0.519601756615185,6.60845361202701,1,0.950799530777049,0.341706150838256,"InhNeuron5","Arteries",0.365546114850227
"Disease_effect",2.85654617736558,0.611853734279709,Inf,1.87723817924605,4.34673455592039,1,4.90030311363858,9.56889086151817e-07,"Microglia1","Arteries",4.40168979629836e-06
"Disease_effect",2.03264691906003,0.367174815460939,Inf,1.42659913468772,2.89615589768925,1,3.92683636402321,8.60704951062519e-05,"Microglia2","Arteries",0.000179965580676709
"Disease_effect",1.6913142354507,0.32161009427989,Inf,1.16510472273169,2.45518174223121,1,2.76358109671127,0.00571708836003274,"Microglia3","Arteries",0.00906848498487951
"Disease_effect",2.9956077206158,0.74259141005705,Inf,1.84279781605249,4.86958772017418,1,4.42588258755142,9.60487591204742e-06,"Microglia4","Arteries",2.69452354814227e-05
"Disease_effect",3.39003135058479,0.818973130989303,Inf,2.11138822976212,5.4430125146821,1,5.05350285788053,4.33779822543458e-07,"Microglia5","Arteries",2.85055311957129e-06
"Disease_effect",2.44488941306217,0.692916586316402,Inf,1.40286714011219,4.26090544941088,1,3.15439248326601,0.00160832627991021,"Oligodendrocytes1","Arteries",0.00295932035503479
"Disease_effect",2.00980485897319,0.712778661879865,Inf,1.0029393819851,4.02747727699883,1,1.96823993213023,0.0490404376862259,"Oligodendrocytes2","Arteries",0.0683593979868603
"Disease_effect",2.72663328089859,0.548434622178194,Inf,1.83829910834553,4.04424340671897,1,4.98691628649638,6.13506320414927e-07,"Oligodendrocytes3","Arteries",3.52766134238583e-06
"Disease_effect",3.14732738680934,0.742989504189412,Inf,1.98152151412813,4.99902201875342,1,4.85683803617433,1.19275077000009e-06,"Oligodendrocytes4","Arteries",4.98786685636401e-06
"Disease_effect",2.60403492084968,0.692388770923786,Inf,1.54639414296612,4.38503851029727,1,3.59945643964036,0.000318883042821854,"Oligodendrocytes5","Arteries",0.000637766085643708
"Disease_effect",2.62738989859486,0.895343807563976,Inf,1.34728022389828,5.12378758092681,1,2.83470412409371,0.00458681447543685,"Oligodendrocytes6","Arteries",0.00753548092393196
"Disease_effect",2.34791660186782,0.670697094584874,Inf,1.34131756033572,4.10992335621607,1,2.98795607690833,0.00280849913330187,"Oligodendrocytes7","Arteries",0.00496888308199562
"Disease_effect",2.22740485857645,0.44333255132681,Inf,1.50792545206648,3.29017087496658,1,4.02359039941026,5.73175687209734e-05,"Oligodendrocytes8","Arteries",0.00012634178721751
"Disease_effect",3.36863662922733,0.725315326906422,Inf,2.2089118284763,5.13724114900489,1,5.64063149537761,1.69427620149519e-08,"OPC1","Arteries",1.94841763171947e-07
"Disease_effect",3.46454625363162,0.629545588831618,Inf,2.42646382801376,4.94673796698562,1,6.83823658758693,8.01739152940928e-12,"OPC2","Arteries",1.84400005176413e-10
"Disease_effect",3.44844720742427,0.665811536895808,Inf,2.361985373252,5.03465782517508,1,6.41159769566484,1.44002430889289e-10,"OPC3","Arteries",2.20803727363576e-09
"Disease_effect",1.31367009864079,0.328817806597344,Inf,0.804315732289072,2.14558668789368,1,1.089970809706,0.275726002637896,"Pericytes","Arteries",0.30935112491081
"Disease_effect",1.37727831938295,0.274690756574888,Inf,0.931652898138287,2.0360539561814,1,1.60500349912135,0.108493034617921,"SMC","Arteries",0.131333673484852
"Disease_effect",2.41588694804476,0.529813958812929,Inf,1.5718264874788,3.71320231095911,1,4.02211545254231,5.76777724253848e-05,"VLMC1","Arteries",0.00012634178721751
"Disease_effect",2.74434640777456,0.627089984472041,Inf,1.75362714151918,4.29477682430293,1,4.41808292255488,9.95802180835188e-06,"VLMC2","Arteries",2.69452354814227e-05
"Disease_effect",2.53382582050193,0.857192429742667,Inf,1.30561628778051,4.91742738561915,1,2.748244928843,0.0059915233056058,"Astrocytes1","Capillaries",0.030623341339763
"Disease_effect",2.23868100402113,0.770025152370075,Inf,1.14080055669018,4.39313656394556,1,2.34294112081846,0.0191324021415031,"Astrocytes2","Capillaries",0.0550056561568213
"Disease_effect",2.03881676299616,0.593213550292822,Inf,1.15269082074308,3.60614808261808,1,2.44834448728795,0.0143514368087277,"Astrocytes3","Capillaries",0.0471547209429624
"Disease_effect",2.22392743380454,0.546279301580447,Inf,1.37414907833004,3.59921154758477,1,3.25388319169002,0.00113839078012621,"Astrocytes4","Capillaries",0.0152072545054374
"Disease_effect",1.81938066515262,0.67309996342537,Inf,0.881073555863385,3.75694626481836,1,1.61772750167689,0.105721336410161,"Astrocytes5","Capillaries",0.159838035654802
"Disease_effect",1.33150879069054,0.364018339716195,Inf,0.779176542011959,2.27537093854011,1,1.04727667011587,0.294971992888569,"Endothelial","Capillaries",0.330944187143273
"Disease_effect",2.18520303225381,0.693888968264799,Inf,1.17273912208219,4.07176003789578,1,2.46176607268716,0.0138254807307922,"ExNeuron1","Capillaries",0.0471547209429624
"Disease_effect",1.31622952753669,0.333839837799438,Inf,0.800642139310602,2.1638383543629,1,1.08333987211031,0.278657593625997,"ExNeuron10","Capillaries",0.328426054478122
"Disease_effect",1.54651186034161,0.543037293850662,Inf,0.777078747494611,3.07780767636275,1,1.24168679451626,0.214352144092104,"ExNeuron11","Capillaries",0.273894406339911
"Disease_effect",1.97371100137273,0.485436251889039,Inf,1.21879220051538,3.19622583348702,1,2.7644345717807,0.00570215413550778,"ExNeuron12","Capillaries",0.030623341339763
"Disease_effect",1.65166551788144,0.438938920057599,Inf,0.981094299435666,2.78056756065928,1,1.88814341943761,0.0590066992219829,"ExNeuron13","Capillaries",0.12896607917461
"Disease_effect",1.89304592643981,0.418492031510169,Inf,1.22740434980155,2.91967588365622,1,2.88683526018909,0.00389137920538583,"ExNeuron14","Capillaries",0.0255719204925355
"Disease_effect",1.14132729822318,0.281569673669401,Inf,0.70374549862187,1.85099301412277,1,0.535832575166693,0.59207426657518,"ExNeuron2","Capillaries",0.605231472499073
"Disease_effect",1.70600759046298,0.608950128332599,Inf,0.847518523540597,3.43409827381535,1,1.49646740291265,0.134531896299433,"ExNeuron3","Capillaries",0.193389600930435
"Disease_effect",2.1113660254175,0.707401783873721,Inf,1.09489645336664,4.07149596619849,1,2.23055421599664,0.0257106724024978,"ExNeuron4","Capillaries",0.0657050516952723
"Disease_effect",1.15376970072049,0.284438367778583,Inf,0.711660341736037,1.8705335175111,1,0.580192356735356,0.561784907367317,"ExNeuron5","Capillaries",0.587320584974922
"Disease_effect",1.38313695521232,0.520979130024106,Inf,0.661070000020814,2.89389601224343,1,0.861121074566192,0.3891713632269,"ExNeuron6","Capillaries",0.416322853684591
"Disease_effect",2.48604783574219,0.728949105353215,Inf,1.39934091943931,4.41667484723796,1,3.10588135057471,0.00189712821006782,"ExNeuron7","Capillaries",0.0153072506923559
"Disease_effect",1.46579123080783,0.426801849316988,Inf,0.828368277008941,2.59370619559584,1,1.31328275916121,0.189087685884405,"ExNeuron8","Capillaries",0.248515244305218
"Disease_effect",1.37581758569703,0.4682413613264,Inf,0.706099075228697,2.68074848915518,1,0.937448308668324,0.348528001390272,"ExNeuron9","Capillaries",0.381721144379822
"Disease_effect",0.22857095985749,0.0419841799266904,Inf,0.159467197502346,0.327620253622417,1,-8.0351656075054,9.34525930543447e-16,"Fibroblast","Capillaries",4.29881928049986e-14
"Disease_effect",1.69587165499821,0.49626709268529,Inf,0.955660818626655,3.00941569871968,1,1.80498383893834,0.0710772110116212,"InhNeuron1","Capillaries",0.128971875207108
"Disease_effect",2.00780643759589,0.452813234488998,Inf,1.29048652746372,3.12385027279165,1,3.09073789735527,0.00199659791639425,"InhNeuron2","Capillaries",0.0153072506923559
"Disease_effect",1.579538877849,0.402603679006092,Inf,0.958451729026151,2.60309725683473,1,1.79347410962378,0.0728971468561917,"InhNeuron3","Capillaries",0.128971875207108
"Disease_effect",1.75932658590908,0.387827972664912,Inf,1.14210654416357,2.71010620830765,1,2.56272986595258,0.0103852815934514,"InhNeuron4","Capillaries",0.0398102461082304
"Disease_effect",1.72188173464201,0.425202708145475,Inf,1.06122384748181,2.793827819766,1,2.20059994046492,0.0277643578200456,"InhNeuron5","Capillaries",0.0659974285128047
"Disease_effect",1.46223978635847,0.381730103506836,Inf,0.876607558728706,2.4391133427032,1,1.45549515566798,0.145532230372486,"Microglia1","Capillaries",0.19990021391664
