"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","weight","p_adj"
"Disease_effect",0.226418576317045,0.168088216071869,Inf,-0.103028273409405,0.555865426043495,1.34702230536039,0.177973048970447,"Astrocytes1","Arteries",0.472727272727273,0.355946097940894
"Amyloid_effect",-0.269970126422898,0.148776757180574,Inf,-0.561567212233484,0.0216269593876879,-1.81459880924296,0.0695855856321622,"Astrocytes1","Arteries",0.472727272727273,0.168470365214708
"AD_overall_vs_Control",0.0987963347353111,0.1560443002609,Inf,-0.207044873768807,0.404637543239429,0.633130044289523,0.526648723967774,"Astrocytes1","Arteries",0.472727272727273,0.865208617947057
"Disease_effect",-1.12276031315784,0.309084399977452,Inf,-1.72855460529682,-0.516966021018865,-3.63253633389375,0.000280649043583424,"Astrocytes2","Arteries",0.472727272727273,0.00184426514354822
"Amyloid_effect",0.508409699584874,0.268833623097733,Inf,-0.0184945195200978,1.03531391868985,1.89116857380613,0.0586018449682822,"Astrocytes2","Arteries",0.472727272727273,0.149760270474499
"AD_overall_vs_Control",-0.882421182444994,0.277489081362221,Inf,-1.42628978801805,-0.338552576871937,-3.18002127547903,0.00147264239839725,"Astrocytes2","Arteries",0.472727272727273,0.0135483100652547
"Disease_effect",-0.0737237144690417,0.208645066722614,Inf,-0.482660530797321,0.335213101859237,-0.353345111998526,0.723829729378731,"Astrocytes3","Arteries",0.472727272727273,0.903808317055489
"Amyloid_effect",0.0640199557368207,0.186779981537492,Inf,-0.302062081109719,0.43010199258336,0.342755980645443,0.73178204437605,"Astrocytes3","Arteries",0.472727272727273,0.885841422139429
"AD_overall_vs_Control",-0.043459735393454,0.179917589137553,Inf,-0.396091730288333,0.309172259501425,-0.241553566840135,0.80912610495051,"Astrocytes3","Arteries",0.472727272727273,0.954353867377524
"Disease_effect",-0.691498317386368,0.178609229796909,Inf,-1.04156597509475,-0.341430659677989,-3.87157101664147,0.000108136141698783,"Astrocytes4","Arteries",0.472727272727273,0.0009948525036288
"Amyloid_effect",0.645433018629205,0.143520388604802,Inf,0.364138225916601,0.92672781134181,4.49715211130365,6.88697181691835e-06,"Astrocytes4","Arteries",0.472727272727273,0.000105600234526081
"AD_overall_vs_Control",-0.386384526761653,0.150169276195356,Inf,-0.680710899689,-0.0920581538343067,-2.57299320174523,0.0100823188127022,"Astrocytes4","Arteries",0.472727272727273,0.0463786665384301
"Disease_effect",-0.211890136925207,0.175419139566666,Inf,-0.555705332674877,0.131925058824464,-1.20790774284171,0.22708275097277,"Astrocytes5","Arteries",0.472727272727273,0.401761790182594
"Amyloid_effect",0.117860173219259,0.159048517609171,Inf,-0.193869193089202,0.429589539527719,0.741032830679226,0.458673534351474,"Astrocytes5","Arteries",0.472727272727273,0.727551123454062
"AD_overall_vs_Control",-0.156174418676102,0.156784990263774,Inf,-0.463467352909562,0.151118515557357,-0.996105675762432,0.319198802438426,"Astrocytes5","Arteries",0.472727272727273,0.543820181932134
"Disease_effect",-0.0139849290547927,0.189513232250379,Inf,-0.38542403885931,0.357454180749725,-0.0737939450914763,0.941174345007759,"Endothelial","Arteries",0.472727272727273,0.983954997053566
"Amyloid_effect",0.1270117401524,0.164249673586347,Inf,-0.194911704549299,0.448935184854099,0.773284581814585,0.439353978479612,"Endothelial","Arteries",0.472727272727273,0.727551123454062
