"contrast1","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","p_adj"
"Arteries - Capillaries","Disease_effect",-0.114536480383326,0.320180034436793,Inf,-0.864942615327366,0.635869654560715,-0.357725242252532,0.931896942204809,"Astrocytes1",0.999957860652559
"Arteries - Parenchyma","Disease_effect",0.11127033792423,0.293956038459472,Inf,-0.57767460223062,0.80021527807908,0.378527137960363,0.924065736207423,"Astrocytes1",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",0.225806818307556,0.325331143689536,Inf,-0.536671974420484,0.988285611035597,0.694083006461393,0.766949305110349,"Astrocytes1",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",0.20126084864755,0.312178017230636,Inf,-0.530390953866017,0.932912651161118,0.644698977951607,0.795366457145966,"Astrocytes1",0.999942844910086
"Arteries - Parenchyma","Amyloid_effect",-0.370742682340021,0.254566354657809,Inf,-0.967369997411633,0.225884632731591,-1.45636953020904,0.312149315578972,"Astrocytes1",0.743001630904745
"Capillaries - Parenchyma","Amyloid_effect",-0.572003530987572,0.296655383894138,Inf,-1.2672749286246,0.123267866649456,-1.92817512185011,0.130756380211605,"Astrocytes1",0.462676422287218
"Arteries - Capillaries","Disease_effect",-1.23470108107612,0.412682166693566,Inf,-2.20190451777256,-0.267497644379677,-2.99189347329597,0.00780799179016856,"Astrocytes2",0.0828848359264047
"Arteries - Parenchyma","Disease_effect",-0.975849873872317,0.374608717952437,Inf,-1.85382054637071,-0.0978792013739215,-2.60498442002681,0.0249141859793554,"Astrocytes2",0.181112300600549
"Capillaries - Parenchyma","Disease_effect",0.2588512072038,0.402768806809141,Inf,-0.685118282103427,1.20282069651103,0.642679380398149,0.796505406690972,"Astrocytes2",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",0.509747965225088,0.402964091331496,Inf,-0.43467921253199,1.45417514298217,1.26499600383933,0.415064645253706,"Astrocytes2",0.837363376982837
"Arteries - Parenchyma","Amyloid_effect",0.264140055739394,0.340014143728259,Inf,-0.532751292811569,1.06103140429036,0.776850200533118,0.717269424489539,"Astrocytes2",0.999830106864207
"Capillaries - Parenchyma","Amyloid_effect",-0.245607909485694,0.372455474661063,Inf,-1.1185320244162,0.62731620544481,-0.659428914850021,0.787002142579096,"Astrocytes2",0.999942844910086
"Arteries - Capillaries","Disease_effect",-0.561604608036607,0.298781915741751,Inf,-1.26185995961508,0.138650743541862,-1.87964725590027,0.144569588974169,"Astrocytes3",0.62323546404866
"Arteries - Parenchyma","Disease_effect",-0.158254109296731,0.274443619082876,Inf,-0.801467780687259,0.484959562093797,-0.576636140514316,0.83260689608677,"Astrocytes3",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",0.403350498739877,0.29941646875402,Inf,-0.298392055106504,1.10509305258626,1.34712195497583,0.369070509723491,"Astrocytes3",0.978241753315122
"Arteries - Capillaries","Amyloid_effect",0.743384572079015,0.290852151319463,Inf,0.0617142140389872,1.42505493011904,2.55588472942909,0.0285517557163941,"Astrocytes3",0.187625823279161
"Arteries - Parenchyma","Amyloid_effect",0.036332192561672,0.239319347109517,Inf,-0.524560701955261,0.597225087078605,0.151814690289313,0.987374139160417,"Astrocytes3",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",-0.707052379517343,0.27291119770772,Inf,-1.34667451403,-0.0674302450046818,-2.59077819252611,0.0259228113730953,"Astrocytes3",0.182516300908499
"Arteries - Capillaries","Disease_effect",-0.723200771199089,0.301337941855674,Inf,-1.42944668268345,-0.0169548597147231,-2.39996585476603,0.0432929340796123,"Astrocytes4",0.248934370957771
"Arteries - Parenchyma","Disease_effect",0.0800117604448878,0.281779349733976,Inf,-0.580394667185314,0.74041818807509,0.283951824434352,0.956527890834531,"Astrocytes4",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",0.803212531643976,0.306850217196256,Inf,0.0840474972032123,1.52237756608474,2.61760457262527,0.024046947214965,"Astrocytes4",0.181112300600549
"Arteries - Capillaries","Amyloid_effect",0.721349993892933,0.287456474697502,Inf,0.0476380851481211,1.39506190263774,2.50942336453555,0.0324074573366768,"Astrocytes4",0.203283141475518
"Arteries - Parenchyma","Amyloid_effect",0.0308884421108972,0.250448196277666,Inf,-0.556087142744099,0.617864026965893,0.123332659488,0.991649100194494,"Astrocytes4",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",-0.690461551782036,0.282850286049661,Inf,-1.35337793348492,-0.0275451700791561,-2.44108486303885,0.0388866789156003,"Astrocytes4",0.223598403764702
"Arteries - Capillaries","Disease_effect",-0.730224228979985,0.299850612636293,Inf,-1.43298428609848,-0.0274641718614869,-2.43529343682121,0.0394832199051829,"Astrocytes5",0.236899319431097
"Arteries - Parenchyma","Disease_effect",-0.266678318789223,0.275693823672076,Inf,-0.912822095410457,0.379465457832011,-0.967298850722254,0.597588946964037,"Astrocytes5",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",0.463545910190762,0.29859525797978,Inf,-0.23627197148124,1.16336379186277,1.55242220967271,0.266561817743432,"Astrocytes5",0.817456241079857
"Arteries - Capillaries","Amyloid_effect",0.828719481426512,0.290033005764462,Inf,0.148968955305318,1.50847000754771,2.85732818319141,0.0118937399937792,"Astrocytes5",0.149212374467412
"Arteries - Parenchyma","Amyloid_effect",0.206773287058053,0.239962873263409,Inf,-0.355627840084086,0.769174414200193,0.861688661441709,0.664494065692099,"Astrocytes5",0.971588328320683
"Capillaries - Parenchyma","Amyloid_effect",-0.621946194368459,0.273759253712528,Inf,-1.26355591823816,0.0196635295012447,-2.27187277118149,0.059806351437633,"Astrocytes5",0.257914890574792
"Arteries - Capillaries","Disease_effect",-0.104003161017501,0.28767719241248,Inf,-0.778232366000667,0.570226043965665,-0.361527308248956,0.930493754957227,"Endothelial",0.999957860652559
"Arteries - Parenchyma","Disease_effect",0.445151054681758,0.272475116144899,Inf,-0.193449035215746,1.08375114457926,1.6337310392962,0.231420519261329,"Endothelial",0.778927601416179
"Capillaries - Parenchyma","Disease_effect",0.549154215699259,0.301756096645473,Inf,-0.158071725411791,1.25638015681031,1.81986121176683,0.163049705642552,"Endothelial",0.625023871629784
"Arteries - Capillaries","Amyloid_effect",0.356944455411949,0.276159737858062,Inf,-0.290291284560894,1.00418019538479,1.29252894784904,0.399363433436093,"Endothelial",0.837363376982837
"Arteries - Parenchyma","Amyloid_effect",0.0333100654192129,0.243124033012361,Inf,-0.536499873684998,0.603120004523424,0.137008526086433,0.98970459466572,"Endothelial",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",-0.323634389992736,0.283183446362064,Inf,-0.98733159971566,0.340062819730188,-1.14284360244332,0.487662911534367,"Endothelial",0.87120907757114
"Arteries - Capillaries","Disease_effect",-0.0773200815996258,0.336409780858452,Inf,-0.865763882773611,0.711123719574359,-0.229838982095943,0.971298709108997,"ExNeuron1",0.999957860652559
