"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Parenchyma","Microglia1","Disease_effect",-1.49791998313622,9.83134382370334e-06,-2.3730145462127,-0.437013716711939,1.06090626642428,4,TRUE,FALSE
"Arteries","Oligodendrocytes4","Disease_effect",-0.168547390972584,0.671792997641871,-0.629211827773166,0.86646446298207,1.03501185395465,4,TRUE,TRUE
"Capillaries","InhNeuron1","Disease_effect",1.28301456522772,0.00341527832836702,1.08178726646558,2.25828651158696,0.975271946359234,4,TRUE,FALSE
"Arteries","InhNeuron5","Disease_effect",0.717790604847756,9.82918385136195e-05,-0.228541621124829,1.14900078207953,0.946332225972585,4,TRUE,TRUE
"Arteries","InhNeuron2","Disease_effect",0.227236043533136,0.503272373429153,-0.709957951199436,0.783851749452774,0.937193994732572,4,TRUE,TRUE
"Capillaries","ExNeuron3","Disease_effect",0.317871378380534,0.29169151034209,-0.611994693476772,0.808453413222263,0.929866071857306,4,TRUE,TRUE
"Capillaries","OPC1","Disease_effect",-5.85110191589978,6.27134724014911e-87,-6.13069590817041,-4.93475902694285,0.916342888956932,4,FALSE,FALSE
"Capillaries","Oligodendrocytes1","Disease_effect",1.2743922914634,0.000856102583679125,0.36140149865967,1.9485197922506,0.912990792803732,4,TRUE,FALSE
"Parenchyma","Astrocytes2","Disease_effect",0.238303387822079,0.485288797312795,-0.110598253806784,1.12499152973327,0.886688141911187,4,TRUE,TRUE
"Arteries","OPC1","Disease_effect",-6.18140311563745,8.89691934724443e-217,-6.49833210574121,-5.32459333042425,0.8568097852132,4,FALSE,FALSE
"Parenchyma","Oligodendrocytes7","Disease_effect",0.798543100616323,0.000552651144774273,0.529302700775633,1.58995367497233,0.791410574356002,4,TRUE,FALSE
"Capillaries","Endothelial","Disease_effect",-0.0198771540010327,0.962227301294124,-0.768022412975025,0.48745408809576,0.748145258973992,4,FALSE,TRUE
