"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Capillaries","Astrocytes2","AD_Amyloid_vs_Control",0.300867785469501,0.368132989474162,-0.22438634058531,1.57684860191729,1.27598081644778,4,TRUE,TRUE
"Arteries","ExNeuron3","AD_Amyloid_vs_Control",0.295501782467248,0.316171371596085,-0.684927124171855,1.07267456678361,0.980428906639103,4,TRUE,TRUE
"Arteries","Oligodendrocytes2","AD_Amyloid_vs_Control",-0.687142780270571,0.0250822531099587,-0.959512160875489,0.265756584769328,0.952899365039898,4,TRUE,TRUE
"Parenchyma","Oligodendrocytes2","AD_Amyloid_vs_Control",-0.589165954681235,0.0952163865495586,-1.53054739554225,0.337573061163278,0.941381440861018,4,TRUE,TRUE
"Arteries","Astrocytes2","AD_Amyloid_vs_Control",0.770730914585293,0.00724642558686442,-0.139599495005708,1.40618001381194,0.910330409591001,4,TRUE,TRUE
"Capillaries","Microglia5","AD_Amyloid_vs_Control",0.703314550409018,0.0668710542318668,0.194079494237372,1.59844307115091,0.89512852074189,4,TRUE,FALSE
"Arteries","ExNeuron6","AD_Amyloid_vs_Control",0.518977408939126,0.0975894387914503,-0.268546250223856,0.968328902108908,0.787523659162982,4,TRUE,TRUE
"Capillaries","Fibroblast","AD_Amyloid_vs_Control",-0.93715168565612,0.0050368124051961,-1.18246746314159,-0.272274145450003,0.664877540206117,4,TRUE,FALSE
"Arteries","ExNeuron4","AD_Amyloid_vs_Control",0.268152790268661,0.350600995747447,-0.123668664099727,0.923598574503016,0.655445784234354,4,TRUE,TRUE
"Parenchyma","VLMC1","AD_Amyloid_vs_Control",0.65999217677954,0.00169057347638104,0.363693181367993,1.25125037747145,0.59125820069191,4,TRUE,FALSE
"Parenchyma","ExNeuron3","AD_Amyloid_vs_Control",0.662444482003841,0.0260510469434216,0.351135147218682,1.24462249583639,0.582178013832553,4,TRUE,FALSE
"Parenchyma","Microglia3","AD_Amyloid_vs_Control",0.801626631359324,0.000116763098932054,0.372834438039778,1.38291154069731,0.581284909337988,4,TRUE,FALSE
"Parenchyma","ExNeuron11","AD_Amyloid_vs_Control",0.744044353964251,0.00050461008427325,0.384890755070571,1.32067226218998,0.576627908225727,4,TRUE,FALSE
"Parenchyma","Pericytes","AD_Amyloid_vs_Control",0.758360441489698,0.000240236621788877,0.473755941920216,1.31793660647843,0.559576164988732,4,TRUE,FALSE
"Parenchyma","Microglia1","AD_Amyloid_vs_Control",0.667793452383852,0.0185258632517085,0.259599399409651,1.21661320228226,0.548819749898406,4,TRUE,FALSE
"Arteries","Fibroblast","AD_Amyloid_vs_Control",-0.940201902946448,7.593043070536e-08,-1.25503288353825,-0.392160761242773,0.548041141703675,4,FALSE,FALSE
"Capillaries","ExNeuron4","AD_Amyloid_vs_Control",0.397667602801885,0.281094119295301,0.537199195327016,0.943628245841725,0.54596064303984,4,FALSE,FALSE
"Capillaries","ExNeuron7","AD_Amyloid_vs_Control",1.08965750423091,0.000257256190095941,0.738551425857383,1.62910319096374,0.539445686732828,4,FALSE,FALSE
"Arteries","SMC","AD_Amyloid_vs_Control",0.619242707945855,0.00535551379412403,0.339856083337703,1.14281050863523,0.523567800689372,4,TRUE,FALSE
"Parenchyma","ExNeuron4","AD_Amyloid_vs_Control",0.598447843640527,0.0367430407862149,0.29686174869893,1.11153290416169,0.513085060521167,4,TRUE,FALSE
"Capillaries","Microglia1","AD_Amyloid_vs_Control",0.925485817699997,0.00377554026523964,0.41910768447898,1.36001469089992,0.506378133221017,4,TRUE,FALSE
"Capillaries","Oligodendrocytes2","AD_Amyloid_vs_Control",-0.153680725012313,0.706127190877335,-0.529979920266494,0.351572387270305,0.505253112282618,4,FALSE,TRUE
"Parenchyma","InhNeuron4","AD_Amyloid_vs_Control",0.880892306567327,6.3382105033813e-05,0.386268543829669,1.12206245153766,0.494623762737658,4,TRUE,FALSE
"Arteries","Astrocytes4","AD_Amyloid_vs_Control",0.764590040818711,0.000866157987882245,0.484758803637193,1.25862406786109,0.494034027042375,4,TRUE,FALSE
"Arteries","ExNeuron1","AD_Amyloid_vs_Control",0.553045969874502,0.0250822531099587,0.286469191062156,1.03553569953689,0.48248972966239,4,TRUE,FALSE
"Parenchyma","Endothelial","AD_Amyloid_vs_Control",0.696096375885139,0.0135783958957383,0.335439619858285,1.17634758942105,0.480251213535909,4,TRUE,FALSE
"Arteries","ExNeuron10","AD_Amyloid_vs_Control",1.0697692782953,7.593043070536e-08,0.839973660808142,1.54407500167296,0.474305723377662,4,FALSE,FALSE
"Parenchyma","SMC","AD_Amyloid_vs_Control",0.902367019237581,5.04630357042633e-05,0.531577732603549,1.36639486607909,0.464027846841504,4,TRUE,FALSE
