"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Parenchyma","Oligodendrocytes2","AD_overall_vs_Control",-0.420703972191017,0.135812478243267,-1.42749252008193,0.514433056932019,1.00678854789092,4,TRUE,TRUE
"Parenchyma","Oligodendrocytes2","Disease_effect",-0.235941995473685,0.429036779338015,-1.18778030562334,0.696760213440793,0.951838310149659,4,TRUE,TRUE
"Arteries","Oligodendrocytes2","AD_overall_vs_Control",-0.2802820392419,0.256055199628303,-0.74272939369317,0.619077057547877,0.899359096789777,4,TRUE,TRUE
"Arteries","Oligodendrocytes2","Disease_effect",0.0164223792081893,0.957095990135914,-0.659740042649066,0.89526410434753,0.87884172513934,4,TRUE,TRUE
"Arteries","Astrocytes2","AD_overall_vs_Control",0.56756209976391,0.0319085343288775,-0.287783719898514,1.03026835630647,0.855345819662424,4,TRUE,TRUE
"Capillaries","Astrocytes5","Amyloid_effect",0.1152463128308,0.815561418687862,-0.177675405611341,0.94918245726559,0.83393614443479,4,TRUE,TRUE
"Arteries","Astrocytes2","Disease_effect",0.379735540495715,0.205553949426793,-0.43004797983438,0.828325310287571,0.809783520330095,4,TRUE,TRUE
"Capillaries","Fibroblast","Disease_effect",-1.23155001563987,1.36477672920707e-05,-1.58141747193578,-0.453290732929908,0.778259282709964,4,TRUE,FALSE
"Capillaries","Fibroblast","AD_overall_vs_Control",-1.11330101288117,4.64005688471453e-05,-1.39531987328487,-0.371578243698338,0.741722769182827,4,TRUE,FALSE
"Capillaries","Astrocytes2","AD_overall_vs_Control",0.497925777784005,0.0920218976410481,-0.241287866833065,0.776068817745556,0.739213644617069,4,TRUE,TRUE
"Capillaries","ExNeuron3","Disease_effect",0.562979476643211,0.130953580698031,0.257588552741445,1.29500562992196,0.732026153278748,4,TRUE,FALSE
"Parenchyma","Microglia1","Disease_effect",1.18267675955747,1.37401175303423e-05,0.4660790198505,1.59364406497255,0.716597739706973,4,TRUE,FALSE
"Parenchyma","ExNeuron11","AD_overall_vs_Control",0.737859419598746,5.16115188085817e-05,0.381081134599824,1.44747558554277,0.709616165944027,4,FALSE,FALSE
"Parenchyma","ExNeuron11","Disease_effect",0.681195887833348,0.000387084132218185,0.364505165809568,1.38737929803509,0.706183410201741,4,TRUE,FALSE
"Parenchyma","ExNeuron5","Disease_effect",0.801147784593067,6.57954284390168e-05,0.453803154537276,1.49887315503045,0.697725370437387,4,TRUE,FALSE
"Parenchyma","VLMC1","Disease_effect",0.74882760761513,0.000406454202594133,0.444143214202293,1.43288416966597,0.684056562050838,4,TRUE,FALSE
"Capillaries","Oligodendrocytes2","Disease_effect",0.209774959662051,0.571516574769377,-0.472321401540396,0.821822405342341,0.682096361202448,4,FALSE,TRUE
"Parenchyma","ExNeuron5","AD_overall_vs_Control",0.807636346476979,2.45068060218452e-05,0.427607044302037,1.4873478465041,0.679711500027122,4,TRUE,FALSE
"Capillaries","ExNeuron4","Disease_effect",0.738203389968205,0.0552648365280061,0.454299838300587,1.40567435123958,0.667470961271373,4,TRUE,FALSE
"Arteries","Fibroblast","Disease_effect",-1.24789786420133,3.74684209965606e-15,-1.59164506634561,-0.5900286903589,0.657869173842429,4,FALSE,FALSE
"Parenchyma","Pericytes","Disease_effect",0.694121824089819,0.00100567855338765,0.398840446260733,1.34532132381982,0.65119949973,4,TRUE,FALSE
"Parenchyma","VLMC1","AD_overall_vs_Control",0.699857326727861,0.000406595224818695,0.404387314969178,1.3453086970839,0.645451370356037,4,TRUE,FALSE
"Arteries","Fibroblast","AD_overall_vs_Control",-1.1272114917681,6.1011001270559e-15,-1.48374761574665,-0.512565205670186,0.614646286097915,4,FALSE,FALSE
"Capillaries","Astrocytes4","Disease_effect",0.759791989754401,0.0177725123438123,0.515663312379745,1.37371734738484,0.613925357630436,4,TRUE,FALSE
"Parenchyma","Pericytes","AD_overall_vs_Control",0.713752242759737,0.000317064439229307,0.444420562836417,1.31414535045879,0.60039310769905,4,TRUE,FALSE
"Capillaries","Astrocytes2","Amyloid_effect",-0.432023439950438,0.494844367055192,-1.01832740193403,0.163083521225431,0.595106961175868,4,TRUE,TRUE
"Capillaries","ExNeuron1","Disease_effect",0.842761806159946,0.0198986930780405,0.607035633206787,1.4367095948235,0.593947788663557,4,TRUE,FALSE
"Parenchyma","Microglia1","AD_overall_vs_Control",1.0856683155907,2.45068060218452e-05,0.508578767585806,1.44638461925192,0.577089548004897,4,FALSE,FALSE
"Capillaries","Oligodendrocytes2","AD_overall_vs_Control",0.0464519841683835,0.890378379801668,-0.524324937847267,0.614510729239932,0.57077692201565,4,FALSE,TRUE
"Parenchyma","ExNeuron3","Disease_effect",0.358617804528618,0.257516814046876,0.0635826145835717,0.927281014235918,0.5686632097073,4,TRUE,FALSE
"Parenchyma","ExNeuron4","Disease_effect",0.345089529164706,0.257516814046876,0.0787204806430034,0.904703394585082,0.559613865420377,4,TRUE,FALSE
"Parenchyma","ExNeuron3","AD_overall_vs_Control",0.587303647204202,0.0445965758951892,0.321762691378173,1.14415178517032,0.556848137966117,4,TRUE,FALSE
"Capillaries","Astrocytes5","Disease_effect",0.571209786814628,0.127770695053296,0.0173783180063326,0.827439028083268,0.553831468808295,4,TRUE,FALSE
"Capillaries","ExNeuron4","Amyloid_effect",-0.360253893690716,0.47430382088857,-0.865823549795233,0.187399709010207,0.547653602700923,4,TRUE,TRUE
"Capillaries","Astrocytes2","Disease_effect",0.685135935095861,0.0743524545947827,0.16820932201263,1.22791265698206,0.542776721886194,4,TRUE,FALSE
"Arteries","ExNeuron3","AD_overall_vs_Control",0.181817950717564,0.518332950422835,-0.179577174899707,0.724478266518391,0.542660315800827,4,TRUE,TRUE
"Parenchyma","ExNeuron4","AD_overall_vs_Control",0.52727605244064,0.0597236941689736,0.291772661776191,1.06868655886726,0.541410506426619,4,TRUE,FALSE
"Capillaries","ExNeuron3","Amyloid_effect",-0.375337226765249,0.487708263473095,-0.902313242132865,0.124258084935867,0.526976015367616,4,TRUE,TRUE
"Capillaries","Astrocytes1","Disease_effect",0.974807912470138,0.0132920232669713,0.756371759630236,1.50158262294296,0.526774710472817,4,TRUE,FALSE
"Parenchyma","Microglia3","AD_overall_vs_Control",0.779213622209942,0.000172845208385972,0.284196433439473,1.2930551455296,0.513841523319661,4,TRUE,FALSE
"Parenchyma","ExNeuron10","Disease_effect",0.842304515516774,0.000101811038449256,0.509252277970429,1.34794994921279,0.505645433696017,4,TRUE,FALSE
"Arteries","ExNeuron4","AD_overall_vs_Control",0.163542286978671,0.532561041345972,-0.146293269163862,0.663411401910063,0.499869114931392,4,FALSE,TRUE
"Parenchyma","ExNeuron2","Disease_effect",0.800393017506009,0.000212259159227521,0.433733456992786,1.29783515325634,0.497442135750336,4,TRUE,FALSE
"Capillaries","Microglia5","AD_overall_vs_Control",0.650605419919081,0.0169660090192134,0.220542227241654,1.14545600008379,0.49485058016471,4,TRUE,FALSE
"Arteries","ExNeuron3","Disease_effect",0.0845439271020461,0.806699236793074,-0.195947133264522,0.579074179707637,0.494530252605591,4,FALSE,TRUE
"Capillaries","ExNeuron9","Amyloid_effect",-0.0143704244466354,0.978631824096174,-0.151978495488814,0.465326481769339,0.479696906215975,4,FALSE,TRUE
"Arteries","Microglia5","Disease_effect",1.17555709471441,3.50640089830459e-06,0.785564876833506,1.65294360214585,0.47738650743144,4,FALSE,FALSE
"Parenchyma","Fibroblast","AD_overall_vs_Control",-0.669642840482601,2.00651600911582e-06,-1.14350413569164,-0.275324347900302,0.473861295209041,4,FALSE,FALSE
"Capillaries","ExNeuron6","Disease_effect",0.544766267819858,0.105460362755581,0.287568273537779,1.01609372447437,0.471327456654509,4,TRUE,FALSE
"Capillaries","Astrocytes1","Amyloid_effect",-0.263103541811043,0.548083015294047,-0.610157618255441,0.206805072539181,0.469908614350224,4,FALSE,TRUE
"Parenchyma","Microglia3","Disease_effect",0.613148746719713,0.00462789862163705,0.150667479112006,1.07275082095224,0.462481267607707,4,TRUE,FALSE
"Capillaries","Astrocytes4","AD_overall_vs_Control",0.803742333336736,0.00289033888165662,0.561034642232014,1.26563973957213,0.461897406235398,4,TRUE,FALSE
"Capillaries","ExNeuron3","AD_overall_vs_Control",0.400333345044937,0.217506379697247,0.0836307969061692,0.861895273698184,0.461561928653247,4,TRUE,FALSE
"Arteries","ExNeuron6","Amyloid_effect",0.404344484261188,0.152485155147156,-0.0526325257018862,0.595329322103784,0.456977009963074,4,FALSE,TRUE
"Parenchyma","Fibroblast","Disease_effect",-0.749910168668016,4.39859417939619e-07,-1.20678121369878,-0.344391163261661,0.456871045030759,4,FALSE,FALSE
"Parenchyma","InhNeuron1","Disease_effect",0.670022499226938,0.00116965779911156,0.213312727269978,0.974333122258988,0.45670977195696,4,TRUE,FALSE
"Parenchyma","InhNeuron1","AD_overall_vs_Control",0.765331022405818,9.08380576594417e-05,0.309923894392876,1.05715097572829,0.455407128012942,4,TRUE,FALSE
"Parenchyma","InhNeuron2","AD_overall_vs_Control",0.819746708859052,5.01373687466409e-05,0.431950813699329,1.27500933992265,0.455262631063598,4,FALSE,FALSE
"Arteries","ExNeuron4","Disease_effect",0.0771137340727698,0.806699236793074,-0.200518137968314,0.53025257956131,0.45313884548854,4,FALSE,TRUE
"Parenchyma","InhNeuron4","AD_overall_vs_Control",0.851419472161212,9.08380576594417e-05,0.399801530227408,1.05506190749888,0.451617941933803,4,TRUE,FALSE
"Arteries","Oligodendrocytes2","Amyloid_effect",-0.627643962105958,0.106751542861059,-1.0735802783368,-0.201545566821396,0.445936316230842,4,TRUE,FALSE
"Capillaries","ExNeuron6","Amyloid_effect",-0.0317666661675263,0.948365770858459,-0.476769473089014,0.40023126605012,0.445002806921488,4,FALSE,TRUE
"Capillaries","Microglia5","Disease_effect",0.366126121645765,0.21013097443965,-0.0417080860849738,0.803709297745367,0.437583176099602,4,FALSE,TRUE
"Arteries","Astrocytes1","Amyloid_effect",0.414323904599072,0.0592945945892268,-0.0210771923971252,0.69887799028218,0.435401096996197,4,TRUE,TRUE
